attempt,collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/shock_p90_normalised,shock/accel_p95,shock/shock_p95_normalised,shock/accel_p99,shock/shock_p99_normalised
0,131072,,,,,,,3.8934942960739134,0.451582823447614,3.9361923217773436,0.4558214102374478,4.049912567138672,0.4670096908735961
0,262144,3.3942571207880974,10.50518449395895,0.10835258351289667,2.0202481550768425e-05,0.019039161503314972,0.0,,,,,,
0,262144,,,,,,,3.512759637832642,0.41289397097615743,3.5335570931434632,0.41504813827555087,3.5952384996414186,0.4214096375295895
0,393216,3.4138061981648207,10.80675107985735,0.10322554114100058,6.947709334781393e-05,0.06069820560514927,0.0,,,,,,
0,393216,,,,,,,3.6833398818969725,0.4304244122766341,3.736512434482574,0.43582407645081145,3.77997398853302,0.44021443226255963
0,524288,2.9962337631732225,10.361883170902729,0.07920056049624691,1.7152944565168582e-05,0.016923855990171432,0.0,,,,,,
0,524288,,,,,,,3.244984436035156,0.3847499579838367,3.305523324012756,0.3911782643978441,3.375956394672394,0.39860940111458265
0,655360,2.712803892791271,9.81276673451066,0.05246525447591921,1.740687366691418e-05,0.016277190297842026,0.0,,,,,,
0,655360,,,,,,,3.156868886947632,0.37532645640629503,3.1863314151763915,0.3784860926110334,3.2410871076583865,0.38433483058186213
0,786432,2.626881066709757,10.006156150251627,0.0443908957460053,9.872528607957065e-06,0.010109469294548035,0.0,,,,,,
0,786432,,,,,,,2.8693351984024047,0.34403926318570766,2.942564225196838,0.3520838816337415,2.9675905108451843,0.35482135144106386
0,917504,2.3278269693255424,9.545934855937958,0.0033385343485861085,7.525042747147381e-06,0.0077056437730789185,0.0,,,,,,
0,917504,,,,,,,2.3965603351593017,0.2909190926326073,2.4186132669448854,0.2934403775152661,2.462799615859985,0.29847985645851693
0,1048576,2.416881000623107,9.956261284649372,0.007815269312914097,1.447467570869776e-05,0.013735584914684296,0.0,,,,,,
0,1048576,,,,,,,2.618647503852844,0.3161204709424248,2.6430022001266478,0.3188579378920877,2.717399666309357,0.32718718015856085
0,1179648,2.0957518853247166,9.271785162389278,0.004053488227327762,8.48534909891896e-07,0.0008688997477293015,0.0,,,,,,
0,1179648,,,,,,,2.173413896560669,0.26518435176529165,2.1859025239944456,0.2666350491525471,2.2144504952430726,0.2699466809560642
0,1310720,2.1187524693086743,9.418870139867067,0.005159343377954428,1.0482284778845496e-05,0.009962867945432663,0.0,,,,,,
0,1310720,,,,,,,2.325654983520508,0.28278528865152386,2.3887297987937925,0.29002286178755154,2.4558987832069397,0.2976938998030807
0,1441792,1.9491855772212148,8.859652895480394,0.012254918483904476,7.069320417940617e-07,0.0007238984107971191,0.0,,,,,,
0,1441792,,,,,,,2.0253588199615478,0.24789604933319165,2.0372216582298277,0.2492872666327841,2.0537586212158203,0.2512249263364015
0,1572864,1.963956294581294,9.037871591746807,0.057457269525912125,3.3557430185737758e-06,0.0034359749406576157,0.0,,,,,,
0,1572864,,,,,,,2.1010949850082397,0.25676023073668186,2.1448001980781553,0.2618560209770302,2.1945910811424256,0.2676436130291584
0,1703936,1.9008244071155787,9.267921302467585,0.028274848916225892,9.251527444575913e-06,0.009473564103245735,0.0,,,,,,
0,1703936,,,,,,,1.9734614491462708,0.24179780925823513,1.9886094808578492,0.2435797892770153,2.011398129463196,0.24625749567746857
0,1835008,1.9493819046765566,9.446822922676802,0.011631695726464386,5.277002287584764e-06,0.005401803180575371,0.0,,,,,,
0,1835008,,,,,,,2.0650023221969604,0.25254121900936566,2.0884966015815736,0.25528865883999696,2.1094605541229248,0.25773672596641406
0,1966080,1.9207275323569775,9.223203249275684,0.03031026455710162,4.240985219894355e-06,0.004342053085565567,0.0,,,,,,
0,1966080,,,,,,,1.994546103477478,0.24427771251914243,2.0025508522987367,0.24521836886804094,2.035243685245514,0.24905537065053984
0,2097152,1.8981439266353846,9.390441671013832,0.055491032704594545,6.965023203520104e-06,0.007132183760404587,0.0,,,,,,
0,2097152,,,,,,,1.9592534899711609,0.24012493337260898,1.974328351020813,0.24189983376372992,1.9979205453395843,0.24467430707074866
0,2228224,1.9355571828782558,9.4821847230196,0.05048171777434618,2.9046843224023178e-06,0.0029741302132606506,0.0,,,,,,
0,2228224,,,,,,,2.020509386062622,0.2473270358602344,2.03351172208786,0.24885229321060565,2.076872525215149,0.25392984218832715
0,2359296,1.8863393338397145,9.458010513335466,0.059938123831670964,1.0391458459935166e-05,0.010640531778335571,0.0,,,,,,
0,2359296,,,,,,,2.0024503469467163,0.24520656111174977,2.023398447036743,0.2476660474656862,2.0880367398262027,0.2552349216130545
0,2490368,1.8992928639054298,9.531366381794214,0.057956565004133154,9.012419525333826e-06,0.009107651188969612,0.0,,,,,,
0,2490368,,,,,,,1.9740795016288757,0.24187054756362492,1.9970833301544189,0.24457591769357956,2.033013722896576,0.2487938973855226
0,2621440,1.8972852565348148,9.615900039672852,0.06005633519089315,8.939035524235805e-06,0.009152689948678017,0.0,,,,,,
0,2621440,,,,,,,1.9641342401504516,0.24069976486469025,1.9843147993087769,0.24307473912036248,2.0095483684539794,0.2460402850125507
0,2752512,1.8452236419543624,9.482082355767488,0.05018147818691432,1.2684752960012702e-05,0.01298515684902668,0.0,,,,,,
0,2752512,,,,,,,1.913527750968933,0.2347314404066272,1.930075818300247,0.23668502505240196,1.9560772025585174,0.23975075487720243
0,2883584,1.8265686398372054,9.12939828634262,0.054818010205053724,5.968783156617974e-06,0.006111720576882362,0.0,,,,,,
0,2883584,,,,,,,1.8884557723999023,0.23176795235022807,1.9035399436950684,0.2335514088802768,1.939396722316742,0.2377845649439121
0,3014656,1.8046931074932218,9.570126712322235,0.05921601398040366,1.968780520655855e-05,0.020156146958470345,0.0,,,,,,
0,3014656,,,,,,,1.8746105432510376,0.2301296076410273,1.889106434583664,0.2318449147698185,1.916946750879288,0.23513522699361156
0,3145728,1.7999450461938977,9.443395540118217,0.050083805097983713,8.194774636649527e-06,0.008391449227929115,0.0,,,,,,
0,3145728,,,,,,,1.874908483028412,0.23016487746311776,1.8930632770061493,0.23231288031591157,1.9084096300601958,0.23412683490157193
0,3276800,1.7536423970013857,9.276584837585688,0.05193931795201934,9.874560763734053e-06,0.010104311630129814,0.0,,,,,,
0,3276800,,,,,,,1.8078625321388244,0.22221295810004227,1.818048071861267,0.22342293912400746,1.848582271337509,0.22704608176662733
0,3407872,1.7098826970905066,9.229334868490696,0.05425731021023239,2.688133122319414e-06,0.002750253304839134,0.0,,,,,,
0,3407872,,,,,,,1.8092035889625548,0.22237230682742237,1.8472924768924712,0.22689316296525708,1.8707794857025146,0.22967603692319405
0,3538944,1.6691955868154764,9.267978075891733,0.055276155697356444,7.631195401813784e-06,0.007812891155481339,0.0,,,,,,
0,3538944,,,,,,,1.7275700330734254,0.21265098253261328,1.7365618586540221,0.2137238770513632,1.7825865590572358,0.21920737281783342
0,3670016,1.6662016045302153,9.209453653544188,0.0538163200035342,8.236417556872766e-06,0.008430259302258492,0.0,,,,,,
0,3670016,,,,,,,1.7288487434387207,0.21280358815920075,1.7481745898723602,0.21510873220330606,1.761050568819046,0.2166432226933357
0,3801088,1.6935983672738075,9.320083230733871,0.043166045754787774,7.535893189469789e-06,0.007716057822108269,0.0,,,,,,
0,3801088,,,,,,,1.7633806228637696,0.216920791998938,1.776723688840866,0.21850961730901153,1.8193851804733276,0.2235817285777666
0,3932160,1.683116165921092,9.366238441318274,0.03659423679664542,1.1040159733965993e-05,0.011289834976196289,0.0,,,,,,
0,3932160,,,,,,,1.7434313416481018,0.21454318892195623,1.7662955522537231,0.21726798560013116,1.786409558057785,0.219662237227078
0,4063232,1.6517144851386547,9.437362972646952,0.020255489887858857,2.760952034464026e-05,0.026727037504315376,0.0,,,,,,
0,4063232,,,,,,,1.7192283391952514,0.21165520224453305,1.7343989968299864,0.21346585379265104,1.767822093963623,0.21744978815216287
0,4194304,1.669185096397996,9.224621001631021,0.04053467284643375,9.863234993190417e-06,0.01009148545563221,0.0,,,,,,
0,4194304,,,,,,,1.7234766960144043,0.21216240009496934,1.7336946845054626,0.21338182490713242,1.7730142974853518,0.21806803746651515
0,4325376,1.6688528172671795,9.291248306632042,0.048133671264622535,5.6072659901929e-06,0.005739076063036919,0.0,,,,,,
0,4325376,,,,,,,1.7254235982894897,0.21239479641479275,1.7374208092689514,0.2138263391445423,1.760357074737549,0.21656060296293833
0,4456448,1.682521477341652,9.532282162457705,0.0543681133640348,1.3740037786647008e-05,0.013318706303834915,0.0,,,,,,
0,4456448,,,,,,,1.7483365654945373,0.2151280422097004,1.7600500881671906,0.2165240289887338,1.7826279532909393,0.21921229845765544
0,4587520,1.622503756545484,9.338915508240461,0.05424437261535786,9.223418430792663e-06,0.008820747956633568,0.0,,,,,,
0,4587520,,,,,,,1.6949067831039428,0.2087493412474184,1.7087140440940858,0.21039944408352462,1.734847218990326,0.21351932786810934
0,4718592,1.6428647674620152,9.48676560074091,0.04385666154166756,1.8956975821993183e-05,0.019290560856461525,0.0,,,,,,
0,4718592,,,,,,,1.7100362658500672,0.21055739980691035,1.7265817165374755,0.21253302638103877,1.7529791259765626,0.21568143586479316
0,4849664,1.6675459016114473,9.435781478881836,0.05804370634723455,5.8946968977124925e-06,0.006033720448613167,0.0,,,,,,
0,4849664,,,,,,,1.7226672172546387,0.2120657677975537,1.7345322251319886,0.21348174841097012,1.755824331045151,0.21602051614664108
0,4980736,1.6702759684994817,9.722525030374527,0.05491747475025477,1.2102248234668878e-05,0.012391772121191025,0.0,,,,,,
0,4980736,,,,,,,1.736001193523407,0.2136569941587585,1.750964778661728,0.21544134246407798,1.7680585169792176,0.21747794345780935
0,5111808,1.6687626894563437,9.740561705082655,0.04546544289132726,2.093529415603257e-05,0.01999926008284092,0.0,,,,,,
0,5111808,,,,,,,1.72974853515625,0.21291096612857818,1.743860101699829,0.2145943164277293,1.7730682039260863,0.21807445533104675
0,5242880,1.63697016146034,9.677455559372902,0.044153134499083535,1.016695108546628e-05,0.009746355935931206,0.0,,,,,,
0,5242880,,,,,,,1.6992993354797363,0.20927442366720062,1.7139281690120698,0.2110222718889554,1.7524982678890229,0.21562412395944985
0,5373952,1.6172513905912638,9.728189267218113,0.04834070460356088,1.525794027656957e-05,0.015235640108585358,0.0,,,,,,
0,5373952,,,,,,,1.668856394290924,0.2056328326176926,1.6822559535503387,0.20723639890535317,1.708477816581726,0.21037122263191121
0,5505024,1.699663239531219,10.06940422207117,0.05265948193391523,1.9299647675552478e-05,0.019117236137390137,0.0,,,,,,
0,5505024,,,,,,,1.789618968963623,0.22004402256496913,1.8078917384147644,0.2222164286110968,1.8454566180706025,0.2266754831501554
0,5636096,1.711856589652598,10.008954614400864,0.05219443670966939,1.991218665509109e-05,0.01860385574400425,0.0,,,,,,
0,5636096,,,,,,,1.7761616230010986,0.2184427126332884,1.8080428063869476,0.22223437956256786,1.8300644648075104,0.22484952941471836
0,5767168,1.7002462558448315,9.943388924002647,0.0556443908426445,1.692016937226981e-05,0.01591317541897297,0.0,,,,,,
