collected_frames,state/lin_velocity,state/lin_velocity_max,state/lin_velocity_min,state/ang_velocity,state/ang_velocity_max,state/ang_velocity_min,state/roll,state/roll_max,state/roll_min,state/pitch,state/pitch_max,state/pitch_min,state/success_lin_velocity,state/lin_vel_mean,state/lin_vel_max,state/lin_vel_min,state/ang_vel_mean,state/ang_vel_max,state/ang_vel_min,state/roll_deg_mean,state/roll_deg_max,state/roll_deg_min,state/pitch_deg_mean,state/pitch_deg_max,state/pitch_deg_min,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/clearance_max,state/pct_healthy
131072,,,,,,,,,,,,,,0.3312561889179051,1.62885384215042,0.006978569086641073,0.309760314761661,2.6973324669525027,0.003440663610035699,3.552981122615165,37.35073943855241,4.267610464303573e-05,4.178683646052377,46.50463645486161,9.184338992596075e-05,4.885751411318779,0.05780408788996283,-0.4030678770504892,0.8793797427788377,1.0
262144,0.29570581996813416,1.900334239937365,0.007040563597001892,0.3562592889647931,3.1255143843591213,0.0038464958688564366,-0.106429232575465,1.1078789168968797,-1.1012105480767787,-8.13498263596557e-06,0.9489148878492415,-1.131070257164538,0.0,,,,,,,,,,,,,,,,,
262144,,,,,,,,,,,,,,0.2960622988175601,2.050128852017224,0.007040563597001892,0.3567353244870901,3.194828299805522,0.0038464958688564366,9.038195293396711,70.9869342148304,7.414739203759346e-05,7.141195688396692,68.13769546151161,0.00011532609952613626,4.758396375924349,0.09849719644989818,-0.5198279335163534,1.5531738474965096,1.0
393216,0.26534809067379683,1.4361897921189666,0.004663621402414719,0.3394235756713897,3.0957740349695086,0.0039153801335487515,-0.18022996315266937,1.247185449115932,-1.2866239957511425,-0.00010030879632694223,0.9270895458757877,-1.0204794718883932,0.0034642124082893133,,,,,,,,,,,,,,,,,
393216,,,,,,,,,,,,,,0.26552259374875575,1.5480859405361116,0.004663621402414719,0.3396988119930029,3.1323190489783883,0.0039153801335487515,12.718702115118504,76.19153970479965,8.569663662916227e-05,7.153745297342539,64.87421196699142,9.280255257948511e-05,4.476364754140377,0.10753628937527537,-0.7650801381096244,1.5506398854777217,1.0
524288,0.24035867652855814,1.0624120743013918,0.004031164078469374,0.3227726013865322,2.4501414159312844,0.004245000818173139,-0.24306047742720693,1.271414135582745,-1.2761409720405936,-0.008285423965759264,0.918063108343631,-0.8435912979766726,0.010637362487614155,,,,,,,,,,,,,,,,,
524288,,,,,,,,,,,,,,0.24038395390380174,1.0624120743013918,0.004031164078469374,0.3228899943642318,2.4501414159312844,0.004245000818173139,15.293383583426476,76.39109522104263,7.093721581208356e-05,6.056209329515696,55.656771034002304,9.73256936541711e-05,4.175516899675131,0.11016605142503977,-0.7827159436419606,1.5446116793900728,1.0
655360,0.2525803076568991,1.0347366067580879,0.00395162400081972,0.2992903452832252,2.235726381652057,0.0035708890914065705,-0.20740445880801417,0.8059132290072739,-1.1322353794239461,-0.029856441331503447,0.8329505827277899,-0.9614917943254113,0.030937946285121143,,,,,,,,,,,,,,,,,
655360,,,,,,,,,,,,,,0.2526425860123709,1.0573031064122915,0.00395162400081972,0.29944541002623737,2.2456573424860835,0.0035708890914065705,12.681390633806586,66.8706451356411,6.916610233420606e-05,4.769288265611976,57.31456622481346,6.939809769068717e-05,4.149284148588777,0.09276381081144791,-0.5835191973019391,1.1691761827096343,1.0
786432,0.28123158134985715,1.422860692255199,0.003838744499716995,0.3483926341868937,2.7485403399914503,0.0028733145570640772,-0.10206495065358467,0.5695333383046091,-1.1357515836134553,-0.027674253924487857,0.8417018628679216,-0.7872567810118198,0.011327031534165144,,,,,,,,,,,,,,,,,
786432,,,,,,,,,,,,,,0.2812648582039401,1.4448093101382256,0.003838744499716995,0.3484503941144794,2.749449411407113,0.0028733145570640772,6.940893940627575,65.4658617079258,4.6422330440942794e-05,6.378789775073528,52.5630547106266,6.963874308646423e-05,4.019475217908621,0.08109142564353533,-0.3027474000118673,0.4699166885111481,1.0
917504,0.22310982819180936,1.224881978239864,0.0025822012696608,0.34062832361087203,2.533986695110798,0.003558633867669414,-0.1980739722494036,1.062887096311897,-1.209923192858696,-0.11094334645895287,0.8552943887189031,-1.0946098691783845,0.1024742997251451,,,,,,,,,,,,,,,,,
917504,,,,,,,,,,,,,,0.22320815245620906,1.2670526909641922,0.0025822012696608,0.34091505827382207,2.586370972916484,0.003558633867669414,12.81593719124794,72.0792589187622,5.039642669468769e-05,8.703442838042974,64.87171357870102,6.624546816969001e-05,3.586080504581332,0.10869565920438617,-0.788679510820657,0.4617170998826623,1.0
1048576,0.1952249378664419,1.5649776412174106,0.0017878001082181072,0.3329768511466682,2.743125411681831,0.0025808926097852236,-0.24606003239750862,0.7949605104513466,-1.3023397587239742,-0.14738619804847986,0.7811910903546959,-1.1621965854428709,0.12760484346654266,,,,,,,,,,,,,,,,,
1048576,,,,,,,,,,,,,,0.19554042152594775,1.7328932145610452,0.0017878001082181072,0.33341670455411077,2.800142101943493,0.0025808926097852236,15.507061749696732,76.17495596408844,6.878964261303189e-05,10.27713018655777,68.51743692159653,9.907639130357637e-05,3.4954915307462215,0.1284433816326782,-0.814890272449702,0.4299972334410995,1.0
1179648,0.18343303597066551,1.2178984303027391,0.0018160372376314626,0.32320034340955317,2.4846635460853577,0.003302320027614769,-0.25785935088060796,0.9220540630631149,-1.2500205738469958,-0.14517413696739823,0.6068787488620728,-1.239232131280005,0.04826382338069379,,,,,,,,,,,,,,,,,
1179648,,,,,,,,,,,,,,0.18356754968408495,1.263123574666679,0.0018160372376314626,0.3236020188778639,2.4964182507246733,0.003302320027614769,16.262902677059174,73.82383760809898,6.562341421645357e-05,9.902132533490658,71.95111092925072,6.833611483625379e-05,3.4453227519989014,0.13219921186100692,-0.801858511287719,0.43995298352092505,1.0
1310720,0.26451486407313496,1.4267525803297758,0.002340071023013479,0.32865208841394633,2.7129761688411236,0.0031664539060329844,-0.13695555718732066,0.7539329552091658,-1.2057012971490622,-0.09690041921567172,0.7251765662804246,-1.0920332223176956,0.04007940669544041,,,,,,,,,,,,,,,,,
1310720,,,,,,,,,,,,,,0.26460282737389207,1.456958710681647,0.002340071023013479,0.32895573985297233,2.7764222659170628,0.0031664539060329844,9.212994948029518,70.44598519802094,4.9118578207107966e-05,7.908638071268797,63.609259724617004,7.05309862467085e-05,3.7998480778187513,0.09509754154714756,-0.4245251240208745,0.4499031479936093,1.0
1441792,0.22649998671840876,1.167552744038403,0.0017629867825235124,0.33196720317937434,2.398015497252345,0.0029393920331131085,-0.14560784376226366,0.7858158014714718,-1.126440329477191,-0.1339310696348548,0.6579417707398534,-0.9946888708509505,0.12633955519413576,,,,,,,,,,,,,,,,,
1441792,,,,,,,,,,,,,,0.22657186293508857,1.1877791238948703,0.0017629867825235124,0.332204446895048,2.4284942373633385,0.0029393920331131085,10.269457045942545,68.04662600159645,5.141285193061007e-05,8.931711554527283,60.24969145655632,5.854501761515252e-05,3.4668500013649464,0.10838983429130167,-0.20144969155080616,0.4380242023617029,1.0
1572864,0.19885396293830127,1.4249148787930608,0.0013250890183371666,0.323285463033244,2.7214542645961046,0.003107035472339703,-0.18998683046083897,0.6998196905478835,-1.2164560481905937,-0.11525774875190109,0.7396889957599342,-0.9861205909401178,0.12354000913910568,,,,,,,,,,,,,,,,,
1572864,,,,,,,,,,,,,,0.19908810581546277,1.521359578706324,0.0013250890183371666,0.3237733677960932,2.751523146405816,0.003107035472339703,12.718068800866604,71.85806158185005,5.4468997347623116e-05,8.436778910458088,61.90297368168831,7.523486807103907e-05,3.359765902161598,0.12308764096815139,-0.3976885012816638,0.45287737459875643,1.0
1703936,0.2027727699605748,1.1519762063398957,0.0010635948892740998,0.32094959425739944,2.6307023745030165,0.0028268342847468375,-0.19735008664429188,0.9331755209714174,-1.2341629192233086,-0.07499715118319727,0.6816979111172259,-1.1349555626511574,0.12611741432920098,,,,,,,,,,,,,,,,,
1703936,,,,,,,,,,,,,,0.20294942136388272,1.1572996797040105,0.0010635948892740998,0.32165753515437245,2.720614843070507,0.0028268342847468375,12.877206407487392,73.44057294726372,6.292789367190466e-05,7.018159504979849,68.09199672937393,6.337948755374967e-05,3.275660140439868,0.12211232096888125,-0.18555357167497277,0.4565966194495559,1.0
