collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
131072,0.00029322842601686716,0.6271772384643555,-0.009437354281544685,0.6172731518745422,0.03644745424389839,0.6394139528274536,-0.02000243589282036,0.6187716126441956,0.020838946104049683,0.6314698457717896,-0.0075523266568779945,0.6201690435409546
262144,0.06422189623117447,0.6266170144081116,-0.010397939011454582,0.6145375370979309,0.02425464242696762,0.6335004568099976,-0.012015790678560734,0.6207799315452576,0.031695783138275146,0.6286354660987854,-0.02359812706708908,0.615445077419281
393216,0.11264019459486008,0.6180069446563721,-0.019391849637031555,0.6126458048820496,0.052617453038692474,0.6294907927513123,-0.016949910670518875,0.6170878410339355,0.03229537978768349,0.6272090077400208,-0.02575279027223587,0.6161894798278809
524288,0.17150729894638062,0.6062282919883728,-0.019881125539541245,0.612485945224762,0.06105177849531174,0.6280629634857178,-0.02246241644024849,0.6165522336959839,0.018995599821209908,0.6293379664421082,-0.02398715168237686,0.6156532168388367
655360,0.22729894518852234,0.5876303911209106,-0.019223343580961227,0.6058409214019775,0.06599908322095871,0.6234166026115417,-0.024396874010562897,0.6152490973472595,0.038058146834373474,0.623854398727417,-0.017811838537454605,0.6146723031997681
786432,0.2772524952888489,0.5747472643852234,-0.009656121022999287,0.6118952631950378,0.08324477076530457,0.6263043880462646,-0.014874458312988281,0.6180979609489441,0.03282066062092781,0.6281077861785889,-0.01638936996459961,0.6183072328567505
917504,0.3303554654121399,0.5640778541564941,-0.009400846436619759,0.6124176979064941,0.08268000185489655,0.630908191204071,-0.028620386496186256,0.6186240315437317,0.02641521394252777,0.630217969417572,-0.03456313908100128,0.6219306588172913
1048576,0.3533073365688324,0.5542441010475159,-0.01578768901526928,0.6076059341430664,0.09596052765846252,0.6290439367294312,-0.020989451557397842,0.622355580329895,0.023346614092588425,0.6252347826957703,-0.027305349707603455,0.6167863607406616
1179648,0.36646217107772827,0.5515189170837402,-0.02361350506544113,0.6045160293579102,0.09089791774749756,0.6272698640823364,-0.012054136022925377,0.6214469075202942,0.021469995379447937,0.6272408366203308,-0.02684381604194641,0.6213666796684265
1310720,0.39532583951950073,0.5285267233848572,-0.027460411190986633,0.5944707989692688,0.10637025535106659,0.6156876087188721,-0.0037808306515216827,0.6196907758712769,0.0513816773891449,0.6186770796775818,-0.0010769739747047424,0.6104069352149963
1441792,0.4142489433288574,0.542084813117981,-0.018600301817059517,0.611585795879364,0.10189138352870941,0.6301670074462891,-0.006292442791163921,0.6337615251541138,0.01441073790192604,0.628438413143158,-0.04294079914689064,0.6258785128593445
