collected_frames,grad_contrib/shaping,grad_contrib/joint_ang_from_flat_penalty,grad_contrib/joint_angle_var_penalty,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/clearance,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
131072,-0.10385585960937607,0.014213230840620174,0.011786394960280012,-0.011865270506300544,0.0408520869357119,-8.42757916301826e-05,0.04246255990013259,0.000624118674534332,-0.0014946061164516618,-0.48147191727241745,-0.04403373460000169,0.2472559447925434
262144,-0.3015745981021218,-0.0014273545259803153,0.0014013299224177249,-0.003190601678023926,0.007850024239470168,-0.04536270485398449,0.010409614348836036,8.416901546114683e-05,-0.002732252259431347,-0.4647930445551096,-0.011148210821265232,-0.1500260956778982
393216,-0.38305976864346275,-0.001575747292897714,-0.0002642900392902479,-0.008864198405284171,0.005266884419338363,-0.04648130744275257,0.011650902404288,0.0001729685801223969,-0.004669165462361318,-0.4763042535607448,-0.000523532349517988,0.061166981399939674
524288,-0.3181069129209131,0.0007503488670984539,-0.0007780010969184911,0.0031130088341832706,-0.005768863948594891,-0.011183109257612893,-0.0028000432107335837,-0.0034045566867337,-0.004339382997586009,-0.2678231201313666,-0.007739911143501632,-0.3741927409047574
655360,-0.39692283708638665,-0.0020553346446861714,-0.00037713606040497754,-0.005370275481073382,-0.00033993732146436154,-0.0402782409100826,0.0033989571389238674,0.0001339474174086182,-0.004272589252621705,-0.5099221069929141,0.008728012924236852,0.028200624769796744
786432,-0.1507279963028814,0.0028360921771318406,0.0026742732659167474,0.0037273523041794635,0.029027206371882868,0.005038388268385613,0.014411587298041956,-0.0011627866943208095,0.00475035667907924,0.10718680429017843,0.005527380141521296,0.6729297762064803
917504,-0.17962621440339263,-0.0015561130124183845,-0.0014423216120342333,0.0017345437997696395,0.010117300607282203,-0.01837323560699803,0.005034778628987912,0.00014516226816816126,0.0019226686708824835,-0.5794790333011687,0.004552805578345254,-0.19601582251055244
1048576,-0.38129503615662375,-0.0029644876133171454,-0.005815951175720751,-0.021355628420928235,-0.022986096163573177,-0.05657248461907077,0.009607818339464093,-0.0012215690520451185,-0.007114096730762133,-0.3272250115024637,0.049605084687129423,-0.11423673553890168
1179648,-0.37481117676009745,0.002108181242156096,0.00014483213808260485,0.01154635291306336,-0.003972286328088984,-0.013372007976786412,0.004563131305322478,-0.0001638215590176599,-0.005776493679889232,-0.14982780914760038,0.033669276691233506,-0.4000446302586618
1310720,-0.3979632474499167,-0.0013440420142310516,-0.0006844237471757234,-0.013658727174154665,0.00048365915685311817,-0.02821173820556979,0.00979669099040162,-0.0004722760356731439,-0.007865593028707353,-0.4902632828327869,0.021125643909155067,-0.028130675455374853
1441792,-0.43013924067328757,-0.0006322457287001808,0.0018861522628613066,-0.014802736626727797,0.013123513902369944,-0.011070974662535706,0.01647359748073968,-0.00327281954972012,0.0005447536973991615,-0.4536682777902334,0.012489220519597964,-0.04189646710582717
1572864,-0.3403604073321205,-0.0015210501751391058,-0.0002683530557713114,0.00019460692150566073,0.003303614863807908,-0.03322293283475992,0.011759698901627208,0.0009135377600028529,-0.00405415002457926,-0.4972804972343851,0.004209158483377533,-0.10291199241292369
1703936,-0.1496772252983192,0.0020565114002146913,-0.0030247715813882274,-0.005170074219823633,-0.010528402592862609,-0.04207264182340603,0.02040997318856351,0.0008032942420987654,0.008023184709375726,0.10682066863511337,0.015058073593974652,-0.6363551787148596
1835008,-0.24782433845944937,-0.0019197190381626838,-0.0009901458376994365,0.004162457427552947,0.0033510563579109472,-0.021604916311555748,0.002623488260807743,0.0013228638461362015,-0.0016792647011520945,-0.2582677440986835,0.006120966991127386,-0.4501330386697619
1966080,0.0685786799676516,-0.005063107415098766,-0.005018766110033988,0.04123482552425693,0.019249906757734088,-0.035607890403732224,-0.02914584169652689,-7.36856201278888e-05,0.01320492606773849,0.48970348320103746,-0.02594996267421802,-0.26716892456184366
2097152,-0.2401369805201366,0.0015532256725018445,0.0037107358426568355,0.0012831049963816167,0.011330943533783043,-0.045103713185389624,0.013158295571363632,0.0005102524747309543,-0.007231333270043243,-0.2055971271257761,0.06391041379552621,-0.4064738740117103
2228224,-0.4153406402554644,0.0018723585386018053,0.0032539243852016102,-0.017448469051998334,0.0005272226241980713,-0.04675943235894655,0.007056115115879376,-0.0010076349457237956,0.00044020157421075873,-0.2913979444712662,0.024654082557403926,-0.1902419741211051
2359296,-0.345924732398127,-0.0016834906717272276,-0.0009286534609838742,-0.004016678301552932,0.00138677245840065,-0.02329588928792521,0.0007604762157026149,0.00027379658748402424,-0.002338505735988715,-0.5526597375785345,0.0188972797632302,-0.04783398754034309
2490368,-0.351347579992445,-0.0037507005119023474,0.00040118808938033795,-0.017048683169399188,0.004670387961117308,-0.008254362453531512,0.0047503738975979036,0.0008000049670043832,0.00022113934249175563,-0.49072861650747557,0.005181194811740418,-0.11284576829591429
2621440,-0.3135088232953264,-0.007203329682712514,-0.0035337254611251243,-0.029365787130354235,0.009227897362792373,-0.06262010954190579,0.008334247833611615,-0.00455526270362633,-0.007296020566518866,-0.4980895935638411,0.027815807776145816,-0.028449395082039832
2752512,-0.15936220665595027,-0.005079017511704051,-0.009299894354299327,0.00976220791035108,0.010642236575169725,-0.00532473398139622,-0.011171987066453844,0.0018458550363450116,0.007664577349727032,-0.06609877019814955,0.0032763325168630206,-0.7104721808435909
2883584,-0.37254171488899296,-0.003256741312352776,-0.0018712132201787965,-0.036671698554069064,-0.0009179470638398488,-0.039709495662283795,0.011416717964789476,0.002056306512891024,0.0023036409553974556,0.01013497493346494,-0.024138589099704625,-0.4949809598320352
3014656,-0.25613881692726165,-0.0019193358112737085,0.001857701984764443,0.020242966270416787,-0.0005983574605228986,-0.026612030925399998,0.0037926990302165424,-0.0019021361141409916,-0.004992939758388659,-0.4184010801779006,0.005616050627841125,-0.25792588491187257
3145728,-0.23464913406676335,-0.00012663088401633602,-0.0006870664680769234,-0.0034125236684808195,-0.0044104186891112075,-0.02474848459490336,-0.02338415366262438,-0.004877713676007447,0.0003118893732613866,-0.13871599376491425,0.024424432487435362,-0.5402515586644051
3276800,-0.08170977703135802,-0.0038914344396141966,-0.00490274908983841,0.01900947471870595,-0.013606420770160391,-0.052310962643712454,-0.008157773208832824,0.0004998715872212019,0.001663497586985027,-0.19767950538359666,0.033815387635368115,-0.5827531459046068
3407872,-0.35172073112820074,-0.004649936833773567,-0.005105176256270483,-0.036271694169538564,-0.008183742394615303,-0.04582845382286422,0.00336422387170757,0.0017251008612538545,-0.008570503991420057,-0.5097945555069583,0.001685749870480597,0.02310013129291676
