collected_frames,state/lin_velocity,state/lin_velocity_max,state/lin_velocity_min,state/ang_velocity,state/ang_velocity_max,state/ang_velocity_min,state/roll,state/roll_max,state/roll_min,state/pitch,state/pitch_max,state/pitch_min,state/success_lin_velocity,state/lin_vel_mean,state/lin_vel_max,state/lin_vel_min,state/ang_vel_mean,state/ang_vel_max,state/ang_vel_min,state/roll_deg_mean,state/roll_deg_max,state/roll_deg_min,state/pitch_deg_mean,state/pitch_deg_max,state/pitch_deg_min,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/clearance_max,state/pct_healthy
131072,,,,,,,,,,,,,,0.3564491991419345,1.1311311568133533,0.005391573626752688,0.34556506073568016,2.345988718792796,0.01030991583525065,3.5525081144296564,42.31739370664582,0.00011816239411334417,6.707894337770995,36.404520738404244,0.0005664547839057121,4.680509228259325,0.05624254716553878,-0.05395643808878958,0.294108247384429,1.0
262144,0.28475074120797217,1.207988812122494,0.0009051323050641713,0.331104913726449,2.677422267384827,0.005087434913320976,-0.007008337421666511,0.851448527071625,-0.9283839804120362,-0.033848845938337035,0.6831972044892609,-0.7613700358197093,0.5909265908412635,,,,,,,,,,,,,,,,,
262144,,,,,,,,,,,,,,0.2850126775447279,1.2382357767783105,0.0009051323050641713,0.3314301515929401,2.717781389132142,0.005087434913320976,4.703277889639139,60.44816416501999,7.437971786106168e-05,9.311385497450829,47.562565207481384,0.00017301600989094723,3.965690838173032,0.06295381498057395,-0.07713284809142351,0.4699773311149329,1.0
393216,0.30999554437585175,1.1878791120834649,0.0014127390743396973,0.3306265741121024,2.487476092763245,0.005763624609244289,-0.004643272645807883,0.8936661770567298,-0.7505962289869785,-0.03318374782065803,0.6594549398869276,-0.787398740183562,0.529289115453139,,,,,,,,,,,,,,,,,
393216,,,,,,,,,,,,,,0.31014412082731724,1.2014985526911914,0.0014127390743396973,0.33081957208923995,2.5338815385475755,0.005763624609244289,4.053845813497901,56.12157079577446,7.584925003512044e-05,8.658065263181925,47.22937822341919,0.00023863765121351355,4.273989988490939,0.05936119015677832,-0.07589647034183145,0.4094355902634561,1.0
524288,0.2944401656277478,1.2004874651320279,0.001014574044489791,0.33564082626253366,2.6088709831237793,0.005017494465732852,-0.009068443592695985,0.7975088725797832,-0.9028416611254215,-0.03810183498717379,0.6786344358697534,-0.7965683653019369,0.5838761676568538,,,,,,,,,,,,,,,,,
524288,,,,,,,,,,,,,,0.2945845474023372,1.2193036386743188,0.001014574044489791,0.33587359893135726,2.6819866709411144,0.005017494465732852,4.670860104262829,56.534897059202194,7.797669072406865e-05,8.924726210534573,48.02472233772278,0.0001616601375329374,4.043729921802878,0.0628976967127528,-0.08043443225324154,0.4295589404646307,1.0
655360,0.30197081132791936,1.2030641282908618,0.0013633548747904456,0.3295421351213008,2.621320423670113,0.0070701709431659765,-0.0056626016707923554,0.8286424642428756,-0.8897026241756976,-0.03768686304829316,0.6570084663107991,-0.7746788617223501,0.5818448681384325,,,,,,,,,,,,,,,,,
655360,,,,,,,,,,,,,,0.30215943325310946,1.2087541515938938,0.0013633548747904456,0.32985771796666086,2.6769049018621445,0.0070701709431659765,4.382542911916971,57.5979622900486,9.561021233217559e-05,8.728892426937819,45.863388776779175,0.0001611401735353013,4.176705777645111,0.061236185720190406,-0.07507220795378089,0.4145174417644739,1.0
786432,0.2950066535267979,1.1724500157870352,0.0006398870786412658,0.3323794382158667,2.5693976497277617,0.003578885742570037,-0.006811136674514273,0.9078818098641932,-0.9041009312495589,-0.0378718055144418,0.6972836256027222,-0.7947020386345685,0.577342180069536,,,,,,,,,,,,,,,,,
