collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef
131072,0.05483720451593399,5.689459800720215,5.634622596204281,-6.004293918609619,-2.3130674362182617,8.220359802246094,-0.06804966181516647,-0.027861010283231735,2.3097891807556152,0.04136659950017929,0.4296875,-6.004293918609619,22.031967163085938,13.398571014404297,0.0005027635788094066,0.001698572532095114,-0.05959512071534246,16.29043388277351
262144,-0.06309010088443756,-6.809818744659424,-6.746728643774986,-2.4491724967956543,-2.353844404220581,4.812180519104004,-0.057945363223552704,-0.027904529124498367,2.31339693069458,0.06625748425722122,0.47021484375,-2.4491724967956543,13.660534858703613,4.598735332489014,0.0005025839562374847,0.0016979656823158731,-0.05970135087704539,16.29043388277351
393216,0.02060711197555065,-4.8217926025390625,-4.842399714514613,0.28941845893859863,-2.355104684829712,7.315659523010254,-0.06353896111249924,-0.028201013803482056,2.3379769325256348,0.05725444480776787,0.43115234375,0.28941845893859863,18.480426788330078,4.419313907623291,0.0005024043336655628,0.0016973588325366322,-0.059807581038748316,16.29043388277351
524288,-0.01642359048128128,-6.820031642913818,-6.803608052432537,0.062205005437135696,-2.3724164962768555,6.143606185913086,-0.05899655818939209,-0.028919624164700508,2.397552490234375,0.059469807893037796,0.450439453125,0.062205005437135696,14.895277976989746,6.224703311920166,0.0005022247110936409,0.0016967519827573916,-0.05991381120045124,16.29043388277351
655360,0.010191990993916988,-5.402032852172852,-5.4122248431667686,0.42319148778915405,-2.3646888732910156,6.7148919105529785,-0.0668860375881195,-0.028307856991887093,2.346834659576416,0.04568668082356453,0.452392578125,0.42319148778915405,16.50248146057129,5.981269359588623,0.000502045088521719,0.0016961451329781507,-0.06002004136215417,16.29043388277351
786432,-0.005944584030658007,-4.952113628387451,-4.946169044356793,-0.5424771308898926,-2.35243558883667,6.185976982116699,-0.06021072715520859,-0.028128238394856453,2.3319435119628906,0.048780180513858795,0.42333984375,-0.5424771308898926,15.07115650177002,4.713444709777832,0.0005018654659497971,0.0016955382831989098,-0.0601262715238571,16.29043388277351
917504,-0.001447826623916626,-4.099835395812988,-4.098387569189072,-0.7010937929153442,-2.3527350425720215,6.513360977172852,-0.06455719470977783,-0.028432603925466537,2.3571765422821045,0.052502475678920746,0.440185546875,-0.7010937929153442,15.762019157409668,9.332071304321289,0.0005016858433778752,0.001694931433419669,-0.060232501685560026,16.29043388277351
1048576,0.0030677574686706066,-5.650748252868652,-5.653816010337323,-0.547194242477417,-2.352036952972412,6.166075706481934,-0.0627189427614212,-0.028474535793066025,2.3606526851654053,0.0412491038441658,0.43017578125,-0.547194242477417,15.74069595336914,5.276832103729248,0.0005015062208059533,0.0016943245836404282,-0.060338731847262954,16.29043388277351
1179648,-0.007364479824900627,-5.672975540161133,-5.665611060336232,-0.4743282198905945,-2.384646415710449,6.600786209106445,-0.06449081003665924,-0.028963603079319,2.401198625564575,0.05046048015356064,0.432373046875,-0.4743282198905945,16.224584579467773,6.278626918792725,0.0005013265982340313,0.0016937177338611873,-0.06044496200896588,16.29043388277351
1310720,-0.04597754031419754,-6.273482322692871,-6.2275047823786736,-1.3553533554077148,-2.375404119491577,7.317824840545654,-0.06513094156980515,-0.02833208069205284,2.3488426208496094,0.044342800974845886,0.422119140625,-1.3553533554077148,17.010263442993164,5.799139499664307,0.0005011469756621094,0.0016931108840819464,-0.06055119217066881,16.29043388277351
1441792,-0.006774548441171646,-6.26668643951416,-6.2599118910729885,-0.3509037494659424,-2.3547439575195312,6.185054779052734,-0.062414370477199554,-0.028253475204110146,2.3423259258270264,0.05119207501411438,0.443115234375,-0.3509037494659424,16.0129337310791,5.634218692779541,0.0005009673530901876,0.0016925040343027057,-0.06065742233237174,16.29043388277351
1572864,0.008235150016844273,-5.235753536224365,-5.2439886862412095,-0.09373989701271057,-2.344836711883545,6.825069427490234,-0.057514794170856476,-0.028282880783081055,2.34476375579834,0.052435487508773804,0.43896484375,-0.09373989701271057,16.807418823242188,5.286270618438721,0.0005007877305182657,0.0016918971845234648,-0.06076365249407466,16.29043388277351
1703936,0.0007899953052401543,-6.190098762512207,-6.190888757817447,-0.42758095264434814,-2.339953660964966,6.610057830810547,-0.058024145662784576,-0.028066463768482208,2.32682204246521,0.05492062494158745,0.44384765625,-0.42758095264434814,16.100751876831055,5.93806791305542,0.0005006081079463439,0.001691290334744224,-0.060869882655777585,16.29043388277351
1835008,-0.005362347234040499,-6.666350364685059,-6.660988017451018,0.35048723220825195,-2.3383917808532715,6.634066581726074,-0.06090303510427475,-0.02808937430381775,2.328721523284912,0.04940728843212128,0.438720703125,0.35048723220825195,15.942708015441895,4.583247184753418,0.0005004284853744219,0.001690683484964983,-0.06097611281748051,16.29043388277351
1966080,0.004426299594342709,-5.222301483154297,-5.22672778274864,-0.3788089156150818,-2.3512027263641357,6.74947452545166,-0.06125160679221153,-0.02861938439309597,2.3726613521575928,0.05492732673883438,0.443359375,-0.3788089156150818,15.702360153198242,8.538352012634277,0.0005002488628025,0.0016900766351857423,-0.06108234297918344,16.29043388277351
2097152,-0.0069833616726100445,-6.493829727172852,-6.4868463655002415,-0.5984920263290405,-2.367027759552002,6.474566459655762,-0.06307206302881241,-0.028091182932257652,2.328871250152588,0.05949036031961441,0.451171875,-0.5984920263290405,16.07330322265625,6.12419319152832,0.0005000692402305782,0.0016894697854065016,-0.06118857314088637,16.29043388277351
2228224,0.004942301660776138,-6.439265251159668,-6.444207552820444,0.3896024525165558,-2.3502237796783447,6.179952621459961,-0.05938895791769028,-0.027622321620583534,2.2900009155273438,0.0573219358921051,0.44482421875,0.3896024525165558,15.5475435256958,4.7044878005981445,0.0004998896176586562,0.0016888629356272607,-0.061294803302589296,16.29043388277351
2359296,-0.044760413467884064,-5.706576347351074,-5.66181593388319,-1.7587051391601562,-2.3501992225646973,6.891474723815918,-0.0637492686510086,-0.02832675538957119,2.3484010696411133,0.05093201994895935,0.43701171875,-1.7587051391601562,16.72519874572754,9.390219688415527,0.0004997099950867343,0.0016882560858480198,-0.06140103346429222,16.29043388277351
2490368,-0.011510170996189117,-7.873404026031494,-7.861893855035305,-0.5488557815551758,-2.343257188796997,6.549539089202881,-0.06090473756194115,-0.02795785665512085,2.3178181648254395,0.05669618770480156,0.4404296875,-0.5488557815551758,15.969000816345215,5.605170249938965,0.0004995303725148125,0.0016876492360687792,-0.061507263625995165,16.29043388277351
2621440,0.0040128580294549465,-6.322193145751953,-6.326206003781408,-0.2600208520889282,-2.3340983390808105,6.89029598236084,-0.05712435021996498,-0.027871454134583473,2.310655117034912,0.03985027223825455,0.44580078125,-0.2600208520889282,16.668651580810547,5.913744926452637,0.0004993507499428906,0.0016870423862895383,-0.06161349378769809,16.29043388277351
2752512,-0.00032272934913635254,-5.992859363555908,-5.992536634206772,-0.2971770763397217,-2.329216241836548,6.446706771850586,-0.05902107059955597,-0.027810126543045044,2.305570602416992,0.044404685497283936,0.4248046875,-0.2971770763397217,15.817156791687012,4.87400484085083,0.0004991711273709688,0.0016864355365102974,-0.06171972394940102,16.29043388277351
2883584,0.01333538070321083,-5.481206893920898,-5.494542274624109,-0.2354041039943695,-2.3145108222961426,6.600944519042969,-0.06136078014969826,-0.028021130710840225,2.323063850402832,0.043319303542375565,0.43896484375,-0.2354041039943695,16.106576919555664,6.441357612609863,0.0004989915047990469,0.0016858286867310567,-0.06182595411110395,16.29043388277351
3014656,-0.004739259369671345,-5.878070831298828,-5.873331571929157,-0.18882513046264648,-2.346402645111084,6.592677593231201,-0.06507964432239532,-0.028420966118574142,2.3562114238739014,0.04787443205714226,0.44189453125,-0.18882513046264648,16.267480850219727,6.487326145172119,0.0004988118822271251,0.0016852218369518158,-0.061932184272806876,16.29043388277351
3145728,-0.005715326406061649,-5.786864280700684,-5.781148954294622,-0.25757038593292236,-2.337282657623291,6.425378799438477,-0.05884012207388878,-0.028538642451167107,2.3659675121307373,0.05421069264411926,0.440673828125,-0.25757038593292236,16.090208053588867,6.8940510749816895,0.0004986322596552032,0.0016846149871725749,-0.0620384144345098,16.29043388277351
3276800,0.0021373447962105274,-5.417359828948975,-5.419497173745185,-0.8031740188598633,-2.338589668273926,6.381329536437988,-0.05578048527240753,-0.028439227491617203,2.3577256202697754,0.05779162049293518,0.4501953125,-0.8031740188598633,16.380046844482422,7.818628311157227,0.0004984526370832813,0.001684008137393334,-0.06214464459621273,16.29043388277351
3407872,-0.05368533730506897,-5.864731788635254,-5.811046451330185,-1.8845865726470947,-2.385822296142578,6.727118968963623,-0.06013847887516022,-0.028653860092163086,2.3755195140838623,0.04679488390684128,0.422607421875,-1.8845865726470947,16.631847381591797,5.760936737060547,0.0004982730145113595,0.001683401287614093,-0.06225087475791566,16.29043388277351
