collected_frames,var_decomp/shaping,var_decomp/joint_ang_from_flat_penalty,var_decomp/joint_angle_var_penalty,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/clearance,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
131072,3.8180532455444336,0.007082363590598106,-0.0003008158237207681,0.07469577342271805,0.09669066220521927,0.1909674108028412,-0.024161795154213905,0.00048392810276709497,0.027850238606333733,4.23635196685791,-0.19108039140701294,-0.06663685292005539
262144,2.394691228866577,0.010392777621746063,-0.001767283771187067,-0.022563843056559563,-0.07270275056362152,0.3057407736778259,-0.07641949504613876,0.001128368778154254,0.005290738306939602,4.403128147125244,0.041937101632356644,4.59774923324585
393216,4.253993034362793,0.016105415299534798,0.004088240675628185,0.07686460763216019,0.04697956517338753,0.32042890787124634,-0.04696039482951164,0.00182290596421808,0.03245384246110916,4.801087856292725,-0.155930757522583,-0.18762816488742828
524288,1.646742582321167,0.004356828052550554,-0.001396866049617529,0.005765634123235941,0.029953084886074066,0.12240901589393616,-0.0028175623156130314,0.004720584489405155,0.014895720407366753,2.1810834407806396,-0.0008489819592796266,5.080410003662109
655360,3.295644521713257,0.009580741636455059,-0.0024296483024954796,0.06060493364930153,-0.0004372166295070201,0.2573520243167877,-0.02580706961452961,7.885778904892504e-05,0.02381718158721924,4.593921184539795,-0.09643233567476273,1.3668010234832764
786432,1.3626784086227417,0.009317565709352493,0.0016075294697657228,0.04772365465760231,0.09564525634050369,0.09730936586856842,0.02638556808233261,-0.0008205667254514992,0.016878973692655563,2.8699874877929688,-0.16167962551116943,4.466654300689697
917504,1.1742222309112549,0.003897071350365877,0.004716613795608282,0.00411828700453043,-0.009534237906336784,0.0336100198328495,0.006396378856152296,0.0026686976198107004,0.00576178589835763,3.691956043243408,0.042802635580301285,4.250494480133057
1048576,1.1262294054031372,0.008591899648308754,0.006191248074173927,0.03771089017391205,0.04284963756799698,0.04367298632860184,0.0004479319613892585,0.004330292344093323,0.02194817177951336,2.8977456092834473,-0.053499720990657806,4.884955406188965
1179648,0.8553974628448486,0.0009733120095916092,-0.001882712123915553,0.03621700033545494,-0.015570191666483879,0.014276617206633091,-0.01914517767727375,-0.009349239058792591,-0.006243649870157242,3.036898374557495,-0.048948194831609726,5.450615882873535
1310720,3.1091673374176025,0.009326957166194916,0.008460930548608303,0.04788147285580635,0.05174993351101875,0.2523280382156372,-0.0263059139251709,-0.004970959387719631,0.037505559623241425,4.803118705749512,-0.14053858816623688,2.930523633956909
1441792,1.2724159955978394,-0.006127931177616119,-0.013891338370740414,0.02696944959461689,0.012840020470321178,0.021341579034924507,-0.02768838405609131,-0.0018850767519325018,0.0003645246906671673,3.458616018295288,-0.006916360929608345,4.565107822418213
1572864,1.6574114561080933,0.005713554564863443,-0.0019806495402008295,0.010371359996497631,0.018887847661972046,0.13265767693519592,-0.0072921570390462875,-0.00013451631821226329,0.009087534621357918,3.24297833442688,-0.030923912301659584,4.083730220794678
1703936,0.5202150344848633,-0.0023484595585614443,0.00315996166318655,-0.012609647586941719,0.027363482862710953,0.0068983701057732105,0.0414864644408226,-0.0062189227901399136,0.0034750665072351694,2.413635492324829,0.020035753026604652,6.243377208709717
