collected_frames,env/success_rate,env/failure_rate
131072,0.95,0.05
262144,0.8472222222222222,0.1527777777777778
393216,0.35919540229885055,0.05890804597701149
524288,0.5932504440497336,0.07104795737122557
655360,0.4712286158631415,0.08709175738724728
786432,0.5652951699463328,0.08228980322003578
917504,0.5449640287769785,0.07733812949640288
1048576,0.48932676518883417,0.090311986863711
1179648,0.5578947368421052,0.06666666666666667
1310720,0.5795454545454546,0.06628787878787878
1441792,0.5565693430656934,0.06569343065693431
1572864,0.4833887043189369,0.08139534883720931
1703936,0.5697278911564626,0.06292517006802721
1835008,0.5033670033670034,0.06902356902356903
1966080,0.513986013986014,0.09615384615384616
2097152,0.5333333333333333,0.08717948717948718
2228224,0.5431472081218274,0.0829103214890017
2359296,0.5901639344262295,0.0947176684881603
2490368,0.5307971014492754,0.08695652173913043
2621440,0.5133779264214047,0.08695652173913043
2752512,0.5413793103448276,0.07931034482758621
2883584,0.5377049180327869,0.08196721311475409
3014656,0.5292096219931272,0.09450171821305842
3145728,0.525,0.09333333333333334
3276800,0.5532286212914486,0.07155322862129145
3407872,0.5908221797323135,0.08221797323135756
3538944,0.5652173913043478,0.06688963210702341
3670016,0.5165794066317626,0.07853403141361257
3801088,0.5282051282051282,0.08376068376068375
3932160,0.49,0.09333333333333334
4063232,0.5534804753820034,0.08828522920203735
4194304,0.5308219178082192,0.07876712328767123
4325376,0.5337726523887973,0.07907742998352553
4456448,0.5885608856088561,0.07933579335793357
4587520,0.5622775800711743,0.07829181494661921
4718592,0.5117845117845118,0.10606060606060606
4849664,0.5199335548172758,0.09136212624584718
4980736,0.5301003344481605,0.08528428093645485
5111808,0.5249169435215947,0.09136212624584718
5242880,0.5426621160409556,0.08532423208191127
5373952,0.5320197044334976,0.08538587848932677
5505024,0.5919854280510018,0.08561020036429873
5636096,0.5570934256055363,0.07958477508650519
5767168,0.5209059233449478,0.08362369337979095
5898240,0.5278246205733558,0.08263069139966273
6029312,0.5211726384364821,0.08143322475570032
6160384,0.5425709515859767,0.1001669449081803
6291456,0.5212014134275619,0.09187279151943463
6422528,0.5187601957585645,0.10603588907014681
6553600,0.5802919708029197,0.10218978102189781
6684672,0.5276292335115864,0.09269162210338681
6815744,0.5132890365448505,0.08305647840531562
6946816,0.5573192239858906,0.07760141093474426
7077888,0.5392,0.0736
7208960,0.5431472081218274,0.09475465313028765
7340032,0.517948717948718,0.09572649572649573
7471104,0.5438898450946644,0.08433734939759036
7602176,0.5582706766917294,0.12030075187969924
7733248,0.5258467023172906,0.1051693404634581
7864320,0.5082236842105263,0.1069078947368421
7995392,0.5682967959527825,0.07925801011804384
8126464,0.5194174757281553,0.09546925566343042
8257536,0.5452991452991452,0.10427350427350428
8388608,0.5314569536423841,0.08278145695364239
8519680,0.5565068493150684,0.09075342465753425
8650752,0.6010544815465729,0.08260105448154657
8781824,0.5514184397163121,0.09929078014184398
8912896,0.551779935275081,0.0970873786407767
9043968,0.5506756756756757,0.0929054054054054
9175040,0.5583756345177665,0.08629441624365482
9306112,0.5369774919614148,0.09807073954983923
9437184,0.5762411347517731,0.0851063829787234
9568256,0.5347334410339257,0.0888529886914378
9699328,0.604982206405694,0.12455516014234876
9830400,0.5641476274165202,0.07557117750439367
9961472,0.5528455284552846,0.09268292682926829
10092544,0.559322033898305,0.09322033898305085
10223616,0.5207667731629393,0.11022364217252396
10354688,0.5752961082910322,0.08967851099830795
10485760,0.5560975609756098,0.0991869918699187
10616832,0.5786713286713286,0.08216783216783216
10747904,0.6254237288135593,0.1016949152542373
10878976,0.5620567375886525,0.10106382978723404
11010048,0.5394736842105263,0.07730263157894737
11141120,0.5752961082910322,0.08798646362098139
11272192,0.5510534846029174,0.0713128038897893
11403264,0.560200668896321,0.1020066889632107
11534336,0.5405405405405406,0.10641891891891891
