collected_frames,var_decomp/shaping,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
131072,0.5178431272506714,-0.25997984409332275,-0.3837513327598572,-0.5002068877220154,-0.34821581840515137,3.5100514888763428,3.2508294582366943,0.05208944156765938,-0.08025828748941422
262144,0.8558182716369629,0.5862197875976562,-0.01522664725780487,0.22827087342739105,-0.02272692136466503,-0.8651769161224365,2.242164373397827,0.0070133511908352375,0.0469273179769516
393216,1.3579716682434082,0.4331214725971222,-0.025653913617134094,-0.05857164412736893,0.056219540536403656,-0.35422101616859436,2.451920986175537,-0.042922038584947586,-0.016937272623181343
524288,1.280358910560608,0.3670072555541992,-0.04266710951924324,0.22587233781814575,-0.0025871240068227053,-0.19502882659435272,2.4332876205444336,0.036091744899749756,0.009982217103242874
655360,1.8755991458892822,0.8363444805145264,0.16531403362751007,0.41527166962623596,0.1846494972705841,-0.7098771333694458,3.153716802597046,-0.06902346014976501,0.01196779403835535
786432,1.648769497871399,0.20873555541038513,0.006708784494549036,0.348294198513031,-0.04835544526576996,-0.4597686529159546,2.9154090881347656,-0.07838773727416992,-0.016157815232872963
917504,1.084222674369812,0.7573397755622864,0.0016059214249253273,0.540047824382782,0.0017213812097907066,-0.1546899676322937,4.38332462310791,0.07379410415887833,1.1137535572052002
1048576,0.7156729102134705,0.2916218042373657,0.016005365177989006,0.2964075803756714,-0.030047869309782982,0.18099118769168854,3.860518455505371,0.09501837939023972,0.6250090003013611
1179648,0.37075287103652954,0.008192832581698895,-0.013678246177732944,0.004953726194798946,-0.011341127566993237,0.25006434321403503,3.3445451259613037,0.10820098966360092,0.3990064859390259
1310720,1.3325543403625488,0.26255297660827637,0.09310190379619598,0.34259864687919617,0.08310555666685104,-0.21816766262054443,3.160656690597534,-0.0794958844780922,0.003173212520778179
1441792,1.8936861753463745,0.4808172881603241,0.049776334315538406,0.09064852446317673,0.016139954328536987,-0.10285420715808868,4.492026329040527,0.013845967128872871,-0.11550577729940414
1572864,0.05742551013827324,-0.18979570269584656,-0.02590455487370491,0.3290669023990631,0.050278134644031525,0.3818763792514801,2.5600697994232178,-0.013610380701720715,1.0390889644622803
1703936,0.6384305357933044,0.10264258086681366,0.022185219451785088,-0.16429731249809265,0.011402513831853867,0.21512654423713684,2.595377206802368,0.042757805436849594,1.3175030946731567
1835008,0.3271755576133728,0.33002832531929016,0.014258945360779762,-0.07709786295890808,0.010644438676536083,-0.06571422517299652,2.6245007514953613,0.04435615986585617,1.5932731628417969
