collected_frames,grad_contrib/shaping,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
131072,-0.1811814806749374,0.028002825324220895,-0.32742394398670904,0.002723554136528633,-0.21656561042818182,-0.13848428212985817,-0.06580143527433925,0.019973282341904278,0.019843585703320482
262144,0.18340410223940018,0.186319563933116,-0.010802117444481864,0.07151055857366255,-0.008413709746342174,-0.36619270545371685,0.17126670088090562,-0.0019447187653239325,-0.00014582296305087008
393216,0.30842287829607246,0.11005466371218897,-0.007719696795796675,-0.0149903590222356,0.016195932417199608,-0.13782198677293434,0.38280875807911025,-0.0154237589453677,-0.006561965959094437
524288,0.32616834405746586,0.1068419090247954,-0.017513978755582058,0.06528170205307152,-0.004747777296087416,-0.12995628058512365,0.3275348001500546,0.01795503587870554,-0.004000172199113969
655360,0.25799083799394784,0.12161509065405392,0.02627693689059172,0.061595417831158294,0.030796707240066414,-0.09090775980553523,0.39959923720305346,-0.010726985153043498,0.0004910272285496713
786432,0.28355554779037945,0.025192555104539837,0.016092914846873464,0.059389223940744855,0.0013673570847242396,-0.09261889122473353,0.5002495400674503,-0.020431376588949553,0.0011025933516048306
917504,-0.17074527566553352,-0.16594775806608636,-0.0012210171946686731,-0.12576472121381801,-0.005454356764827098,0.10150989684282714,-0.36653096241195343,-0.0032875705311166815,-0.059538441309169104
1048576,-0.13551870677089942,-0.13532475063371263,0.0003141580390827069,-0.12165547407786552,0.019547220179162845,0.0643999461412182,-0.4698487791776925,-0.0009108434136593423,-0.05248012156670685
1179648,0.21644768496284156,-0.06371833864272397,-0.005688270040732875,-0.03895849293693562,-0.058019052805788424,-0.15939970940280987,0.3613308983165348,-0.05502469351819699,-0.04141285937343589
1310720,-0.23990928040804185,-0.06671981000678956,-0.0036346138920587095,-0.06385243250744721,0.004355298145937989,0.05477553717615192,-0.5555790711749817,0.010236397572774386,0.0009375591158166403
1441792,-0.23800243905581714,-0.06827517795863589,-0.00872003119578347,-0.025124167940147046,-0.00022181368399963274,0.04612648953501465,-0.5398992472044754,0.0036131756970724646,0.07001745772905435
1572864,-0.14422653775565095,-0.19875287757281287,-0.022181941858463516,0.2009140903314334,0.013435868439216616,0.07151957964736604,-0.046367332134595325,0.04232077028807442,0.26028100197238685
1703936,-0.004991627070819021,-0.018330606332368892,0.04450927015219032,-0.004483828976210024,0.009138591663173415,-0.041710694432057493,-0.588348631653862,-0.022945594256387324,-0.26554115546293156
1835008,-0.10480480704961952,-0.14845727823456278,-0.024317919279830024,0.017226846554269235,0.005885817597883159,0.05993194833978669,-0.5096143901506316,-0.021590393864354445,-0.10817059892906256
1966080,-0.2772935694084495,-0.05095212237884738,0.002011021700005576,-0.02297154649870007,0.006476428253003549,0.043861523312658066,-0.5824273186693655,0.010443701618733536,-0.0035627681602368243
2097152,0.07050135068701889,0.258378269632299,8.728967013340613e-06,-0.05690724550800174,0.015517496737280437,0.03996888420995213,0.27182809178252537,-0.08581443084399572,0.20107550163191334
2228224,-0.20501622778214357,0.04791209903343189,-0.0028792459307515126,-0.0095736493226617,0.0209784371318681,-0.009422717327555804,-0.5606454086341828,0.004163236367719005,-0.1394089784696857
2359296,-0.08426494970474466,-0.2548397673445409,-0.037313289407011424,0.018724292300114943,-0.002054151789249114,0.03225320190552617,-0.538412271455504,-0.0015175732985126596,-0.0306205027947962
2490368,-0.27479753674385077,-0.02060890104378385,-0.001643154294817972,-0.02085164426948762,0.0018631934198388733,0.031112522029382406,-0.6208458801184888,0.011906943797794783,-0.01637022428255487
2621440,-0.34678862931963894,0.024808891433073257,0.0536477317394383,-0.0061012227762358,0.008284044446529462,0.02001007606499486,-0.5067368755093511,-0.007876795570483089,0.02574573314025515
2752512,-0.012446459816790835,0.11966562321583177,0.01873227951259944,-0.013296491811828702,-0.018349471188363862,0.04930901218273466,-0.038111808991756625,-0.039347456591627666,-0.6907413966884665
2883584,0.22695175152232036,0.01615424976043932,0.05117058360505567,0.044441338988818246,0.04143634396479474,-0.02239875569709174,0.5735624418264158,-0.01830099304165431,-0.0055835415934098465
3014656,-0.21296133943377146,-0.014961521766350237,-0.014916974812010209,0.0016590918901658188,0.01763324455844251,0.019518626589038513,-0.5869278948624027,0.00911187797598233,-0.1223094281118362
3145728,-0.11480317289740824,0.03285853615930418,0.007515046707364082,-0.0655899052218742,0.002305346956253024,-0.008570641041050972,-0.4154286665839055,-0.003556238392141629,0.34937244604069817
3276800,-0.013062377527162843,-0.026723184704980234,0.11491808440659601,-0.02587082723593364,0.00976628349921296,-0.09539697549767819,-0.24808941073539184,0.03497098323435811,-0.4312018731586862
3407872,-0.2517190400580962,-0.00886846011882681,-0.0019871020815142642,-0.02239191145378422,0.0001305397403827281,0.02105673976851955,-0.6724120428345136,0.01240425063770522,-0.009029913306657453
3538944,-0.29401844079601935,-0.034354046891529995,0.008889785928350033,-0.007183518233046755,0.013664920088430158,0.030266832621592715,-0.5773421709867019,-0.0002940041947112346,0.03398628025961777
3670016,-0.16718451699441444,-0.012651556969850031,-0.015495061723290428,-0.021302133442112188,0.010707943841415244,0.02307042120626485,-0.6226243579759323,-0.013361883151926794,-0.11360212469479378
3801088,-0.2390951279085077,0.0002849362776807805,0.02261447651781966,-0.037832900924839485,0.01088206815904023,0.051636658124001644,-0.499918360712338,0.023742228371139696,-0.11399324300463283
3932160,-0.4773379848639671,-0.03184179491691019,0.07348642034853622,-0.011578572249757432,0.009916059168256991,0.011499841094335283,-0.11667367022480594,0.027481620380947435,0.2401840367524834
4063232,-0.26484513233089785,-0.006949393281265755,0.009877657446852324,-0.027939456121574256,-0.0030597268772122664,0.030892673823403053,-0.6365405790162184,0.0074639738857995965,0.012431407216776482
4194304,-0.11629578405167657,0.0029216201637949045,-0.01917873484451242,0.014519178620213907,0.020370259189360234,0.001964563910010091,-0.7582279793063628,0.005559309471823396,0.060962570442245664
