collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
131072,0.0016488558612763882,0.6259648203849792,-0.01151198148727417,0.6182151436805725,0.03676379472017288,0.6395335793495178,-0.0173773393034935,0.618695080280304,0.016725216060876846,0.6304277181625366,-0.008246210403740406,0.6198601126670837
262144,0.0769595205783844,0.6222841143608093,-0.012232189998030663,0.6165891289710999,0.039747707545757294,0.6401433348655701,-0.014653487130999565,0.6226487755775452,0.026942580938339233,0.6300602555274963,-0.011198064312338829,0.6204022765159607
393216,0.14956948161125183,0.6070218086242676,-0.008542398922145367,0.6143653392791748,0.04852379113435745,0.6348038911819458,-0.022719986736774445,0.624173104763031,0.031293924897909164,0.6302235126495361,-0.016956087201833725,0.6203318238258362
524288,0.21959128975868225,0.5899559855461121,0.0028684211429208517,0.6103280186653137,0.05224054306745529,0.6344366073608398,-0.03051917999982834,0.628413736820221,0.04759209603071213,0.625817596912384,-0.016416534781455994,0.6219902038574219
655360,0.27936020493507385,0.5717450380325317,0.008019605651497841,0.6075142621994019,0.07332917302846909,0.6356725692749023,-0.024735135957598686,0.6304441690444946,0.04363501816987991,0.6258206963539124,0.001841044519096613,0.6228145956993103
786432,0.3270174264907837,0.5677441358566284,0.010359063744544983,0.6141937375068665,0.08234450221061707,0.6404560804367065,-0.015665706247091293,0.632296085357666,0.05088109150528908,0.6320997476577759,0.006989235058426857,0.6281929016113281
917504,0.3493351340293884,0.5642669796943665,0.017680034041404724,0.623757541179657,0.08802509307861328,0.6438000798225403,-0.02501005120575428,0.6389614939689636,0.03288116306066513,0.6336195468902588,-0.01898927614092827,0.6271359920501709
1048576,0.3882294297218323,0.5542006492614746,0.009536066092550755,0.6249605417251587,0.08490266650915146,0.6454730033874512,-0.02491902932524681,0.6395984888076782,0.022679978981614113,0.6347012519836426,-0.017362352460622787,0.6271718740463257
1179648,0.4331318736076355,0.5415540933609009,0.007899975404143333,0.6248452663421631,0.09333743155002594,0.6431339979171753,-0.014796096831560135,0.639488935470581,0.010102521628141403,0.6374370455741882,-0.01190325990319252,0.6262990236282349
1310720,0.4656176269054413,0.5152980089187622,0.005439108703285456,0.6181764006614685,0.10840077698230743,0.6333322525024414,-0.005371575243771076,0.6325579881668091,0.03256969898939133,0.6259779930114746,0.0004097626078873873,0.6274356842041016
1441792,0.4791003167629242,0.5240322947502136,0.014788337051868439,0.6247682571411133,0.10590306669473648,0.6421869993209839,-0.003600083291530609,0.6408637166023254,0.0020436281338334084,0.6322454214096069,-0.04360616207122803,0.6254361271858215
