collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/action_bonus_coef
65536,-0.01865723729133606,-3.473196506500244,-3.454539269208908,-0.7426523566246033,-4.009743690490723,5.621838092803955,-0.017304057255387306,-0.20140621066093445,4.02812385559082,0.008055517449975014,0.16259765625,-0.7426523566246033,8.546977043151855,0.9896632432937622,0.0004823166473458448,0.0023060115680619774,2.9998467562269457
131072,0.03037755750119686,-3.359506607055664,-3.389884164556861,1.3354040384292603,-4.014748573303223,4.738098621368408,-0.0239447969943285,-0.20019063353538513,4.003812789916992,0.009789399802684784,0.110595703125,1.3354040384292603,7.677438735961914,3.0755560398101807,0.00048220357788096726,0.0023054709698980182,2.9996935202817765
196608,0.03393148258328438,-2.801205635070801,-2.835137117654085,1.3294262886047363,-4.005848407745361,4.163059234619141,-0.024441245943307877,-0.1998715102672577,3.9974303245544434,0.009745252318680286,0.1201171875,1.3294262886047363,8.584893226623535,4.849226951599121,0.00048209050841608973,0.002304930371734059,2.9995402921640917
262144,0.051362793892621994,-1.251726746559143,-1.303089540451765,1.9141559600830078,-3.992105007171631,3.3998475074768066,-0.022096673026680946,-0.19765207171440125,3.9530410766601562,0.005963309668004513,0.12109375,1.9141559600830078,9.391121864318848,3.6684372425079346,0.0004819774389512122,0.0023043897735701,2.9993870718734916
327680,0.05053895711898804,-0.17498305439949036,-0.2255220115184784,1.9230129718780518,-3.9658730030059814,3.1511292457580566,-0.02235124632716179,-0.1971708983182907,3.94341778755188,0.005454184953123331,0.074951171875,1.9230129718780518,9.53075122833252,5.20332670211792,0.0004818643694863347,0.0023038491754061407,2.999233859409577
393216,0.06022920459508896,0.6105151176452637,0.5502859130501747,3.0734262466430664,-3.9327645301818848,3.1831955909729004,-0.026442822068929672,-0.1940813511610031,3.881627082824707,0.005867217667400837,0.09765625,3.0734262466430664,9.760565757751465,6.255919933319092,0.00048175130002145716,0.0023033085772421816,2.999080654771948
458752,0.33974218368530273,7.444633483886719,7.104891300201416,11.021271705627441,-3.9345667362213135,6.444305896759033,-0.021976646035909653,-0.194799542427063,3.895991086959839,0.013165720738470554,0.125,11.021271705627441,15.64306640625,3.709777355194092,0.00048163823055657963,0.0023027679790782224,2.998927457960204
524288,0.10574402660131454,6.295065879821777,6.189321853220463,2.848681688308716,-3.854444980621338,3.5433766841888428,-0.028042994439601898,-0.1904599368572235,3.8091988563537598,0.0060788108967244625,0.088623046875,2.848681688308716,11.146041870117188,6.352456569671631,0.0004815251610917021,0.0023022273809142632,2.9987742689739463
589824,0.04799008369445801,4.89305305480957,4.845062971115112,0.8345300555229187,-3.8110780715942383,3.1622979640960693,-0.03417958319187164,-0.18783199787139893,3.7566399574279785,0.0059226443991065025,0.1025390625,0.8345300555229187,9.922526359558105,7.728135108947754,0.0004814120916268246,0.002301686782750304,2.998621087812775
655360,0.03468366339802742,5.488504409790039,5.453820746392012,0.6804285049438477,-3.7767791748046875,3.1178665161132812,-0.029907867312431335,-0.186407208442688,3.7281441688537598,0.007801403757184744,0.121337890625,0.6804285049438477,10.115914344787598,4.883738994598389,0.0004812990221619471,0.002301146184586345,2.998467914476289
720896,0.010093736462295055,6.739265441894531,6.729171705432236,0.02248969115316868,-3.758275270462036,3.061683177947998,-0.03751803934574127,-0.18620121479034424,3.7240242958068848,0.008061520755290985,0.1337890625,0.02248969115316868,9.99946403503418,10.946505546569824,0.0004811859526970696,0.0023006055864223857,2.9983147489640904
786432,0.08450798690319061,13.84929084777832,13.76478286087513,2.0168874263763428,-3.7776260375976562,4.34220027923584,-0.029805252328515053,-0.18710654973983765,3.742130756378174,0.01139911264181137,0.153564453125,2.0168874263763428,10.815132141113281,6.130035400390625,0.0004810728832321921,0.0023000649882584266,2.9981615912757786
851968,0.053497619926929474,11.470319747924805,11.416822127997875,0.07121533155441284,-3.6764984130859375,2.6803085803985596,-0.03178718313574791,-0.1823006570339203,3.646012783050537,0.010986614972352982,0.150146484375,0.07121533155441284,10.011040687561035,6.8419084548950195,0.0004809598137673146,0.0022995243900944674,2.9980084414109545
917504,0.012989773415029049,11.535167694091797,11.522177920676768,-0.9851989150047302,-3.6611530780792236,3.0301685333251953,-0.03674110025167465,-0.18073996901512146,3.6147994995117188,0.006292051635682583,0.1533203125,-0.9851989150047302,10.169008255004883,6.6787190437316895,0.00048084674430243706,0.0022989837919305083,2.997855299369218
983040,0.0263354629278183,12.732555389404297,12.706219926476479,-0.580082893371582,-3.612830400466919,2.778454303741455,-0.03563740476965904,-0.18007569015026093,3.6015138626098633,0.014448296278715134,0.17822265625,-0.580082893371582,9.712079048156738,5.961398601531982,0.00048073367483755954,0.002298443193766549,2.997702165150169
