collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
720896,0.17613446537870914,-0.08000000000000006,-0.06601114058867097,0.0,-0.00436521945084678,0.0,-0.09262228850275278,0.0,0.0,0.0,0.9206651044078171,-0.0006866455078125,60.0,-15.0,3.0517578125e-05,0.0001678466796875,0.8529642457142472
786432,0.2702071382664144,-0.08000000000000006,-0.04659062977589201,0.0,-0.0010473701672708557,0.0,-0.04411796225758735,0.0,0.0,0.0,0.8659652210772038,0.0107574462890625,60.0,-15.0,0.00018310546875,1.52587890625e-05,0.975159025285393
851968,0.24335590528789908,-0.08000000000000006,-0.05595716353855096,0.0,-0.0015920258792903041,0.0,-0.061474444839404896,0.0,0.0,0.0,1.0443150871433318,0.006866455078125,60.0,-15.0,0.0001220703125,3.0517578125e-05,1.095479843672365
917504,0.20645947323646396,-0.08000000000000006,-0.05233716737711802,0.0,-0.0018070071491820272,0.0,-0.0634857177210506,0.0,0.0,0.0,1.0694554592482746,0.0084686279296875,60.0,-15.0,0.000152587890625,4.57763671875e-05,1.0867043971084058
983040,0.19988730468321592,-0.08000000000000006,-0.05172253894852474,0.0,-0.001846652831773099,0.0,-0.06557943404186517,0.0,0.0,0.0,1.1386186475865543,0.01373291015625,60.0,-15.0,0.000274658203125,0.00018310546875,1.1528846896253526
1048576,0.1817617262713611,-0.08000000000000006,-0.05134872338385321,0.0,-0.002538076385462773,0.0,-0.07323395449202508,0.0,0.0,0.0,1.1449742428958416,0.012359619140625,60.0,-15.0,0.0002593994140625,0.000213623046875,1.1317353630438447
1114112,0.2774342275224626,-0.08000000000000006,-0.03731626320950454,0.0,-0.0018651956797839375,0.0,-0.04714002143009566,0.0,0.0,0.0,1.0990148428827524,0.0084686279296875,60.0,-15.0,0.000152587890625,4.57763671875e-05,1.2185357818379998
1179648,0.22950267826672643,-0.08000000000000006,-0.04397036551381461,0.0,-0.0024374580061703455,0.0,-0.05927353381412104,0.0,0.0,0.0,1.2132641728967428,0.01007080078125,60.0,-15.0,0.0001983642578125,0.0001220703125,1.267005885951221
1245184,0.20651378447655588,-0.08000000000000006,-0.0440533596847672,0.0,-0.0014982388265707414,0.0,-0.0632894600275904,0.0,0.0,0.0,1.1898804791271687,0.0061798095703125,60.0,-15.0,0.0001220703125,7.62939453125e-05,1.213639839552343
1310720,0.19495129107963294,-0.08000000000000006,-0.04873860065708868,0.0,-0.0020946561362507055,0.0,-0.06850948109058663,0.0,0.0,0.0,1.1698464616201818,0.0148773193359375,60.0,-15.0,0.0002593994140625,4.57763671875e-05,1.1802786383777857
1376256,0.17544849822297692,-0.08000000000000006,-0.04722851418773644,0.0,-0.0024406220536548062,0.0,-0.07438156194984913,0.0,0.0,0.0,1.1665482455864549,0.010528564453125,60.0,-15.0,0.000244140625,0.000274658203125,1.1481679463759065
1441792,0.31573021004442126,-0.08000000000000006,-0.03682511133956723,0.0,-0.0012136715108681528,0.0,-0.03605621230963152,0.0,0.0,0.0,1.0541516728699207,0.0089263916015625,60.0,-15.0,0.0001678466796875,7.62939453125e-05,1.2246183510869741
