collected_frames,grad_contrib/shaping,grad_contrib/joint_ang_from_flat_penalty,grad_contrib/joint_angle_var_penalty,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/clearance,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
262144,0.11700854749811251,0.08010428407766988,0.11147229920514155,0.16207827143446793,0.0010805265173116805,0.15722555942592745,0.038014025656455744,-0.21837696951709248,0.023525912122801217,0.06219244293237971,0.020164957337076572,0.008756204275563253
393216,0.2054453946214294,0.053810010959545046,0.08112174821324793,0.15461286265018326,0.021287098865481406,0.06113942947440318,0.02983362650221215,-0.07938421228562627,0.018116099200810327,0.29289840584230664,-0.001193725291381979,0.0011573860933723906
524288,0.22970329011428686,0.03612849427440095,0.05352227292560971,0.1321832169231207,0.00583836598891163,0.05587010972222732,0.009298346170439478,-0.08199171233808487,0.017736497378770553,0.363303362022293,-0.010447550080872116,0.003976782060982779
655360,0.2837189868448168,0.03423940749076424,0.04914937587856297,0.06116683168399969,-0.027113121554831594,0.09368389225125151,0.0010526047638967349,-0.04909464999670871,0.015319624259270753,0.36808520245945614,0.012678032030897513,0.004698270785543338
786432,0.23036444259408412,0.012861444820459469,-0.0010313142257762408,-0.040235985163066354,-0.009474555217718644,0.1257558668559096,-0.01580981236727324,-0.09463007839267208,0.007058092908205388,0.44002906619249954,0.011010388126470282,-0.011738953135865092
917504,0.20898279017927476,0.0025880335172809976,-0.08777140293546229,-0.18807335934094413,-0.056993139262202244,0.2776128424113122,0.0186521789432732,-0.0015349216750007901,0.007494953509672575,0.11792025325907211,0.0033442156620845853,0.029031909304420143
1048576,0.14218964764136255,0.0021987134346430517,-0.06859497648183083,-0.12409539301373966,-0.016129819574426257,0.18455177530695077,0.03348509192829708,-0.011992881194833079,0.008690551977280431,0.3769445735236872,0.030773170843876888,0.0003534050790721955
1179648,0.053361149620616166,0.013356734947353824,-0.08505486460098297,-0.13804351129311015,-0.005124327126272247,0.2703443387966923,0.03059709280618268,-0.023388885531832465,0.020333588521857834,0.2955321550530029,0.016039390416221728,0.04882396128587474
1310720,0.06781522421910965,0.030837057082430112,0.03501939024019667,-0.02571783902883931,0.06425995922688883,-0.04849988252516948,0.11239321239560673,-0.1385310657894031,-0.004129517368861786,-0.470741466429043,0.0019700218877783202,-8.536380667298544e-05
1441792,-0.18862882067138367,-0.02188093055247135,-0.014956160095434061,-0.022662434565557468,0.006935703159273208,-0.1340839119069957,0.025229231034230706,0.02193996400535203,-0.010047496819485071,-0.5337277388068764,0.019895532991268946,-1.2075391671331412e-05
1572864,0.13220497782349605,0.0436348954570636,0.02976391112949351,-0.03126227789131768,0.06085034578785512,0.10701236005365286,0.1061466432348706,-0.039900679805020385,0.01242384503676221,-0.4015496054519735,-0.03165772504039339,0.0035927332881011244
1703936,0.28700392191899465,0.04538101912754485,0.04413114672335373,0.0032006744068890486,-0.03777172205554496,0.14861070582877198,-0.09420048932244493,-0.08692653609185716,0.0338469470007606,0.1909738406695941,0.010891573150636056,0.01706142370360793
1835008,0.06727678243566809,0.026826404393792712,-0.018928799982467468,-0.06315513429323502,0.00027454727325820815,0.1676240694758468,0.062457551014713286,0.04865706316346202,0.038389800718178844,-0.4625580153890596,-0.02249114159579517,0.021360690264522763
1966080,-0.10655371627385864,-0.018588403297908954,-0.012967849108250858,-0.04059586605781454,-0.01752411349811364,0.1914912667633022,0.023269008141860704,-0.017846410519109686,0.019893219866500396,-0.5264983431577066,0.008050409744062976,-0.016721393571510795
2097152,0.16624209596799847,0.0008896274268570713,-0.00044852387184191533,0.07830346814752875,-0.008436150116594075,-0.4194348558453346,-0.023725710687046327,-0.028699939192651545,-0.018058957445268125,-0.19016058665688332,0.025048666218162326,-0.040551418423833495
