collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,2.6490417886525393,-0.05948889055363965,-0.017123339924019376,-0.35529891797341406,-0.28070411894998415,-0.7831401427974924,-0.25114249854232185,8.828196734189987,0.7490706532262266,0.024723827838897705,10.502477388828993
262144,2.3895083907991648,-0.05959512071534246,-0.024680449452716857,-0.40068281115964055,-0.32161228475160897,-0.9183708732016385,-0.24317246914142743,8.88095836341381,0.7592505570501089,0.6146997497417033,10.669147215783596
393216,2.2616671565920115,-0.059701350877045256,-0.03186952137912158,-0.38861265778541565,-0.3382913153618574,-0.8875648733228445,-0.20930449885781854,8.617240868508816,0.7644733716733754,0.42504987854044884,10.144923359155655
524288,2.235379222780466,-0.05980758103874816,-0.036320224913652055,-0.38272602716460824,-0.33699716138653457,-0.8692720807157457,-0.19321141351247206,8.373193316161633,0.7682198425754905,0.3852926198160276,9.875864453613758
655360,2.236159050837159,-0.05991381120045137,-0.0337189958372619,-0.3820454156957567,-0.32306489697657526,-0.8679130300879478,-0.2068430245271884,8.436129182577133,0.7725842874497175,0.3832643983187154,9.94733663648367
786432,2.2442554235458374,-0.06002004136215428,-0.03398673493938986,-0.38430212112143636,-0.32874424662441015,-0.8794816159643233,-0.2001139300991781,8.39001289010048,0.769720118958503,0.37927596794907004,9.88838329166174
917504,2.260726796463132,-0.060126271523857085,-0.035775538519374095,-0.3832618333399296,-0.33903735945932567,-0.8824570155702531,-0.20743311452679336,8.430929102003574,0.7672103787772357,0.3970136968418956,9.940214850008488
1048576,2.2300975434482098,-0.06023250168555988,-0.030705808458151296,-0.3855659712571651,-0.3499498183373362,-0.8906988296657801,-0.20721447159303352,8.434274718165398,0.7707668482325971,0.38260471436660737,9.884732693433762
1179648,2.174989629536867,-0.060338731847262794,-0.037568363404716365,-0.38976438948884606,-0.3482090914621949,-0.8833321849815547,-0.20505801681429148,8.280779894441366,0.776419903151691,0.3480495346011594,9.648429349064827
1310720,2.1728630736470222,-0.06044496200896602,-0.03474018779525068,-0.38547360082156956,-0.3506171621847898,-0.880501982755959,-0.20482242619618773,8.220802791416645,0.7846764968708158,0.34496254101395607,9.598003759980202
1441792,2.1867022458463907,-0.060551192170668906,-0.037129585893126205,-0.39291434083133936,-0.34640707913786173,-0.8915407177992165,-0.20672656182432547,8.262131731957197,0.7843369175679982,0.35331963666249067,9.64235595613718
1572864,2.149888291954994,-0.06065742233237171,-0.03809359666774981,-0.393187373643741,-0.3460483516100794,-0.8837556508369744,-0.200120156747289,8.161157760769129,0.7773710167966783,0.34087085921783,9.499199770390987
1703936,2.1652606949210167,-0.060763652494074505,-0.0381210367922904,-0.40553444367833436,-0.34837109758518636,-0.8882822282612324,-0.20517987105995417,8.24206968024373,0.7753107007592916,0.3317508223699406,9.559907749295235
1835008,2.1692031286656857,-0.06086988265577742,-0.03652858795248903,-0.40763763966970146,-0.34838813613168895,-0.8792005674913526,-0.21589919726829976,8.231821976602077,0.7753045586869121,0.33081415412016213,9.549753189086914
1966080,2.182484909892082,-0.060976112817480645,-0.03986241998791229,-0.4105824588332325,-0.33555485866963863,-0.8799936431460083,-0.20770963409449905,8.406699799001217,0.7683919798582792,0.335807268274948,9.748971186578274
2097152,2.153908886015415,-0.06108234297918354,-0.04360331047791988,-0.41905486583709717,-0.3449084493331611,-0.8847761987708509,-0.2063330179080367,8.348899781703949,0.7689290167763829,0.2920615824405104,9.593578971922398
2228224,2.150952758267522,-0.06118857314088633,-0.03774148307275027,-0.41398968338035047,-0.34536228608340025,-0.8830354176461697,-0.22461145324632525,8.388613387942314,0.7639265572652221,0.3298774850554764,9.657825887203217
2359296,2.199960334226489,-0.06129480330258913,-0.044275299238506705,-0.4062893916852772,-0.34782202215865254,-0.8765596351586282,-0.21142950712237507,8.413028791546822,0.7600209945812821,0.36145137599669397,9.777733244001865
2490368,2.212589720264077,-0.06140103346429204,-0.03548202593810856,-0.40964747848920524,-0.33481344929896295,-0.88639369700104,-0.20438440470024943,8.440161615610123,0.7553037996403873,0.34208451397717,9.809400081634521
2621440,2.227494264021516,-0.061507263625995276,-0.03874207985063549,-0.4106745678000152,-0.3255328277591616,-0.8813083432614803,-0.20760138815967366,8.43155512213707,0.7566844513639808,0.3682309652213007,9.849840372800827
2752512,2.219878811389208,-0.06161349378769819,-0.03593560586159583,-0.40654302574694157,-0.3081856013741344,-0.8708514664322138,-0.20412731869146228,8.450255632400513,0.7514854003675282,0.37294709437992424,9.89859214425087
2883584,2.2390116173774004,-0.061719723949400965,-0.03712195984553546,-0.41792658739723265,-0.2483410247368738,-0.865182600915432,-0.20532575815741438,8.194305092096329,0.7504872330464423,0.40308197448030114,9.743477314710617
3014656,2.1537364050745964,-0.061825954111103865,-0.04530389330466278,-0.4187111172359437,-0.2643071645870805,-0.8646001452580094,-0.19089635187992826,7.948895834386349,0.7507336647249758,0.33228840574156493,9.332104422152042
3145728,2.1187429036945105,-0.06193218427280667,-0.04002739176212344,-0.4142811729107052,-0.26717442157678306,-0.8707536500878632,-0.20189061999553815,7.980389129370451,0.7528680246323347,0.3190062114736065,9.305683895945549
3276800,2.109407002106309,-0.06203841443450991,-0.03360022920242045,-0.40759957768023014,-0.27325883496087044,-0.8704063869081438,-0.18869358059600927,7.930603958666325,0.7483631270006299,0.309834546293132,9.254062041640282
3407872,2.103572277352214,-0.062144644596212814,-0.031115745630813763,-0.4008752640802413,-0.2906451872549951,-0.8656451874412596,-0.19034182868199423,7.939263638108969,0.7497455407865345,0.2721571389120072,9.214281652122736
3538944,2.1354114152491093,-0.06225087475791559,-0.030321409736643545,-0.4011932755820453,-0.2933160038664937,-0.882897051051259,-0.20454733655788004,8.146260347217321,0.7411403749138117,0.3279877534369007,9.467134691774845
3670016,2.181206000968814,-0.062357104919618496,-0.023166435421444476,-0.3914644483011216,-0.2995130291674286,-0.8749212552793324,-0.19033036087057553,8.179096464067698,0.7434187210164964,0.345899211242795,9.599797748029232
3801088,2.2105278223752975,-0.062463335081321736,-0.024539213482057676,-0.38982148631475866,-0.30843687802553177,-0.8670608792454004,-0.19937089557060972,8.300946094095707,0.7435132688842714,0.3813394288299605,9.77681327611208
3932160,2.2051174864172935,-0.06256956524302454,-0.027157888398505747,-0.393412095727399,-0.3142884122207761,-0.8767046560533345,-0.20219800435006618,8.316514138132334,0.7472638012841344,0.36583889252506196,9.750827044248581
4063232,2.205688452348113,-0.06267579540472744,-0.034224752365844324,-0.3887482925783843,-0.3301809295080602,-0.8688582070171833,-0.19817043305374682,8.338870853185654,0.7408598116599023,0.37227102112956345,9.766424141824245
4194304,2.224860291928053,-0.06278202556643021,-0.031102264096261933,-0.39860289194621146,-0.3525509221944958,-0.8934382596053183,-0.21174271980999038,8.475912295281887,0.7414552816189826,0.3799168044934049,9.862609766423702
4325376,2.242536498233676,-0.06288825572813311,-0.03079106616496574,-0.3916446550283581,-0.37153444928117096,-0.8803425505757332,-0.20686825073789805,8.408357232809067,0.7481147474609315,0.3734330468578264,9.820487335324287
4456448,2.236740617081523,-0.06299448588983636,-0.03144035066361539,-0.40078048687428236,-0.3681950287427753,-0.8719347366131842,-0.21314813813660294,8.452818162739277,0.7502324660308659,0.40523229935206473,9.889213122427464
4587520,2.2137887198477983,-0.06310071605153915,-0.037323484822991304,-0.4044715154450387,-0.3555682117585093,-0.8712738058529794,-0.20354255015263334,8.299582950770855,0.7433751784265041,0.35727282951120287,9.669838540256023
4718592,2.215438786894083,-0.06320694621324206,-0.037406311312224716,-0.4081447091884911,-0.34453009138815105,-0.8836027728393674,-0.20554392129997723,8.357025004923344,0.7494422877207398,0.3755997633561492,9.74626686424017
4849664,2.193996485322714,-0.06331317637494485,-0.039773408498149365,-0.4074423052370548,-0.33088665432296693,-0.877274161670357,-0.20554127602372319,8.338762320578098,0.7471150276251137,0.3428990786196664,9.689485013484955
4980736,2.222697041928768,-0.06341940653664775,-0.039094123465474695,-0.4125788942910731,-0.3201994556002319,-0.8863091710954905,-0.20687984657706693,8.412405245006084,0.7474448620341718,0.35018101427704096,9.794645853340626
5111808,2.222103325650096,-0.06352563669835098,-0.04035331981140189,-0.40548838302493095,-0.3050392873119563,-0.8689669570885599,-0.20604415331035852,8.39781703799963,0.745796786621213,0.3694446220761165,9.836908340454102
5242880,2.251984713599086,-0.06363186686005377,-0.04008039263135288,-0.40299647650681436,-0.2895156037993729,-0.8650199645198882,-0.1972909228206845,8.427418895065784,0.7442954797297716,0.3848935291171074,9.94158061593771
5373952,2.2189576532691717,-0.06373809702175669,-0.03480143810156733,-0.39640225167386234,-0.30039689503610134,-0.8790275999344885,-0.1924599926569499,8.38785321265459,0.7485849903896451,0.3540825772797689,9.833656258881092
5505024,2.3612342309206724,-0.0638443271834595,-0.03203444827522617,-0.3886479849461466,-0.28112685726955533,-0.8581491624936461,-0.20992681264760904,8.599304609000683,0.7538014422170818,0.4698707255301997,10.343388758599758
5636096,2.2746236622333527,-0.06395055734516238,-0.03255282749887556,-0.3884918668773025,-0.30397619283758104,-0.8752825437113643,-0.2034275725018233,8.46536760032177,0.7423005923628807,0.42400995281059295,10.031218223273754
5767168,2.242696011438966,-0.06405678750686561,-0.02868231169122737,-0.38194682262837887,-0.3076836485415697,-0.8838910958729684,-0.19662439677631482,8.41689731925726,0.7506088684312999,0.37015593284741044,9.909319460391998
5898240,2.2484145257622004,-0.0641630176685685,-0.03205702373816166,-0.3797610942274332,-0.30397858703508973,-0.8896096590906382,-0.20144230997539125,8.444779753684998,0.7508403994143009,0.39455114922020584,9.959165342152119
6029312,2.2284083366394043,-0.06426924783027131,-0.034295711855520494,-0.37979073729366064,-0.29826153512112796,-0.8880542214028537,-0.19943573119235225,8.321721352636814,0.758921769913286,0.36594214744400233,9.801974661648273
6160384,2.243403498083353,-0.06437547799197414,-0.03902749727421906,-0.3918759401421994,-0.30783158889971673,-0.8866594168357551,-0.20051295740995556,8.336897559463978,0.7506837765686214,0.3827784445602447,9.815485619008541
6291456,2.2390807177871466,-0.064481708153677,-0.04101105897279922,-0.4051456190645695,-0.30706053762696683,-0.8895847629755735,-0.21003444661619142,8.457140512764454,0.7383922920562327,0.3733109477907419,9.881432101130486
6422528,2.239994764328003,-0.06458793831538025,-0.04305627816938795,-0.40899150911718607,-0.32190077123232186,-0.8863353836350143,-0.2110633283155039,8.56842428445816,0.7392249433323741,0.3714212151244283,9.974166184663773
6553600,2.201083905994892,-0.06469416847708312,-0.03658675235055853,-0.40880358149297535,-0.32966194371692836,-0.8941874238662422,-0.20367282605729997,8.377713523805141,0.7446074443869293,0.3389458896126598,9.715657129883766
6684672,2.17423739656806,-0.06480039863878594,-0.036493107603746466,-0.4153298302553594,-0.3301657282281667,-0.8867914802394807,-0.2091790569247678,8.33173605054617,0.7513256822712719,0.3464015549980104,9.652062557637691
6815744,2.1737318616360426,-0.06490662880048877,-0.042561678536003456,-0.40712302713654935,-0.3365385348442942,-0.8857918959110975,-0.20590025174897164,8.360009014606476,0.7560304733924568,0.31572909746319056,9.652849115431309
6946816,2.15807693824172,-0.06501285896219165,-0.04186096150078811,-0.4159124044235796,-0.3319333060644567,-0.8963496084325016,-0.21651577617740259,8.352844595909119,0.7508403332903981,0.3275017988635227,9.611604198813438
7077888,2.1825512889772654,-0.06511908912389487,-0.04618428461253643,-0.40641774982213974,-0.3370906226336956,-0.8880871334113181,-0.20428484352305532,8.38660529255867,0.748511603102088,0.33145498810335994,9.691760651767254
7208960,2.186146341264248,-0.06522531928559773,-0.0417046588845551,-0.4059062737505883,-0.3455909101758152,-0.8780604251660407,-0.19945852417731658,8.315283596515656,0.7541665700264275,0.3405586344888434,9.651595942676067
7340032,2.173687983304262,-0.06533154944730056,-0.04113407418481074,-0.3973456993699074,-0.3565044749993831,-0.8843213068321347,-0.19919282640330493,8.3590819388628,0.751882791519165,0.34253522963263094,9.674734197556973
7471104,2.1563676055520773,-0.0654377796090034,-0.04302484437357634,-0.3914554554503411,-0.3720164366532117,-0.8832529690116644,-0.2026718268316472,8.328142769634724,0.7508427216671407,0.34738985274452716,9.616025939583778
7602176,2.199413649737835,-0.06554400977070628,-0.048883241950534284,-0.4007885782048106,-0.36790220718830824,-0.8789554750546813,-0.20320842863293365,8.358377985656261,0.7509762062691152,0.3724447514396161,9.708173051476479
7733248,2.2241111118346453,-0.06565023993240951,-0.04482772099436261,-0.3986382980365306,-0.3441602224484086,-0.8811727506108582,-0.2065282801631838,8.497858174145222,0.7464476656168699,0.3627002709545195,9.88186127692461
