collected_frames,rew/shaping,rew/step_penalty,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,1.5483938660472631,-0.05948889055363965,-0.04792193685716484,-0.05653327392974461,-0.005593140032736699,-0.17515005992027,-0.013953683871601896,-0.11527015781030059,-0.4791844986611977,-0.020180215171421878,0.04642444055934902,0.705869403667748,0.0,1.3274118753615767
262144,1.6037475047633052,-0.05961282574229282,-0.0998234266298823,-0.12371882912702858,-0.05922557003214024,-0.22678300272673368,-0.08736027753911912,-0.15075020643416792,-0.38659576838836074,-0.028028734333929606,0.6403856328688562,0.6992711960338056,-0.001142472101491876,1.7203008765354753
393216,1.6019147597253323,-0.05973676093094649,-0.13822013942990452,-0.1787752986419946,-0.1461243676021695,-0.2336494413902983,-0.14800536166876554,-0.17002741561736912,-0.30488816765137017,-0.03954383736709133,1.3009307580068707,0.7002160865813494,-0.0018279553623870015,2.1821321612223983
524288,1.5039130514487624,-0.05986069611959977,-0.16760129760950804,-0.22301148565020412,-0.2583584089297801,-0.23461161798331887,-0.1959198146359995,-0.18081427563447505,-0.2308810759568587,-0.05137905789888464,1.6120216278359294,0.7006799718365073,-0.0018279553623870015,2.21222092397511
655360,1.3920183638110757,-0.05998463130825304,-0.18996029789559543,-0.25522185873705894,-0.3223392174113542,-0.21994756907224655,-0.2332694927463308,-0.18510603392496705,-0.18375372735317796,-0.058780774124898016,1.825368257239461,0.6946995039470494,-0.0018279553623870015,2.201760054565966
786432,1.3001498207449913,-0.06010856649690672,-0.20021254639141262,-0.26588185830041766,-0.32941092015244067,-0.20329173398204148,-0.28872511605732143,-0.18138738570269197,-0.136613255366683,-0.06282703374745324,1.9690534844994545,0.6854490144178271,-0.0015251411095960066,2.224481040611863
917504,1.2485685739666224,-0.06023250168555988,-0.20257317658979446,-0.25459820043761283,-0.30733550153672695,-0.19291530293412507,-0.3407730138860643,-0.17647584818769246,-0.10695607867091894,-0.06639512343099341,2.162361539900303,0.674147508572787,-0.004038579732878134,2.372383451089263
1048576,1.1954797096550465,-0.06035643687421358,-0.20540350989904255,-0.23221871152054518,-0.2605211706832051,-0.18270178616512567,-0.4178424715064466,-0.180408192332834,-0.0923694398952648,-0.06801597523735836,2.321222923696041,0.6699244254268706,-0.005563720827922225,2.480600468814373
1179648,1.1771859303116798,-0.060480372062866834,-0.2056489597307518,-0.20224670239258558,-0.1987101718550548,-0.17803141346666962,-0.48262735013850033,-0.1839203677373007,-0.08479976773378439,-0.06820155528839678,2.4650586266070604,0.6756740985438228,-0.008534148306353018,2.6437909863889217
1310720,1.633249744772911,-0.06060430725152011,-0.11680398776661605,-0.10590902066905983,-0.07041687097080285,-0.15033100545406342,-0.25416893867077306,-0.16688841197174042,-0.14944976422702894,-0.042347603128291667,3.6581318601965904,0.6400512298569083,-0.004798382826265879,4.809189099818468
1441792,1.5507460460066795,-0.06072824244017378,-0.12137270154198632,-0.10901246260618791,-0.039396642467181664,-0.19872702658176422,-0.37060716445557773,-0.2264651710866019,-0.151508029026445,-0.057838341541355476,3.9070966988801956,0.6913349945098162,7.431983249261975e-05,4.813464162871242
1572864,1.6768213110044599,-0.06085217762882694,-0.11232800403377041,-0.07742756087100133,-0.053836577833862975,-0.15677056572167203,-0.506696074269712,-0.2067424783599563,-0.15545398771064356,-0.06552031546016224,4.228556085377932,0.6722623682580888,-0.0017591704381629825,5.179292944259942
1703936,1.3678626520559192,-0.060976112817480645,-0.15994870313443244,-0.11047257215250283,-0.0437330168497283,-0.16824118955992162,-0.6957938354462385,-0.21460079518146813,-0.1076091104769148,-0.08629514701897278,3.712533311918378,0.7253729668445885,0.0012855768436565995,4.158878548070788
1835008,1.2201455812901258,-0.061100048006133896,-0.1743342998670414,-0.13301742798648775,-0.060351983323926106,-0.16303424932993948,-0.7899999860674143,-0.20233387278858572,-0.09129855417995714,-0.09771565237315372,3.279733331874013,0.7263132967054844,0.03511065192287788,3.487379876896739
