collected_frames,var_decomp/shaping,var_decomp/joint_ang_from_flat_penalty,var_decomp/joint_angle_var_penalty,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/clearance,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
262144,0.4499618709087372,0.17835651338100433,0.2478215992450714,0.36870792508125305,0.023973288014531136,0.34198707342147827,0.08426801860332489,-0.37168803811073303,0.052541349083185196,1.861897587776184,0.054859571158885956,0.020766988396644592
393216,0.5835157036781311,0.12884722650051117,0.1941443532705307,0.3841496706008911,0.044666141271591187,0.15186874568462372,0.06523694843053818,-0.13306112587451935,0.044048454612493515,1.6826750040054321,0.009393850341439247,0.007714963983744383
524288,0.8139035701751709,0.11434433609247208,0.1701868772506714,0.4207982122898102,0.006012757308781147,0.15608817338943481,0.02893258072435856,-0.1956215500831604,0.05523211508989334,2.2903530597686768,-0.005378196947276592,0.02167133428156376
655360,0.8180317878723145,0.09100130945444107,0.1319751888513565,0.16826707124710083,-0.06591900438070297,0.25895392894744873,-0.007220620289444923,-0.08509378135204315,0.03648994117975235,2.5073673725128174,0.04926087707281113,0.009756394661962986
786432,0.5113329887390137,0.022049328312277794,-0.003348997561261058,-0.08390488475561142,-0.022859150543808937,0.20624107122421265,-0.029708372429013252,-0.07163874804973602,0.012554245069622993,3.0183184146881104,0.07212042063474655,0.01779647171497345
917504,0.2790223956108093,0.005564553197473288,-0.08495447784662247,-0.19298981130123138,-0.04501141607761383,0.28278741240501404,0.030065136030316353,0.11271726340055466,0.007331097964197397,2.6127612590789795,0.06230871006846428,0.06626133620738983
1048576,0.28646719455718994,0.003765722271054983,-0.11090529710054398,-0.19178524613380432,-0.026148591190576553,0.3003844618797302,0.05251035839319229,0.042746905237436295,0.016412261873483658,2.5722062587738037,0.09988994896411896,0.06505487859249115
1179648,0.055789124220609665,0.016216743737459183,-0.13630317151546478,-0.1961532086133957,-0.03039650432765484,0.389788419008255,0.049398086965084076,0.037256527692079544,0.020832549780607224,2.254608154296875,0.08477326482534409,0.20989692211151123
1310720,1.0157133340835571,0.19501985609531403,0.16844405233860016,0.18437384068965912,0.08884891867637634,0.5493742227554321,0.11115673929452896,-0.0556807667016983,0.0491250678896904,2.319766044616699,-0.08208872377872467,0.013455212116241455
1441792,0.9498066306114197,0.10287657380104065,0.07065633684396744,0.12161912024021149,0.02576390653848648,0.6693850755691528,-0.1076955646276474,-0.0629727765917778,0.05081522464752197,2.955275297164917,-0.10540957003831863,-0.0007132602040655911
