attempt,collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/argmax_bin_front,pan/argmax_bin_rear,pan/pivot_half_base_m,pan/min_hinge_reach_m,pan/flipper_delta_front,pan/flipper_delta_rear
0,131072,0.07751687406835117,0.16085376761839143,1.9840802941471338,12.13207422196865,0.25599891203455627,0.15000000619329512,-0.019838919270114275,-0.19541554234001524
0,262144,0.06301428719598334,0.2279797912342474,2.209806390106678,12.20388988405466,0.2559989164583385,0.15000000689178705,-0.08938058637431823,-0.3424877938814461
0,393216,0.05984680795518216,0.20155411527957767,2.0833048755303025,12.194534994661808,0.2559989164583385,0.15000000619329512,-0.09054083796218038,-0.2886808709008619
0,524288,0.08227416430599988,0.19878150359727442,2.197690835222602,12.262485191226006,0.25599891622550786,0.15000000677537173,-0.020642576848331373,-0.30791152780875564
0,655360,0.08674090920249,0.1858175559900701,2.2163571156561375,12.275326669216156,0.2559989143628627,0.15000000630971044,-0.002138075035873044,-0.3148465108824894
0,786432,0.0650435816787649,0.20996988588012755,2.144920350983739,12.21741008758545,0.25599891575984657,0.1500000060768798,-0.10311018189531751,-0.30338743049651384
0,917504,0.07855164850479923,0.19898996816482395,2.155592653900385,12.241141475737095,0.2559989164583385,0.1500000066589564,-0.06970152715803124,-0.32765338849276304
0,1048576,0.10020220867590979,0.17447533656377345,2.177855707705021,12.282229229807854,0.2559989138972014,0.15000000700820237,-0.0339475038490491,-0.31631631730124354
0,1179648,-0.16332347589113244,0.3656641195723205,1.7505506098270416,12.008613374233246,0.25599891421695553,0.15000000661859908,-0.9669545621719833,-0.10644788080089104
0,1310720,-0.19961920531932265,0.4070039150537923,1.6630263580009341,11.875628158450127,0.2559989152941853,0.15000000700820237,-1.104534629266709,-0.06183335484638519
0,1441792,-0.06453187670558691,0.30277810664847493,1.8990943375974894,12.158753424882889,0.2559989122673869,0.15000000596046448,-0.6707700362894684,-0.2392285781679675
0,1572864,0.02662071147278766,0.23826390493195504,2.058746486902237,12.178057566285133,0.2559989152941853,0.15000000619329512,-0.29930839501321316,-0.29746299469843507
0,1703936,0.08003905610530637,0.1959264308679849,2.168965233489871,12.243021681904793,0.25599891669116914,0.15000000642612576,-0.09706440188165288,-0.3159789580386132
0,1835008,0.07438792070024647,0.1943332883529365,2.145658913999796,12.27184496819973,0.2559989173896611,0.15000000700820237,-0.05044558759254869,-0.27613161271438
0,1966080,0.09891818204778247,0.17307521437760442,2.2079154644161463,12.306899338960648,0.25599891413003206,0.15000000619329512,0.06385833955084763,-0.2991061970824376
0,2097152,0.11797727236989886,0.15875731164123863,2.244871899485588,12.329039685428143,0.25599891669116914,0.15000000689178705,0.059312323486665264,-0.32660024892538786
0,2228224,0.030417881194346894,0.2183712051286178,1.8637730967998505,12.066673045158385,0.2559989167253176,0.15000000717739265,0.32596647783410543,0.39040242915196965
0,2359296,0.038291350574581884,0.22316998953465372,1.8721870006993413,12.036954060196877,0.25599891832098365,0.15000000689178705,0.328378080856055,0.4002428697422147
0,2490368,0.04614867655618582,0.22591052670031786,2.0298087913542986,12.087872132658958,0.2559989159926772,0.15000000619329512,0.22256409761030227,0.041191063788573956
0,2621440,0.06443683372344822,0.1959854147862643,2.093844383955002,12.219988517463207,0.255998918088153,0.1500000065425411,0.04571908599791641,-0.20513894583564252
0,2752512,0.07730754022486508,0.2067609365331009,2.1438665874302387,12.223493412137032,0.255998914828524,0.15000000619329512,-0.02735902426775283,-0.2617679327959195
0,2883584,0.0776138748624362,0.19566635601222515,2.1778350602835417,12.262817844748497,0.25599891669116914,0.15000000677537173,-0.006557155015720184,-0.2899552632588893
0,3014656,0.07391559798270464,0.18686013598926365,2.1476551424711943,12.310735262930393,0.2559989152941853,0.1500000066589564,0.03119033036819019,-0.26466180954594165
