attempt,collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
0,131072,-0.006115016267614237,-7.136356678852374e-05,0.003662109375,-0.002523275859033447
0,262144,-0.006931993179023266,-0.00016999229978864605,0.0040283203125,-0.0030711313979736587
0,393216,-0.006645819772529649,-0.00012991273314355567,-0.0042724609375,-0.011046229586554546
0,524288,-0.0067976340105815325,-0.0001416930653590498,0.0011444091796875,-0.005792646039481042
0,655360,-0.006742927180312108,-0.00011423753576877971,-0.001617431640625,-0.00847317056332031
0,786432,-0.006752714569302043,-0.00012367960829351432,0.000701904296875,-0.006172969533963624
0,917504,-0.006841902541054878,-0.00013287914441661997,0.000457763671875,-0.0065146191986968915
0,1048576,-0.006900822831084952,-0.00011796186930723707,-0.001068115234375,-0.008084906678504922
0,1179648,-0.006896562532347161,-0.00011139769264900679,0.00042724609375,-0.006579107833658782
0,1310720,-0.009703950774564873,-0.00026916943807009375,-0.0018157958984375,-0.011785292862896313
0,1441792,-0.00808718485859572,-0.00022183511055118288,-0.0001220703125,-0.008430348661022435
0,1572864,-0.007057858776533976,-0.000147369360263383,-0.0029754638671875,-0.010179107535805088
0,1703936,-0.007015878840320511,-0.0001368675843878009,0.0001678466796875,-0.0069827662805437285
0,1835008,-0.006822111074143322,-0.0001360632998625988,-0.00146484375,-0.008420240539635415
0,1966080,-0.006697170862025814,-0.00011985685483750785,0.0002899169921875,-0.006525858585519018
0,2097152,-0.0068291499046608806,-0.00015016254752708846,0.0001983642578125,-0.006778228130315256
0,2228224,-0.00675745861735777,-0.00013380727654066504,-0.000518798828125,-0.007408115912767244
0,2359296,-0.004875876957157743,-7.115568774906933e-05,-0.0012054443359375,-0.00615010617138978
0,2490368,-0.005924338849581545,-9.312582670872871e-05,-0.0005340576171875,-0.006550050874011504
0,2621440,-0.006390607977664331,-0.00011809387314087871,-0.001495361328125,-0.008001758409591275
0,2752512,-0.006607195788092213,-0.00014138013989395404,9.1552734375e-05,-0.006655623814367573
0,2883584,-0.006512973242934095,-0.00014567446231694703,-0.001129150390625,-0.007785306728692376
0,3014656,-0.006447227067837957,-0.00013051675483666259,-0.000152587890625,-0.006728481961545185
0,3145728,-0.006502096199255902,-0.0001392250322851396,-0.0002899169921875,-0.006929315687557391
0,3276800,-0.006576341769687133,-0.0001313278305019594,-0.00048828125,-0.007193794141585386
0,3407872,-0.004728240994154476,-9.507548739406957e-05,-0.0005340576171875,-0.005354875041575724
0,3538944,-0.005900826632569078,-8.562463432326695e-05,-1.52587890625e-05,-0.006000575759571802
0,3670016,-0.006313453399343416,-0.00013378532293017997,-0.000457763671875,-0.006902951832671533
0,3801088,-0.006488994458777597,-0.00014010666569674868,-0.0004425048828125,-0.007069487958233367
0,3932160,-0.006420744877686957,-0.00013001722021499518,-0.00067138671875,-0.007219789839837176
0,4063232,-0.006463055378844729,-0.00013747974725220047,-0.0004119873046875,-0.00701035327210775
0,4194304,-0.006415330240997719,-0.0001318548440849554,-0.0003509521484375,-0.0068960315320509835
0,4325376,-0.006346962287352653,-0.00012848425376432715,-4.57763671875e-05,-0.006519156343074428
0,4456448,-0.005638672686473001,-5.216846273015108e-05,-0.0006103515625,-0.006300581513187353
0,4587520,-0.005995448427711381,-0.0001364246409423231,-0.000579833984375,-0.006708638890813745
0,4718592,-0.006133200440672226,-0.00013058178575420243,-0.0008697509765625,-0.0071307840535155265
0,4849664,-0.006375001263222657,-0.00013196733550557838,-0.00054931640625,-0.007053509116758505
0,4980736,-0.006339428036881145,-0.00012892001711861667,-0.0008087158203125,-0.00727564828184768
0,5111808,-0.006364336699334672,-0.00012713690063037575,-0.0006256103515625,-0.0071147392327475245
0,5242880,-0.006285980056418339,-0.00012028593624791029,-0.0001220703125,-0.0065266778256045654
0,5373952,-0.006207156940945424,-0.0001333292548792997,-0.0008087158203125,-0.007147457081373432
0,5505024,-0.006323731275188038,-0.00018690503196694408,-0.0008087158203125,-0.007317938419873826
0,5636096,-0.006864023966045352,-0.00016827784679662727,-0.0004730224609375,-0.007504021935346827
0,5767168,-0.006408231238310691,-0.00014917375438017189,-0.00250244140625,-0.009057896949798305
0,5898240,-0.006387063091096934,-0.00013522880783511937,-0.0001983642578125,-0.0067184153567723115
0,6029312,-0.006270292931731092,-0.00012913364696487406,-0.001434326171875,-0.007831744426766818
0,6160384,-0.006277407472225605,-0.00012554592609603787,-0.0005950927734375,-0.006996443039042788
0,6291456,-0.006370766575855669,-0.00013147507138455694,-4.57763671875e-05,-0.006545989978349098
0,6422528,-0.006483729168394348,-0.00014277035919008085,-0.0012664794921875,-0.007891070818459411
0,6553600,-0.007665972731047077,-0.00016653936143029568,-0.0015869140625,-0.009416857737051032
0,6684672,-0.0070572459044342395,-0.00017441589324107554,-0.0009307861328125,-0.008160807438798656
0,6815744,-0.0066208124699187465,-0.00015204489176312563,-0.00311279296875,-0.00988377036719612
0,6946816,-0.006594172951736255,-0.00012499256155251715,-0.0004425048828125,-0.007159871824114816
0,7077888,-0.00667606296701706,-0.00013878183483484463,-0.001739501953125,-0.008552536200113536
0,7208960,-0.006469809261034243,-0.00015557481788164296,-0.001068115234375,-0.007691578721733094
0,7340032,-0.006776363505196059,-0.00017275249996373532,4.57763671875e-05,-0.006901104006828973
0,7471104,-0.006709408775350312,-0.00015497750206350247,-0.0013885498046875,-0.008250545304690604
0,7602176,-0.00881873196340166,-0.0001408846229651317,-0.0010833740234375,-0.010039270571724046
0,7733248,-0.00740906464488944,-0.00016787182147481872,-0.0012359619140625,-0.008810398938294384
0,7864320,-0.006853400638647145,-0.00014139434205162615,-0.0019073486328125,-0.008900055318008526
0,7995392,-0.006752915291144745,-0.00013878553227186785,-0.0012969970703125,-0.008186708403627563
0,8126464,-0.006570293458935339,-0.0001775433696593609,-0.00225830078125,-0.009003348735859618
0,8257536,-0.0065593318977335,-0.00016819161749026534,-0.00140380859375,-0.008129585646202031
0,8388608,-0.006682292201730888,-0.0001889394934551092,-0.0010986328125,-0.00796735097628698
0,8519680,-0.006930698051291984,-0.000239004973423107,-0.0015869140625,-0.008754159743148193
0,8650752,-0.008943045537307626,-0.00010185434234699642,-0.0003204345703125,-0.009364267564706097
0,8781824,-0.007086243906087475,-0.0002452430773303149,-0.0014190673828125,-0.008746011170842394
0,8912896,-0.006693463590636384,-0.0002826318915367665,-0.002044677734375,-0.009017834584483353
0,9043968,-0.006854269675386604,-0.0001842225170776146,-0.0022735595703125,-0.009309910156844126
0,9175040,-0.006894335445394972,-0.00015207996136723523,-0.001190185546875,-0.008234991369135969
0,9306112,-0.006893307618156541,-0.00010649708849541639,-0.0006866455078125,-0.007685066140311392
0,9437184,-0.006556944328622194,-0.00012235460621923266,-0.0004119873046875,-0.007090215582138626
0,9568256,-0.006948876205569832,-0.00017606699958605532,-0.0007781982421875,-0.007900856779087917
0,9699328,-0.008635483307443792,-0.0006300836237187468,-0.002105712890625,-0.011366621934030263
