attempt,collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
0,131072,-0.002523276023566723,0.9980208333333334,131072,0.0009995833333333334,0.03464744985103607,0.05584006756544113,-0.0206256452947855,-0.04953939467668533
0,262144,-0.0030711316503584385,0.9960416666666667,262144,0.0009991666666666669,0.038304176181554794,0.056475162506103516,-0.11146958917379379,-0.13474655151367188
0,393216,-0.011046229861676693,0.9940625,393216,0.0009987500000000003,0.028745558112859726,0.06543520092964172,-0.24940024316310883,-0.29407787322998047
0,524288,-0.005792646203190088,0.9920833333333333,524288,0.0009983333333333335,0.02843398042023182,0.01962313801050186,-0.31967678666114807,-0.3222152590751648
0,655360,-0.008473170921206474,0.9901041666666667,655360,0.000997916666666667,0.04269039258360863,0.032270174473524094,-0.2711825966835022,-0.2806956171989441
0,786432,-0.006172969471663237,0.988125,786432,0.0009975000000000003,0.031608134508132935,0.05630343407392502,-0.40680238604545593,-0.3667835593223572
0,917504,-0.00651461910456419,0.9861458333333334,917504,0.0009970833333333335,0.019776733592152596,0.01335238665342331,-0.35273268818855286,-0.34299659729003906
0,1048576,-0.00808490626513958,0.9841666666666666,1048576,0.000996666666666667,0.019999828189611435,0.016398552805185318,-0.29642996191978455,-0.3014165759086609
0,1179648,-0.006579107604920864,0.9821875,1179648,0.0009962500000000002,0.04014338552951813,0.035675931721925735,-0.33950626850128174,-0.3618699312210083
0,1310720,-0.011785292997956276,0.9802083333333333,1310720,0.0009958333333333336,0.036145858466625214,0.021227605640888214,-0.19864536821842194,-0.18952879309654236
0,1441792,-0.008430348709225655,0.9782291666666667,1441792,0.000995416666666667,0.034123316407203674,0.011693175882101059,-0.17997701466083527,-0.18024685978889465
0,1572864,-0.010179107077419758,0.97625,1572864,0.0009950000000000002,0.03334285318851471,0.07929567247629166,-0.25578853487968445,-0.3071895241737366
0,1703936,-0.006982766091823578,0.9742708333333333,1703936,0.0009945833333333336,0.09263989329338074,0.6562416553497314,-0.5780322551727295,-0.1975434422492981
0,1835008,-0.008420240134000778,0.9722916666666667,1835008,0.000994166666666667,0.024672672152519226,0.16596832871437073,-0.25661733746528625,-0.3811483681201935
0,1966080,-0.0065258583053946495,0.9703125,1966080,0.0009937500000000003,0.025577381253242493,0.16457651555538177,-0.3073561191558838,-0.4238378405570984
0,2097152,-0.006778228096663952,0.9683333333333334,2000000,0.0009933333333333337,0.010111328214406967,0.07914493978023529,-0.19838683307170868,-0.2576485276222229
0,2228224,-0.007408116012811661,0.9663541666666666,2000000,0.0009929166666666671,0.008035678416490555,0.01962759904563427,-0.25125643610954285,-0.23498690128326416
0,2359296,-0.006150105968117714,0.964375,2000000,0.0009925000000000003,0.006882688961923122,0.008137480355799198,-0.25178831815719604,-0.25618797540664673
