collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
4325376,-0.0005317934380855149,-0.00012756554377801876,-0.0023651123046875,-0.0030243873675317445
4456448,-0.0007413483810978505,-0.00016355642918597368,-0.0006256103515625,-0.001530389608888072
4587520,-0.0006145980423752917,-0.00014732499715819358,-0.002899169921875,-0.003660763481093454
4718592,-0.0005555842376452347,-9.808726443338855e-05,-0.004638671875,-0.005292215034387482
4849664,-0.000545020505796856,-0.0001300528278989077,-0.001708984375,-0.0023839451268941048
4980736,-0.0005532681116164895,-9.885724657010542e-05,-0.0030364990234375,-0.0036885894323859247
5111808,-0.0005597977483375871,-9.152173205961844e-05,-0.0024871826171875,-0.003138467201097228
5242880,-0.0005686356762453215,-0.00010726365098889801,-0.00091552734375,-0.0015913807760625787
5373952,-0.0005394508252720698,-0.0001078776258225389,-0.0029144287109375,-0.0035617016096693987
5505024,-0.0007695678878008039,-1.367306009569802e-05,-0.0002593994140625,-0.0010425446560020646
5636096,-0.0006304819967226649,-2.5050100106227546e-05,-0.001617431640625,-0.0022728462831764773
5767168,-0.0005749400413606054,-5.856883311139427e-05,-0.0047607421875,-0.005394162434186001
5898240,-0.000555313985387329,-0.00010789470331928896,-0.0021514892578125,-0.0028146213371655904
6029312,-0.0005568120657244435,-0.00010984751895648515,-0.003448486328125,-0.004115058266961569
6160384,-0.0005558300358643464,-0.00011324853556970993,-0.001983642578125,-0.0026526702599767304
6291456,-0.0005707330660698062,-0.00014385367006752858,-0.0011444091796875,-0.001858952893599053
6422528,-0.0005519308588191052,-0.00010537147312561501,-0.0031585693359375,-0.0038158317952365906
6553600,-0.0005466517086460954,-2.8740315954678408e-05,-0.000762939453125,-0.0013382651275151147
6684672,-0.0005113324978083256,-3.2816586312378604e-05,-0.0014801025390625,-0.0020241240372342872
6815744,-0.0005205155378007476,-5.194841465083755e-05,-0.0052947998046875,-0.0058671607389442215
6946816,-0.0005572985446633538,-5.970828536305817e-05,-0.0015106201171875,-0.0021276042471072287
7077888,-0.0005645769308557647,-6.188478636204309e-05,-0.00341796875,-0.004044410343340132
7208960,-0.0005717411818295659,-7.9195782404895e-05,-0.001678466796875,-0.002329373736301932
7340032,-0.0005783653450635029,-8.562797287936519e-05,-0.0008697509765625,-0.0015337084969360149
7471104,-0.0005786654833173088,-7.721170680952127e-05,-0.0037994384765625,-0.004455275898180844
7602176,-0.000790425396644423,-6.907155585622604e-05,-1.52587890625e-05,-0.0008746920207158837
7733248,-0.0006919835504959337,-5.272112400689366e-05,-0.0012054443359375,-0.0019500289449752017
7864320,-0.0006201455144037027,-7.63154342848793e-05,-0.004730224609375,-0.005426612557585031
7995392,-0.0006066074925001885,-0.00010351033731126336,-0.0022735595703125,-0.00298359157068262
8126464,-0.0006111449988566164,-8.684225880983831e-05,-0.0032806396484375,-0.0039785998656043375
8257536,-0.0005847058578183351,-8.408905836176928e-05,-0.00238037109375,-0.003049139709219162
8388608,-0.0005809246595163131,-0.00012379387806049635,-0.000244140625,-0.0009488272394264641
8519680,-0.000566085586342524,-0.00010267066363667254,-0.003173828125,-0.0038425543248195027
8650752,-0.0009205477367686399,-1.184249573782381e-05,-0.000885009765625,-0.0018174000360886566
