collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/argmax_bin_front,pan/argmax_bin_rear,pan/pivot_half_base_m,pan/min_hinge_reach_m,pan/flipper_delta_front
131072,-0.051792836506137974,0.0356343864586961,1.4483492001891136,12.783829182386398,0.25600081821903586,0.0010000000474974513,-0.13528199223219417
262144,-0.10440341522917151,0.13473203434841707,1.5450760275125504,12.862372249364853,0.25600082124583423,0.0010000000474974513,-0.24061080755200237
393216,-0.07582979739527218,0.07537620412222168,1.5016146721318364,12.855348765850067,0.25600082031451166,0.0010000000474974513,-0.17044334317324683
524288,-0.06527139715035446,0.0865330385568086,1.562629722058773,12.860547162592411,0.2560008193831891,0.0010000000474974513,-0.15558004984632134
655360,-0.06727124653116334,0.08772866195067763,1.5852238591760397,12.871453456580639,0.25600081984885037,0.0010000000474974513,-0.153967457881663
786432,-0.06152959470637143,0.0778816505044233,1.543507401831448,12.863172732293606,0.2560008189175278,0.0010000000474974513,-0.1662729094387032
917504,-0.07521939006983303,0.09870281966868788,1.571567825973034,12.871664561331272,0.2560008189175278,0.0010000000474974513,-0.19673375564161688
1048576,-0.08219186845235527,0.09123620204627514,1.5195821728557348,12.870946280658245,0.2560008193831891,0.0010000000474974513,-0.2073009347077459
1179648,0.14742151079000904,0.1765198778071984,2.6287117435534793,12.333866924444834,0.25600082129240037,0.001000000047594464,1.2295610715138416
1310720,0.15173740149475634,0.17381122277583927,2.6315721441060305,12.328180849552155,0.2560008231084794,0.0010000000474974513,1.2108603888191283
1441792,0.04128854607552057,0.18677927507087588,2.311577731743455,12.512468479573727,0.25600082078017294,0.0010000000474974513,0.6918510557152331
1572864,-0.06815193012880627,0.13228306331438944,1.7667309949174523,12.769712686538696,0.2560008193831891,0.0010000000474974513,0.08626155451929662
1703936,-0.0720680806261953,0.06596125397481956,1.523153020069003,12.93758711963892,0.2560008177533746,0.0010000000474974513,-0.21852569514885545
1835008,-0.05873843525478151,0.04967875755392015,1.54030776116997,12.962835900485516,0.25600081821903586,0.0010000000474974513,-0.20762600528541952
1966080,-0.05453714178293012,0.04591205366887152,1.5276276180520654,12.973410367965698,0.25600081821903586,0.0010000000474974513,-0.18403504916932434
2097152,-0.05488366119971033,0.045069144369335845,1.498184152878821,12.977994456887245,0.2560008196160197,0.0010000000474974513,-0.21780887176282704
2228224,-0.2844318845169619,-0.1163812678338339,0.5870986281335354,13.672581026554107,0.2560008196781079,0.0010000000474974513,-1.639071005093865
2359296,-0.2810514885932207,-0.1265584632055834,0.5660916697233915,13.670340709388256,0.25600081915035844,0.0010000000474974513,-1.616369804367423
2490368,-0.18174127454403788,-0.03843218939800863,0.9644336067140102,13.38173745572567,0.2560008196160197,0.0010000000474974513,-1.0474266773089767
2621440,-0.09909506852272898,0.01948599374651394,1.325026604346931,13.091667383909225,0.25600081915035844,0.0010000000474974513,-0.4951925687491894
2752512,-0.04548596155655105,0.04938478743133601,1.5377165647223592,12.968403719365597,0.2560008193831891,0.0010000000474974513,-0.19007248163688928
2883584,-0.06276648992206901,0.061464073427487165,1.5454853242263198,12.966978825628757,0.25600081984885037,0.0010000000474974513,-0.18601100763771683
3014656,-0.061152779206167907,0.05614350689575076,1.5681555597111583,12.955903112888336,0.2560008210130036,0.0010000000474974513,-0.16562599188182503
