outer_iteration,train/mean_reward,train/mean_safety,train/mean_mechanical_ok,train/eta,train/gamma_safety,train/gamma_mechanical,train/ess,train/solver_success,train/omega_mean_0,train/omega_mean_1,train/omega_mean_2,train/omega_mean_3,train/omega_mean_4,train/omega_mean_5,train/omega_std_0,train/omega_std_1,train/omega_std_2,train/omega_std_3,train/omega_std_4,train/omega_std_5
0,0.8908620465081185,0.9973958334885538,0.703125,1.3240146324219213,0.0,-0.9705163971517339,47.19832157211733,1.0,0.12905623210603753,0.03454328311680569,-0.10427109082906466,-0.17064023044150836,0.0024760907044244773,-0.010208556148679722,0.4933376141566322,0.546409059454329,0.5771081990195539,0.4707732733279264,0.5395512791677758,0.5014180816912618
1,1.0916028316132724,1.0,0.8645833334885538,1.3045509585937238,0.0,-0.5002111468627936,50.90073413207724,1.0,0.2722427094468929,0.10074589772125112,-0.14911400295781518,-0.3268378413621015,0.08496812686577887,0.09514070347321292,0.3939363867196677,0.46827274321256235,0.5481312573850851,0.39382792839214487,0.5713995497325534,0.5599103604338181
2,1.3984973297920078,1.0,0.7760416667442769,1.216923476262405,0.0,-0.3762805200689459,55.68147701885411,1.0,0.29617337247090336,0.04582476947602621,-0.10494264297302834,-0.34948066425102314,0.14936253934978316,0.14259411322021048,0.31898453140486666,0.4238896035886444,0.5363409431787243,0.2842698770446882,0.5907769493758386,0.5169219022260053
3,1.7980855598580092,1.0,0.9322916669771075,1.0113700568348793,0.0,0.0,61.6173422582914,1.0,0.3787833808771681,0.1136277120748177,-0.18242607655211387,-0.4010399685505236,0.1793543961627014,0.2995212180197392,0.22108554041380432,0.4130670944142442,0.48391612963887043,0.19288323852011285,0.5853998316617349,0.6023225659341935
4,2.210921630496159,1.0,0.9531250002328306,0.6729176136244561,0.0,0.0,63.5644199817417,1.0,0.39108753693002657,0.1982074122249026,-0.2698244419877562,-0.4413588960750855,0.14211183992544402,0.3548339499680945,0.13938593808057484,0.4335722592697495,0.4685336809685075,0.13683722939362192,0.5206060186844524,0.5376689600336658
5,2.816329751163721,1.0,0.9505208334885538,0.41768991347365086,0.0,0.0,61.28255368349567,1.0,0.4352522339666594,0.175664273562508,-0.21604518018876004,-0.5066427775844551,0.04648332274182301,0.46192397758700976,0.12016506420495418,0.4161135041132092,0.45038061216755043,0.10598022196113216,0.3846099666025311,0.5202928424065947
6,2.987152610672638,1.0,0.9166666669771075,0.3468959695166727,0.0,0.0,64.98123467702233,1.0,0.45578753674039885,0.10956739182513825,-0.1369887016265045,-0.5039370144427778,-0.10356721338509885,0.49947472942391963,0.11398194196397128,0.3372843381466135,0.4492807602449085,0.09294573706559572,0.38587537521271864,0.47225583278096117
7,3.1994538232684135,1.0,0.9453125,0.15434648078333407,0.0,0.0,74.66874718806292,1.0,0.4724213879979254,0.09089536376704256,-0.15751419527128105,-0.5167463990210389,-0.14171608396187382,0.6392540951826313,0.1228721809348292,0.3354286119634569,0.4317112553390448,0.08516564284291867,0.3385073649051871,0.4812828944318996
8,3.3888207245618105,1.0,0.921875,0.01490631893220008,0.0,-0.012851477500242884,57.073350181341134,1.0,0.48000237607986024,0.1333044746508288,-0.15045980191396804,-0.48614406275386296,-0.250786918462986,0.7539504832161575,0.13004721208251513,0.2805434474331025,0.4536420888476356,0.08209431195324499,0.2958937103841841,0.46806714538836103
9,3.502311922609806,1.0,0.9479166667442769,0.013476272668975197,0.0,-0.007159938404792858,52.19393225688915,1.0,0.45621900075626487,0.2741946739555901,-0.181793842056999,-0.45128969082260817,-0.39704348030443015,0.7171482925287938,0.10433233308677595,0.2709192669527435,0.4232147021445761,0.0705928940222538,0.23310636860088554,0.3906265923620843
