attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
0,65536,3.843139584,3.930062848,5.364928512
0,131072,3.844075008,3.999268864,6.800508416
0,196608,3.845655552,3.978297344,6.802404352
0,262144,3.822845952,4.001366016,6.802404352
0,327680,3.82508032,3.980394496,6.802404352
0,393216,3.824007168,4.022337536,6.802404352
0,458752,3.824939008,3.980394496,6.802404352
0,524288,3.82896384,4.001366016,6.802404352
0,589824,3.8267136,4.022337536,6.802404352
0,655360,3.824185344,3.980394496,6.802404352
0,720896,3.82485504,3.978297344,6.802404352
0,786432,3.824945152,3.999268864,6.802404352
0,851968,3.82485504,3.978297344,6.802404352
0,917504,3.82485504,3.980394496,6.802404352
0,983040,3.825096704,3.980394496,6.802404352
0,1048576,3.823880192,3.980394496,6.802404352
0,1114112,3.824713728,3.957325824,6.802404352
0,1179648,3.824185344,3.959422976,6.802404352
0,1245184,3.825553408,3.978297344,6.802404352
0,1310720,3.824377856,3.978297344,6.802404352
0,1376256,3.824346112,3.978297344,6.802404352
0,1441792,3.822954496,3.999268864,6.802404352
0,1507328,3.824347136,3.980394496,6.802404352
0,1572864,3.823448064,3.999268864,6.802404352
0,1638400,3.823069184,3.957325824,6.802404352
0,1703936,3.823773696,3.957325824,6.802404352
0,1769472,3.824832512,4.001366016,6.802404352
0,1835008,3.824908288,4.001366016,6.802404352
0,1900544,3.823773696,3.999268864,6.802404352
0,1966080,3.82582784,4.001366016,6.802404352
0,2031616,3.822884864,4.001366016,6.802404352
0,2097152,3.823823872,3.999268864,6.802404352
0,2162688,3.824156672,3.976200192,6.802404352
0,2228224,3.824185344,3.976200192,6.802404352
0,2293760,3.827259392,3.999268864,6.802404352
0,2359296,3.824338944,3.997171712,6.802404352
0,2424832,3.825125376,3.997171712,6.802404352
0,2490368,3.82321664,3.980394496,6.802404352
0,2555904,3.823104,3.980394496,6.802404352
0,2621440,3.82509568,3.980394496,6.802404352
0,2686976,3.823915008,3.999268864,6.802404352
0,2752512,3.82380032,4.020240384,6.802404352
0,2818048,3.824185344,3.978297344,6.802404352
0,2883584,3.824641536,3.999268864,6.802404352
0,2949120,3.82593536,3.980394496,6.802404352
0,3014656,3.824713728,3.999268864,6.802404352
0,3080192,3.823007744,3.978297344,6.802404352
0,3145728,3.826709504,3.999268864,6.802404352
0,3211264,3.824185344,3.978297344,6.802404352
0,3276800,3.82471168,3.997171712,6.802404352
0,3342336,3.824084992,3.978297344,6.802404352
0,3407872,3.826192384,3.997171712,6.802404352
0,3473408,3.824297984,3.976200192,6.802404352
0,3538944,3.827636224,3.997171712,6.802404352
0,3604480,3.826559488,3.999268864,6.802404352
0,3670016,3.82509568,3.999268864,6.802404352
0,3735552,3.824156672,3.978297344,6.802404352
0,3801088,3.823773696,4.001366016,6.802404352
0,3866624,3.825766912,3.980394496,6.802404352
0,3932160,3.824955392,3.957325824,6.802404352
0,3997696,3.824451584,3.980394496,6.802404352
0,4063232,3.823919104,4.001366016,6.802404352
0,4128768,3.82326528,4.001366016,6.802404352
0,4194304,3.82797312,3.999268864,6.802404352
0,4259840,3.827264,4.043309056,6.802404352
0,4325376,3.824713728,3.980394496,6.802404352
0,4390912,3.824424448,3.959422976,6.802404352
0,4456448,3.825025024,3.978297344,6.802404352
0,4521984,3.824155136,3.980394496,6.802404352
0,4587520,3.825817088,4.022337536,6.802404352
0,4653056,3.826440704,3.999268864,6.802404352
0,4718592,3.825274368,3.957325824,6.802404352
0,4784128,3.824156672,3.997171712,6.802404352
0,4849664,3.823779328,3.999268864,6.802404352
0,4915200,3.823983104,3.999268864,6.802404352
0,4980736,3.826850304,4.020240384,6.802404352
0,5046272,3.825726976,3.980394496,6.802404352
0,5111808,3.82404352,3.978297344,6.802404352
0,5177344,3.82592,4.001366016,6.802404352
0,5242880,3.827391488,4.001366016,6.802404352
0,5308416,3.826070528,3.976200192,6.802404352
0,5373952,3.824764928,4.001366016,6.802404352
0,5439488,3.825096704,3.999268864,6.802404352
0,5505024,3.826848256,3.978297344,6.802404352
0,5570560,3.825475584,3.980394496,6.802404352
