attempt,collected_frames,action/v_mean,action/w_mean,action/front_left_mean,action/front_right_mean,action/rear_left_mean,action/rear_right_mean
0,65536,0.008336402475833893,-3.550154360709712e-05,-0.009645882062613964,0.06187157332897186,-0.05504734069108963,0.0015911748632788658
0,131072,0.03705647215247154,-8.212374814320356e-05,0.007639661431312561,-0.003018417861312628,-0.0023729116655886173,0.029454339295625687
0,196608,0.06926950812339783,9.906924969982356e-05,0.0330127477645874,0.015876702964305878,0.03436225280165672,0.008991664275527
0,262144,0.033188074827194214,0.00011087687744293362,-0.006170632783323526,-0.010084636509418488,-0.011197416111826897,-0.053249068558216095
0,327680,0.1304110288619995,5.949236947344616e-05,0.009630812332034111,0.006715969182550907,0.03662324696779251,0.018103519454598427
0,393216,0.12343403697013855,-9.705361662781797e-06,0.021515801548957825,0.032487258315086365,0.005248432047665119,0.010798180475831032
0,458752,0.13158994913101196,-1.681240973994136e-05,0.016533033922314644,-0.005829347297549248,0.003925453871488571,-0.01273106038570404
0,524288,0.16173642873764038,9.963860065909103e-05,-0.0018755302298814058,0.03967364877462387,-0.007585159502923489,0.005113180261105299
0,589824,0.16777855157852173,4.2889580072369426e-05,0.026818014681339264,0.03367248550057411,0.014100195840001106,0.031855061650276184
0,655360,0.16668784618377686,1.3713277439819649e-05,0.02419584058225155,0.037884630262851715,0.02036542259156704,0.015902584418654442
0,720896,0.15748804807662964,-3.2107855076901615e-05,0.012245366349816322,0.0109158456325531,-0.02082415483891964,0.030704587697982788
0,786432,0.15252119302749634,6.312898767646402e-05,-0.0064209699630737305,0.010406818240880966,0.001478113466873765,0.024538397789001465
0,851968,0.13714948296546936,-2.0680698071373627e-05,0.04459245502948761,0.0013152511091902852,-0.007325911894440651,-0.0051125590689480305
0,917504,0.12938587367534637,-5.802638042951003e-06,-0.019551467150449753,0.02600242756307125,-0.0012448551133275032,0.02172841876745224
0,983040,0.1553478240966797,3.0221661290852353e-05,0.01347134355455637,0.01605743169784546,0.010203016921877861,0.013671943917870522
0,1048576,0.11679328233003616,-6.765588477719575e-05,0.02176191657781601,-0.013043481856584549,0.03730994462966919,0.006085717119276524
0,1114112,0.18353897333145142,-4.18887211708352e-05,-0.0034953104332089424,-0.008679191581904888,0.02471495419740677,0.0006158974138088524
0,1179648,0.16531383991241455,0.00010902368376264349,-0.01902930811047554,-0.013291801325976849,0.03695623576641083,0.027074744924902916
0,1245184,0.1502961963415146,1.7929065506905317e-05,0.00468390341848135,0.03440263867378235,-0.0008006300777196884,0.021855611354112625
0,1310720,0.15999524295330048,-8.147447078954428e-05,-0.010507997125387192,0.01319359615445137,0.01363435946404934,0.018466539680957794
0,1376256,0.16683167219161987,-4.094483665539883e-05,0.028709322214126587,0.026743251830339432,0.019954422488808632,0.017916332930326462
0,1441792,0.16472165286540985,-9.68580279732123e-05,0.05750228092074394,0.0038035463076084852,0.0405706912279129,0.06276509165763855
0,1507328,0.19431020319461823,-0.00015622151840943843,0.03835843503475189,0.015071995556354523,0.022512376308441162,0.021534539759159088
0,1572864,0.15916164219379425,-0.00012965782661922276,0.015225527808070183,0.03240375965833664,0.019583674147725105,0.0010668679606169462
0,1638400,0.17000161111354828,-8.564682502765208e-05,0.03293256834149361,0.002772863721475005,0.04199220612645149,0.033048730343580246
0,1703936,0.15137404203414917,-2.0107803720748052e-05,0.017027264460921288,0.04512738436460495,0.031246230006217957,0.009385684505105019
0,1769472,0.17760422825813293,8.244764467235655e-05,0.031099263578653336,-0.009725869633257389,0.016293324530124664,0.016149818897247314
0,1835008,0.20386487245559692,6.198108894750476e-05,-0.0012301813112571836,0.013786017894744873,0.027876630425453186,0.018151234835386276
0,1900544,0.14103963971138,2.186330675613135e-06,-0.0322614461183548,0.02702663093805313,0.015857622027397156,0.02092958427965641
