attempt,collected_frames,env/success_rate,env/failure_rate
0,65536,0.0,1.0
0,131072,0.0,1.0
0,196608,0.0,0.002044989775051125
0,262144,0.0,0.09090909090909091
0,327680,0.0,0.002066115702479339
0,393216,0.0,0.0
0,458752,0.0,0.0
0,524288,0.0,0.0020325203252032522
0,589824,0.0,0.0
0,786432,0.0,0.0
0,917504,0.0,0.0
0,1048576,0.0,1.0
0,1114112,0.0,0.0
0,1245184,0.0,0.04
0,1310720,0.0,0.0
0,1376256,0.0,0.0
0,1441792,0.0,0.0
0,1572864,0.0,0.0
0,1638400,0.0023923444976076554,0.0
0,1769472,0.0,0.0
0,1835008,0.0,0.0
0,1900544,0.0,0.0
0,1966080,0.00196078431372549,0.0
0,2097152,0.0,0.0
0,2162688,0.0,0.0
0,2293760,0.0,0.02702702702702703
0,2359296,0.0,0.0
0,2424832,0.0,0.0
0,2490368,0.0019569471624266144,0.0019569471624266144
0,2621440,0.009009009009009009,0.009009009009009009
0,2686976,0.0,0.0
0,2752512,0.2222222222222222,0.0
0,2818048,0.06896551724137931,0.0
0,2883584,0.0079155672823219,0.002638522427440633
0,2949120,0.017391304347826087,0.0
0,3014656,0.010101010101010102,0.0
0,3080192,0.0,0.0
0,3145728,0.04838709677419355,0.008064516129032258
0,3211264,0.0026109660574412533,0.0
0,3276800,0.5714285714285714,0.0
0,3342336,0.03571428571428571,0.0
0,3407872,0.01912568306010929,0.01092896174863388
0,3473408,0.022222222222222223,0.007407407407407408
0,3538944,0.021621621621621623,0.0
0,3604480,0.009433962264150943,0.009433962264150943
0,3670016,0.08045977011494253,0.0
0,3735552,0.020895522388059702,0.0
0,3801088,0.4444444444444444,0.0
0,3866624,0.11382113821138211,0.008130081300813009
0,3932160,0.010443864229765013,0.005221932114882507
0,3997696,0.017857142857142856,0.0
0,4063232,0.02518891687657431,0.0
0,4128768,0.19047619047619047,0.0
0,4194304,0.03125,0.0078125
0,4259840,0.0053475935828877,0.00267379679144385
0,4325376,0.5121951219512195,0.0
0,4390912,0.04201680672268908,0.0
0,4456448,0.015544041450777202,0.0051813471502590676
0,4521984,0.026785714285714284,0.0
0,4587520,0.04922279792746114,0.0
0,4653056,0.08490566037735849,0.0
0,4718592,0.2,0.0
0,4784128,0.011428571428571429,0.0
0,4849664,0.5882352941176471,0.11764705882352941
0,4915200,0.1111111111111111,0.0
0,4980736,0.05099150141643059,0.0
