attempt,collected_frames,rew/progress,rew/goal_velocity,rew/posture_swing,rew/stabilization,rew/step_penalty,rew/terminal_bonus,rew/total_reward
0,65536,-0.9734574160538614,-0.0020261439050699437,-0.29308875613494934,-0.22353353165090084,0.0,-0.038909912109375,-1.530613544397056
0,131072,-0.9327052100561559,0.025344679016143346,-0.3683451924007386,-0.22496519680134952,0.0,-0.03662109375,-1.5369218373671174
0,196608,-0.9375004828907549,0.04733862716238946,-0.1729275818215683,-0.20769719034433365,0.0,-1.677703857421875,-2.9484726497903466
0,262144,-0.9088714951649308,0.01767272408687859,-0.22647622146178037,-0.20690510934218764,0.0,-0.0732421875,-1.3977808253839612
0,327680,-0.8829124360345304,0.08055534276354592,-0.21206451833131723,-0.20699023397173733,0.0,-1.6605377197265625,-2.8819308634847403
0,393216,-0.8602526695467532,0.07176480232737958,-0.141666570387315,-0.20426601695362478,0.0,-0.0858306884765625,-1.220251147635281
0,458752,-0.7607519729062915,0.04576303764770273,-0.21866990893613547,-0.2048962664557621,0.0,-0.0274658203125,-1.1660209326073527
0,524288,-0.8762918170541525,0.10254218077170663,-0.15883761798613705,-0.20637183054350317,0.0,-1.6880035400390625,-2.8269450990483165
0,589824,-0.7481610691174865,0.052416326052480144,-0.1974653903162107,-0.2030183085007593,0.0,-0.0652313232421875,-1.161459763534367
0,655360,-0.8838659436441958,0.10988020329386927,-0.09474360178865027,-0.20073738123755902,0.0,0.0,-1.0694667156785727
0,720896,-0.7426424017176032,0.04236706796291401,-0.17935942503390834,-0.19976898666936904,0.0,0.0,-1.0794037412852049
0,786432,-0.8476595259271562,0.0856041539045691,-0.1705366145761218,-0.20507571788039058,0.0,-1.7578125,-2.8954801885411143
0,851968,-0.7865368896164,0.06377161344425986,-0.2296706724446267,-0.2099807213526219,0.0,0.0,-1.162416667677462
0,917504,-0.796254008077085,0.05033723333872331,-0.21627779721166007,-0.209343719528988,0.0,-1.7578125,-2.929350814782083
0,983040,-0.8401235248893499,0.09029642966925167,-0.18137114762794226,-0.20668101531919092,0.0,0.0,-1.1378792496398091
0,1048576,-0.7347115189768374,0.030208999862225028,-0.21341324411332607,-0.2033926259027794,0.0,-0.002288818359375,-1.1235800217837095
0,1114112,-0.8721112078055739,0.11664617058704607,-0.16873628163011745,-0.21020913135726005,0.0,-1.7543792724609375,-2.88878976367414
0,1179648,-0.867869958281517,0.10308282289770432,-0.16517852155084256,-0.20887093362398446,0.0,0.0,-1.1388365859165788
0,1245184,-0.7399952979758382,0.04203338999468542,-0.25596279406454414,-0.20666977588552982,0.0,-0.084686279296875,-1.2452631583437324
0,1310720,-0.8502432331442833,0.09235520362562966,-0.1771165295795072,-0.2074971756665036,0.0,-1.6719818115234375,-2.8144835364073515
0,1376256,-0.7669624974951148,0.06658832977700513,-0.1867475543403998,-0.20501619798596948,0.0,-0.006866455078125,-1.0990043636411428
0,1441792,-0.7866141116246581,0.06969872641639085,-0.14691540360217914,-0.20178657956421375,0.0,-1.750946044921875,-2.8165634581819177
0,1507328,-0.7919279062189162,0.10043592192232609,-0.1289337583584711,-0.20232160913292319,0.0,0.0,-1.0227473522536457
0,1572864,-0.7010579397901893,0.03352676858776249,-0.16795813362114131,-0.20334875956177711,0.0,-0.322723388671875,-1.3615614525042474
0,1638400,-0.8702189214527607,0.11108547090771026,-0.10310379706788808,-0.2013839459978044,0.0,-1.4293670654296875,-2.492988279554993
0,1703936,-0.8647097758948803,0.10099818202434108,-0.09375346836168319,-0.20013446954544634,0.0,0.0,-1.057599532417953
0,1769472,-0.7204963583499193,0.05201986637257505,-0.1889051595935598,-0.19995540927629918,0.0,-0.116729736328125,-1.1740667866542935
