attempt,collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/accel_p95,shock/accel_p99
0,65536,3.842443061992526,11.181031379848719,0.16529487461957615,4.515916976366441e-05,0.012822960617995705,0.0,4.299134111404419,4.426346182823181,4.524087147712708
0,131072,3.21893890760839,10.259355746209621,0.1574823180853855,3.656465997092795e-06,0.0018026309542165109,0.0,3.3392428159713745,3.3773121953010556,3.398793284893036
0,196608,3.6021030340343714,10.90141412615776,0.14165356104786042,3.277827450820503e-05,0.009620049492014004,0.0,4.024916315078736,4.109556269645691,4.20751953125
0,262144,3.4975111838430166,10.697191387414932,0.14272960113885347,9.109608478774511e-06,0.004299609151360073,0.0,3.663789224624634,3.7275572419166565,3.8104331612586977
0,327680,3.391030516475439,10.506540685892105,0.12883842628798448,2.2446699142975035e-05,0.006749173634489125,0.0,3.9639366626739503,4.022264122962952,4.197586002349854
0,393216,3.554123841226101,10.999777309596539,0.12851963032153435,1.8544138150944356e-05,0.0071385403210229015,0.0,3.799869704246521,3.8601051807403564,3.9176297783851624
0,458752,3.2138929665088654,10.490263134241104,0.1100493594276486,8.266672432366562e-06,0.004122566334217481,0.0,3.348115253448486,3.3845489978790284,3.481849973201752
0,524288,3.625911995768547,11.097368583083153,0.12827871582703665,3.0440088329974913e-05,0.010513527103739762,0.0,3.9444629669189455,4.00357254743576,4.080202178955078
0,589824,3.1472143679857254,10.234614290297031,0.1046744291234063,5.580388457993024e-06,0.0028571588904924283,0.0,3.284132885932922,3.327984869480133,3.37690043926239
0,655360,3.5710242576897144,11.156922750175,0.11577780822699424,3.6371346741503885e-05,0.01179960268564173,0.0,3.8819876194000242,3.9443231344223024,3.990056645870209
0,720896,3.118427077308297,9.988931350409985,0.07662029581433671,4.0687105959946734e-06,0.0018524845149840985,0.0,3.264259672164917,3.3311207056045533,3.401227934360504
0,786432,3.517551075667143,10.76123096421361,0.10965656855046291,3.262321516572797e-05,0.009290092138144246,0.0,4.009381198883057,4.027397465705872,4.138260359764099
