collected_frames,env/success_rate,env/failure_rate
524288,0.0,0.11654804270462633
1048576,0.0,0.015415216310293387
1572864,0.000501002004008016,0.002004008016032064
2097152,0.0,0.0017376194613379669
2621440,0.0015045135406218655,0.0005015045135406219
3145728,0.017561465127947817,0.0015052684395383843
3670016,0.06890894175553733,0.002461033634126333
4194304,0.07905544147843943,0.004106776180698152
4718592,0.1396508728179551,0.0029925187032418953
5242880,0.17885638297872342,0.021941489361702128
5767168,0.23706441393875397,0.012143611404435059
6291456,0.2837209302325581,0.014987080103359173
6815744,0.3252118644067797,0.02913135593220339
7340032,0.3592723597776655,0.025770591207680646
7864320,0.3756962025316456,0.03240506329113924
8388608,0.3867595818815331,0.03733200597312095
8912896,0.4143272023233301,0.04259438528557599
9437184,0.4266194331983806,0.044534412955465584
9961472,0.43028846153846156,0.04326923076923077
10485760,0.4482596425211665,0.04985888993414864
11010048,0.46441947565543074,0.048220973782771535
11534336,0.47110091743119265,0.05596330275229358
12058624,0.48084910013844023,0.05583756345177665
12582912,0.501127649977447,0.05096977898060442
13107200,0.5087170317389361,0.06437192668752793
13631488,0.5039080459770114,0.0639080459770115
14155776,0.5229074889867842,0.06343612334801763
14680064,0.5240384615384616,0.0673076923076923
15204352,0.531933508311461,0.0621172353455818
15728640,0.546236559139785,0.05591397849462366
16252928,0.5496746203904556,0.0633405639913232
16777216,0.5481012658227848,0.06160337552742616
17301504,0.5585509688289806,0.06571187868576242
17825792,0.5650282731622445,0.06524575902566333
18350080,0.5834697217675942,0.06096563011456629
18874368,0.5859085290482077,0.06674907292954264
19398656,0.5922570016474464,0.0728995057660626
19922944,0.5934959349593496,0.06951219512195123
20447232,0.5995106035889071,0.06769983686786298
20971520,0.6203852327447833,0.06621187800963081
21495808,0.6220095693779905,0.07177033492822966
22020096,0.6109311740890688,0.07854251012145749
22544384,0.637991436356559,0.07356948228882834
23068672,0.6345698500394633,0.08326756116811365
23592960,0.646124031007752,0.07519379844961241
24117248,0.6467181467181468,0.07722007722007722
24641536,0.6590389016018307,0.07971014492753623
25165824,0.6630644538788113,0.07680432265534543
25690112,0.6545522667665793,0.09029599100786811
26214400,0.6750380517503806,0.07686453576864535
26738688,0.6655392709507704,0.08267568583239383
27262976,0.683371298405467,0.06757782839787396
27787264,0.6856500562008243,0.08280254777070063
28311552,0.6838951310861423,0.07565543071161049
28835840,0.6855439642324889,0.0853204172876304
29360128,0.6835677276091784,0.08660251665433012
29884416,0.6902394106813996,0.07771639042357274
30408704,0.700474279460051,0.07661437431594309
30932992,0.7069530396796505,0.0815435020021842
31457280,0.7167755991285403,0.07407407407407407
31981568,0.7119073470865002,0.08107129931234165
32505856,0.7277599142550911,0.07288317256162916
33030144,0.7281903388608507,0.07714491708723864
33554432,0.7310539302079662,0.08177652449770885
34078720,0.7299820466786355,0.07612208258527828
34603008,0.7346437346437347,0.07476307476307477
35127296,0.7312169312169312,0.08571428571428572
35651584,0.7435008665511266,0.07625649913344887
36175872,0.748432055749129,0.07456445993031359
36700160,0.7411519777931992,0.07702984038861901
37224448,0.7586325966850829,0.0738950276243094
37748736,0.7494845360824742,0.08247422680412371
38273024,0.75809199318569,0.07495741056218058
38797312,0.7515274949083504,0.07942973523421588
39321600,0.7626830098740212,0.08103506979911475
39845888,0.7453861927546138,0.08544087491455912
40370176,0.7487249234954098,0.08636518191091465
40894464,0.76127500847745,0.08646998982706001
41418752,0.7574324324324324,0.08682432432432433
41943040,0.7553475935828877,0.09090909090909091
42467328,0.7618076792388719,0.08834522595990486
42991616,0.7624029699628755,0.07593655079311509
43515904,0.7686418109187749,0.07789613848202397
44040192,0.7659075686537173,0.08941728064300067
44564480,0.7643564356435644,0.08514851485148515
45088768,0.7627906976744186,0.09435215946843854
45613056,0.7728021073427724,0.08231807704972012
46137344,0.7762723066754792,0.0829477858559154
46661632,0.7684552845528455,0.08910569105691057
47185920,0.7722058341527368,0.08423467715503113
47710208,0.7673429319371727,0.08769633507853403
48234496,0.7688277668631304,0.08873608382449247
48758784,0.772490221642764,0.08735332464146023
49283072,0.7642671854734111,0.09889753566796368
49807360,0.7734274711168164,0.0972400513478819
50331648,0.7742663656884876,0.09319574330861012
50855936,0.7903069466882068,0.0840064620355412
51380224,0.7765579593154666,0.0878269292864062
51904512,0.7769576379974326,0.09531450577663671
52428800,0.7842509603072984,0.09346991037131883
52953088,0.78060413354531,0.0918918918918919
53477376,0.7904517782761935,0.08170458186478692
54001664,0.7932020330368488,0.0781448538754765
54525952,0.7856465380967436,0.08978817578248498
55050240,0.7898710286253539,0.08744888329663417
55574528,0.7877925363693865,0.08159392789373814
56098816,0.7809614772365489,0.10028653295128939
56623104,0.7957967377666249,0.08437892095357591
57147392,0.7952186222082416,0.08304498269896193
57671680,0.7990551181102362,0.08755905511811024
58195968,0.7895554864780852,0.08859185576624184
58720256,0.7999374804626446,0.08533916849015317
59244544,0.7873941674506115,0.092505487613672
59768832,0.8094351334574799,0.07759155803848541
60293120,0.7981308411214953,0.09626168224299066
60817408,0.8019832661915092,0.08366904245429191
61341696,0.7948399129623873,0.09822816288467516
61865984,0.7933807609031859,0.09155583049798949
62390272,0.8061224489795918,0.08812615955473098
62914560,0.8048555623847572,0.08727719729563614
63438848,0.8032029565753003,0.0917770249461041
63963136,0.8125969593546385,0.08191126279863481
64487424,0.8090965346534653,0.08601485148514851
65011712,0.8104875804967802,0.08984973934375959
65536000,0.8125579956696567,0.08506031549644293
66060288,0.8022755227552275,0.08948339483394833
66584576,0.808034345292855,0.08739650413983441
67108864,0.8053152039555006,0.09363411619283066
67633152,0.8139894769421232,0.08573197152584339
68157440,0.8165279062596361,0.07924761023743447
68681728,0.80355472404116,0.09042719052073589
69206016,0.8030721966205837,0.09615975422427035
69730304,0.8033292231812577,0.09340320591861899
70254592,0.8163944343617665,0.08892921960072596
70778880,0.8189892802450229,0.08238897396630934
71303168,0.8188383990370147,0.07944628347878423
71827456,0.8067049229839928,0.10299003322259136
72351744,0.815622161671208,0.08900999091734786
72876032,0.8207376058041113,0.0903869407496977
73400320,0.8301158301158301,0.08226908226908226
