collected_frames,diff/logprob_std,diff/logprob_mean
524288,2.1467583179473877,-64.29630279541016
1048576,2.1498024463653564,-64.28047180175781
1572864,2.1761531829833984,-64.23345947265625
2097152,2.208932399749756,-64.16869354248047
2621440,2.268859386444092,-64.05929565429688
3145728,2.324969530105591,-63.95400619506836
3670016,2.376189947128296,-63.82268142700195
4194304,2.436647891998291,-63.705421447753906
4718592,2.487058639526367,-63.58970260620117
5242880,2.5270776748657227,-63.464569091796875
5767168,2.5996310710906982,-63.30147171020508
6291456,2.65330171585083,-63.1226692199707
6815744,2.705348014831543,-62.97026824951172
7340032,2.7383742332458496,-62.85268020629883
7864320,2.766763210296631,-62.744022369384766
8388608,2.811127185821533,-62.60900115966797
8912896,2.850604772567749,-62.490150451660156
9437184,2.883049964904785,-62.424049377441406
9961472,2.8933374881744385,-62.31349563598633
10485760,2.941131353378296,-62.14421844482422
11010048,2.968531608581543,-62.05643081665039
11534336,3.0142383575439453,-61.92512512207031
12058624,3.0679876804351807,-61.70109939575195
12582912,3.1053361892700195,-61.563140869140625
13107200,3.1617393493652344,-61.32683563232422
13631488,3.183952808380127,-61.341773986816406
14155776,3.234724998474121,-61.119667053222656
14680064,3.2759251594543457,-61.0653076171875
15204352,3.2834341526031494,-60.98490905761719
15728640,3.320082664489746,-60.89448547363281
16252928,3.3696751594543457,-60.7376594543457
16777216,3.402329206466675,-60.601192474365234
17301504,3.424898624420166,-60.5054931640625
17825792,3.4471487998962402,-60.39347839355469
18350080,3.501807928085327,-60.17359161376953
18874368,3.516859531402588,-60.094390869140625
19398656,3.5414984226226807,-60.00547409057617
19922944,3.5526068210601807,-59.92223358154297
20447232,3.5710461139678955,-59.84242630004883
20971520,3.604158878326416,-59.7506217956543
21495808,3.66001033782959,-59.46755599975586
22020096,3.671203374862671,-59.49518585205078
22544384,3.7482450008392334,-59.17832565307617
23068672,3.7492270469665527,-59.156925201416016
23592960,3.7727246284484863,-58.897117614746094
24117248,3.798093557357788,-58.746891021728516
24641536,3.809605598449707,-58.71487808227539
25165824,3.803952693939209,-58.64810562133789
25690112,3.876441478729248,-58.45467758178711
26214400,3.8599071502685547,-58.52192687988281
26738688,3.932068347930908,-58.238525390625
27262976,3.944697618484497,-58.25117492675781
27787264,3.9715981483459473,-58.127708435058594
28311552,3.9830451011657715,-58.115638732910156
28835840,3.991637945175171,-57.99818420410156
29360128,3.961186647415161,-57.9655647277832
29884416,3.9669270515441895,-57.841529846191406
30408704,3.9275028705596924,-57.969608306884766
30932992,3.9863076210021973,-57.624908447265625
31457280,3.993119239807129,-57.44413757324219
31981568,4.016801834106445,-57.399940490722656
32505856,4.000175476074219,-57.33884048461914
33030144,4.020050048828125,-57.26854705810547
33554432,3.989075183868408,-57.23664855957031
34078720,3.990022897720337,-57.08463668823242
34603008,3.948216199874878,-57.1181640625
35127296,4.062869071960449,-56.88243865966797
35651584,4.102229118347168,-56.74094009399414
36175872,4.130670547485352,-56.67710876464844
36700160,4.175936222076416,-56.47197723388672
37224448,4.219233989715576,-56.243080139160156
37748736,4.243247032165527,-56.14649963378906
38273024,4.270551681518555,-55.99972915649414
38797312,4.254551410675049,-56.08610916137695
39321600,4.271210670471191,-55.84305953979492
39845888,4.256547451019287,-55.86741638183594
40370176,4.271515846252441,-55.85451889038086
40894464,4.311140060424805,-55.69133758544922
41418752,4.351150035858154,-55.60431671142578
41943040,4.389145851135254,-55.61901092529297
42467328,4.339572906494141,-55.572853088378906
42991616,4.239176273345947,-55.836307525634766
43515904,4.323395729064941,-55.49348831176758
44040192,4.2966742515563965,-55.41448974609375
44564480,4.341475009918213,-55.28900146484375
45088768,4.337427139282227,-55.18059539794922
45613056,4.409075736999512,-54.96027755737305
46137344,4.430342674255371,-54.869873046875
46661632,4.385396480560303,-54.89940643310547
47185920,4.378426551818848,-54.8658332824707
47710208,4.44409704208374,-54.58229064941406
48234496,4.440883636474609,-54.550750732421875
48758784,4.420352458953857,-54.54882049560547
