collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
524288,-0.0006291631143540144,0.6282040476799011,0.0008380005019716918,0.628290057182312,0.0008910606848075986,0.6279134750366211,0.001347696641460061,0.6280837059020996,-0.0005125122261233628,0.6275827288627625,0.00011766792158596218,0.6280309557914734,0.7238961458206177,0.72390216588974,1.9974775314331055,0.0,0.0,0.0,1.0,0.008121013641357422,0.14098231494426727,0.5560564398765564
1048576,0.050931721925735474,0.6271076202392578,0.0002211664686910808,0.628054678440094,0.00209599151276052,0.6290372610092163,0.0019343520980328321,0.6272526383399963,-0.0021970064844936132,0.6288207173347473,0.0014002263778820634,0.6274054050445557,0.7234615087509155,0.7235517501831055,1.9973077774047852,0.0050384169444441795,0.003429210279136896,0.006848899647593498,1.0000669956207275,0.00808278750628233,0.1411322057247162,0.5560503005981445
1572864,0.1045905351638794,0.621568500995636,-0.0011726247612386942,0.6279111504554749,-0.0014676915016025305,0.6302465200424194,0.004719506949186325,0.6275981068611145,-0.0004949601134285331,0.6290522813796997,0.0068706730380654335,0.6261307597160339,0.7233203649520874,0.7234951257705688,1.997087001800537,0.007015625014901161,0.0050002518109977245,0.01147838681936264,0.9996390342712402,0.008160432800650597,0.14093860983848572,0.5560630559921265
2097152,0.15182581543922424,0.6143930554389954,0.0013623000122606754,0.6279886364936829,-0.001972639001905918,0.6301978230476379,0.00601161178201437,0.6260131597518921,0.0034134453162550926,0.6273572444915771,0.009102176874876022,0.6273244619369507,0.7229931354522705,0.7236764430999756,1.9986873865127563,0.008364775218069553,0.004830712452530861,0.015697753056883812,0.9985312223434448,0.00807992648333311,0.1409560889005661,0.5559574961662292
2621440,0.19591112434864044,0.6066733002662659,0.0033503759186714888,0.6264945268630981,-0.0007776741404086351,0.6318395137786865,0.0070825861766934395,0.6284747123718262,0.0024275907780975103,0.6271340847015381,0.014850469306111336,0.6272339224815369,0.7225873470306396,0.723743200302124,1.9979894161224365,0.009578474797308445,0.005464022979140282,0.01997779682278633,0.9985566139221191,0.008171002380549908,0.14130084216594696,0.5563313961029053
3145728,0.2324274480342865,0.5981889963150024,0.0026572919450700283,0.6252219080924988,0.0005977102555334568,0.632066547870636,0.008198477327823639,0.628726601600647,0.007846626453101635,0.6270337700843811,0.014280527830123901,0.6294817328453064,0.722093403339386,0.723689079284668,1.997164249420166,0.01084114983677864,0.005559148266911507,0.023209810256958008,0.9988573789596558,0.008213600143790245,0.14181439578533173,0.5565895438194275
3670016,0.26647791266441345,0.5917227268218994,-0.00399813475087285,0.6243315935134888,-5.503324791789055e-05,0.6316348314285278,0.009866684675216675,0.6288313269615173,0.0069670295342803,0.6287556886672974,0.016198337078094482,0.6315267086029053,0.7218119502067566,0.7237820029258728,1.9990854263305664,0.012186300940811634,0.005364479962736368,0.02617281675338745,0.9989395141601562,0.008350531570613384,0.14234352111816406,0.5570492148399353
4194304,0.2999715507030487,0.5817912220954895,-0.010809228755533695,0.6254555583000183,0.0022421497851610184,0.6320323348045349,0.008287390694022179,0.6282809972763062,0.009891966357827187,0.6293594241142273,0.017066985368728638,0.6314050555229187,0.7212797403335571,0.7236658930778503,1.9971141815185547,0.014136683195829391,0.0059693786315619946,0.029940929263830185,0.9988391399383545,0.008329073898494244,0.14240257441997528,0.557060718536377
4718592,0.3258722424507141,0.5734374523162842,-0.015184152871370316,0.6268309950828552,0.0023558426182717085,0.630487859249115,0.013389748521149158,0.6282218098640442,0.009112357161939144,0.6311221122741699,0.018730413168668747,0.6291720867156982,0.7209315299987793,0.7235031723976135,1.997969627380371,0.01494300365447998,0.006444218102842569,0.03288722783327103,0.9981865882873535,0.008410136215388775,0.1428777426481247,0.557408332824707
5242880,0.3530288338661194,0.5650997757911682,-0.014341956004500389,0.6266753673553467,0.007520067039877176,0.6310157179832458,0.01663818582892418,0.6293298602104187,0.015247069299221039,0.631300151348114,0.013992329128086567,0.629767119884491,0.7206085324287415,0.7236548662185669,1.9981480836868286,0.015712052583694458,0.006769600789994001,0.035693734884262085,0.9978561401367188,0.00846719741821289,0.14314183592796326,0.5575882196426392
