collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/final_clip_fraction,train/final_kl_approx,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef,train/epochs_run,train/updates_run,train/updates_possible,train/stopped_on_kl
524288,-0.0010567234130576253,-0.1412154883146286,-0.14015876490157098,-0.004187434911727905,-64.29630279541016,2.273173451423645,-0.02635518860188313,-0.048481136560440063,64.29276120662689,0.015543497545877472,0.24639511108398438,0.2470703125,0.019312378019094467,-0.004187434911727905,3.618501901626587,0.9280967116355896,0.0005022247110936408,0.0016967519827573916,-0.05991381120045124,16.29043388277351,2,64,64,0.0
1048576,0.06660467386245728,-0.11517348885536194,-0.1817781627178192,0.7281386256217957,-64.28047180175781,1.9430651888251305,-0.028163734852569178,-0.04845399409532547,64.2310391664505,0.018562596684205346,0.2638359069824219,0.25,0.014712286181747913,0.7281386256217957,3.1468849182128906,0.7056458592414856,0.0005015062208059533,0.0016943245836404282,-0.060338731847262954,16.29043388277351,2,64,64,0.0
1572864,0.06365344673395157,0.15818624198436737,0.0945327952504158,0.6126629114151001,-64.23345947265625,1.826756440103054,-0.021712537156417966,-0.04832235351204872,64.15622985363007,0.014891097453073598,0.22692108154296875,0.22900390625,0.01014205813407898,0.6126629114151001,3.025681972503662,1.2652350664138794,0.0005007877305182656,0.0016918971845234648,-0.06076365249407466,16.29043388277351,2,64,64,0.0
2097152,0.046855516731739044,0.6388841867446899,0.5920286700129509,-0.5220876336097717,-64.16869354248047,1.8422484323382378,-0.016480082405905705,-0.04832293838262558,64.0783041715622,0.012654915903112851,0.18874740600585938,0.207275390625,0.015895359218120575,-0.5220876336097717,3.203852653503418,1.143192172050476,0.000500069240230578,0.0016894697854065014,-0.06118857314088637,16.29043388277351,2,64,64,0.0
2621440,0.06911474466323853,0.1471816748380661,0.07806693017482758,0.2224862277507782,-64.05929565429688,2.16335628926754,-0.014964980669901706,-0.04822145402431488,63.96119821071625,0.012002350835246034,0.18910598754882812,0.199951171875,0.012642108835279942,0.2224862277507782,3.429915428161621,2.3579723834991455,0.0004993507499428904,0.001687042386289538,-0.06161349378769809,16.29043388277351,2,64,64,0.0
3145728,0.04618100821971893,0.10568135976791382,0.059500351548194885,0.19133850932121277,-63.95400619506836,2.352003902196884,-0.014358613312651869,-0.04812760651111603,63.82774341106415,0.013033072667894885,0.18436050415039062,0.179443359375,0.01295109186321497,0.19133850932121277,3.7750322818756104,1.6782457828521729,0.0004986322596552028,0.0016846149871725747,-0.0620384144345098,16.29043388277351,2,64,64,0.0
3670016,0.004032961092889309,-0.03378696367144585,-0.037819924764335155,-0.5153450965881348,-63.82268142700195,2.762064076960087,-0.011666300757497083,-0.04802192002534866,63.707800567150116,0.010653307050233707,0.16212081909179688,0.189453125,0.014128129929304123,-0.5153450965881348,4.4964165687561035,2.52626895904541,0.0004979137693675151,0.0016821875880556113,-0.062463335081321514,16.29043388277351,2,64,64,0.0
4194304,0.06681721657514572,-0.06229542940855026,-0.12911264598369598,-0.14991040527820587,-63.705421447753906,3.072561278939247,-0.011209302661882248,-0.047955967485904694,63.554091572761536,0.011335483548464254,0.16981124877929688,0.118408203125,0.008847896941006184,-0.14991040527820587,4.828066825866699,2.0970237255096436,0.0004971952790798275,0.001679760188938648,-0.06288825572813322,16.29043388277351,2,64,64,0.0
4718592,0.06693442165851593,-0.2665793299674988,-0.3335137516260147,0.2588220238685608,-63.58970260620117,3.184550128877163,-0.011339212520397268,-0.04779626801609993,63.42912358045578,0.011618640506640077,0.17155075073242188,0.15771484375,0.007004505954682827,0.2588220238685608,4.941798210144043,2.1279447078704834,0.0004964767887921399,0.0016773327898216845,-0.06331317637494493,16.29043388277351,2,64,64,0.0
5242880,0.07186274975538254,-0.6489797830581665,-0.720842532813549,0.4090062379837036,-63.464569091796875,3.4406948052346706,-0.008402176932577277,-0.04776853322982788,63.33086305856705,0.011830491828732193,0.18072509765625,0.2099609375,0.010617884807288647,0.4090062379837036,5.665340423583984,5.682032585144043,0.0004957582985044523,0.0016749053907047212,-0.06373809702175665,16.29043388277351,2,64,64,0.0
5767168,0.060129616409540176,0.767946720123291,0.7078171037137508,-0.5054157972335815,-63.30147171020508,3.6551855951547623,-0.00973547524336027,-0.047544922679662704,63.13379794359207,0.0116213112778496,0.17246246337890625,0.2080078125,0.012995588593184948,-0.5054157972335815,5.5862603187561035,3.1263535022735596,0.0004950398082167646,0.0016724779915877578,-0.06416301766856836,16.29043388277351,2,64,64,0.0
6291456,0.05730704218149185,-0.1906970590353012,-0.24800410121679306,-0.49151739478111267,-63.1226692199707,3.7543565295636654,-0.009467729905736633,-0.04741981625556946,62.97910851240158,0.011859689431730658,0.17839813232421875,0.230224609375,0.017055250704288483,-0.49151739478111267,5.779293537139893,2.546426296234131,0.000494321317929077,0.0016700505924707944,-0.06458793831538005,16.29043388277351,2,64,64,0.0
6815744,0.040930308401584625,-1.0091947317123413,-1.050125040113926,-0.5853350162506104,-62.97026824951172,3.8611782491207123,-0.007881508352511446,-0.047364212572574615,62.814719676971436,0.013187068019760773,0.18421554565429688,0.21484375,0.015306759625673294,-0.5853350162506104,5.947314262390137,2.454470634460449,0.0004936028276413893,0.001667623193353831,-0.06501285896219178,16.29043388277351,2,64,64,0.0
7340032,0.04141339287161827,-1.8844988346099854,-1.9259122274816036,-0.38868990540504456,-62.85268020629883,3.9209292829036713,-0.00785570058360463,-0.04730780050158501,62.6837660074234,0.013819182117003947,0.18942642211914062,0.158935546875,0.011064991354942322,-0.38868990540504456,6.099157333374023,3.2316720485687256,0.0004928843373537017,0.0016651957942368676,-0.06543777960900349,16.29043388277351,2,64,64,0.0
7864320,0.028758447617292404,-2.706017017364502,-2.7347754649817944,-0.4286751449108124,-62.744022369384766,4.069940451532602,-0.006689292738883523,-0.04722350463271141,62.591469168663025,0.013988146805786528,0.19632720947265625,0.188720703125,0.009714237414300442,-0.4286751449108124,6.327291011810303,9.758636474609375,0.000492165847066014,0.0016627683951199043,-0.0658627002558152,16.29043388277351,2,64,64,0.0
8388608,0.028399134054780006,-1.7372701168060303,-1.7656692508608103,-0.7667010426521301,-62.60900115966797,4.165909394621849,-0.007365960143943084,-0.04713885858654976,62.451792538166046,0.011590633788728155,0.172210693359375,0.175048828125,0.011836188845336437,-0.7667010426521301,6.5198974609375,3.7847650051116943,0.0004914473567783264,0.0016603409960029409,-0.06628762090262691,16.29043388277351,2,64,64,0.0
8912896,0.028980541974306107,-3.690139055252075,-3.7191195972263813,-0.12858454883098602,-62.490150451660156,4.349019452929497,-0.006906120101120905,-0.047015972435474396,62.317527294158936,0.01509942913253326,0.20960617065429688,0.20458984375,0.014583566226065159,-0.12858454883098602,6.828304767608643,3.4965171813964844,0.0004907288664906387,0.0016579135968859775,-0.06671254154943862,16.29043388277351,2,64,64,0.0
9437184,-0.11095871031284332,-5.109156608581543,-4.9981978982687,-1.0959906578063965,-62.424049377441406,4.488056726753712,-0.004574108934320975,-0.04705267399549484,62.32320576906204,0.012248954008100554,0.17307662963867188,0.211181640625,0.016490180045366287,-1.0959906578063965,7.0802903175354,2.6909360885620117,0.0004900103762029511,0.0016554861977690141,-0.06713746219625033,16.29043388277351,2,64,64,0.0
9961472,-0.014097372069954872,-6.616856575012207,-6.602759202942252,0.6125440001487732,-62.31349563598633,4.429075464606285,-0.00319790982757695,-0.04688527435064316,62.18022799491882,0.016745888846344315,0.22846603393554688,0.20947265625,0.014657617546617985,0.6125440001487732,7.070517063140869,2.692474365234375,0.0004892918859152634,0.0016530587986520507,-0.06756238284306204,16.29043388277351,2,64,64,0.0
10485760,0.01857675053179264,-6.771567344665527,-6.79014409519732,0.9549197554588318,-62.14421844482422,4.542181201279163,-0.0057877366089087445,-0.04682832211256027,62.02037698030472,0.014224669997929595,0.20738601684570312,0.177978515625,0.012976441532373428,0.9549197554588318,7.335895538330078,6.5841264724731445,0.0004885733956275758,0.0016506313995350874,-0.06798730348987375,16.29043388277351,2,64,64,0.0
11010048,0.020678279921412468,-5.882144927978516,-5.902823207899928,0.2689548134803772,-62.05643081665039,4.694573424756527,-0.006121046653788653,-0.04668440669775009,61.914859890937805,0.016304708595271222,0.22438430786132812,0.204345703125,0.012362726964056492,0.2689548134803772,7.523767471313477,3.8319284915924072,0.0004878549053398882,0.001648204000418124,-0.06841222413668546,16.29043388277351,2,64,64,0.0
11534336,0.019593538716435432,-5.183535575866699,-5.203129114583135,-0.09110613167285919,-61.92512512207031,4.777764149010181,-0.006684749747364549,-0.04658591002225876,61.777727484703064,0.016908050456549972,0.2192535400390625,0.24560546875,0.016772329807281494,-0.09110613167285919,7.730393409729004,5.451967239379883,0.0004871364150522006,0.0016457766013011606,-0.06883714478349717,16.29043388277351,2,64,64,0.0
12058624,0.023988720029592514,-5.745265007019043,-5.7692537270486355,0.41302889585494995,-61.70109939575195,4.80903947353363,-0.005829435482155532,-0.046414814889431,61.56445360183716,0.017278445506235585,0.23090744018554688,0.218505859375,0.01819775439798832,0.41302889585494995,7.807897090911865,12.156535148620605,0.000486417924764513,0.0016433492021841972,-0.06926206543030888,16.29043388277351,2,64,64,0.0
12582912,0.02442212402820587,-3.9460201263427734,-3.9704422503709793,-0.6029266119003296,-61.563140869140625,4.856890343129635,-0.005196255046030274,-0.0462041050195694,61.424129366874695,0.016618615947663784,0.2282257080078125,0.29443359375,0.020390018820762634,-0.6029266119003296,7.912264347076416,4.292316913604736,0.0004856994344768254,0.0016409218030672339,-0.0696869860771206,16.29043388277351,2,64,64,0.0
13107200,0.03355817496776581,-4.49696159362793,-4.5305197685956955,-0.3048135042190552,-61.32683563232422,4.927498824894428,-0.004709486849606037,-0.04621989279985428,61.18031579256058,0.016266808263026178,0.22663116455078125,0.2431640625,0.016037678346037865,-0.3048135042190552,8.137439727783203,2.8898236751556396,0.0004849809441891378,0.0016384944039502705,-0.0701119067239323,16.29043388277351,2,64,64,0.0
13631488,-0.0954791009426117,-4.441680908203125,-4.346201807260513,-2.041532039642334,-61.341773986816406,5.0003786608576775,-0.003969823843362974,-0.04612994194030762,61.23251014947891,0.016143181535881013,0.22147369384765625,0.271240234375,0.022555086761713028,-2.041532039642334,8.385896682739258,4.472831726074219,0.0004842624539014502,0.001636067004833307,-0.07053682737074402,16.29043388277351,2,64,64,0.0
