collected_frames,observations/heightmap_mean,observations/heightmap_std,observations/heightmap_min,observations/heightmap_max,observations/roll_mean,observations/roll_std,observations/roll_min,observations/roll_max,observations/pitch_mean,observations/pitch_std,observations/pitch_min,observations/pitch_max,observations/lin_vel_x_mean,observations/lin_vel_x_std,observations/lin_vel_x_min,observations/lin_vel_x_max,observations/lin_vel_y_mean,observations/lin_vel_y_std,observations/lin_vel_y_min,observations/lin_vel_y_max,observations/lin_vel_z_mean,observations/lin_vel_z_std,observations/lin_vel_z_min,observations/lin_vel_z_max,observations/ang_vel_x_mean,observations/ang_vel_x_std,observations/ang_vel_x_min,observations/ang_vel_x_max,observations/ang_vel_y_mean,observations/ang_vel_y_std,observations/ang_vel_y_min,observations/ang_vel_y_max,observations/ang_vel_z_mean,observations/ang_vel_z_std,observations/ang_vel_z_min,observations/ang_vel_z_max,observations/flipper_fl_mean,observations/flipper_fl_std,observations/flipper_fl_min,observations/flipper_fl_max,observations/flipper_fr_mean,observations/flipper_fr_std,observations/flipper_fr_min,observations/flipper_fr_max,observations/flipper_rl_mean,observations/flipper_rl_std,observations/flipper_rl_min,observations/flipper_rl_max,observations/flipper_rr_mean,observations/flipper_rr_std,observations/flipper_rr_min,observations/flipper_rr_max,observations/goal_x_mean,observations/goal_x_std,observations/goal_x_min,observations/goal_x_max,observations/goal_y_mean,observations/goal_y_std,observations/goal_y_min,observations/goal_y_max,observations/goal_z_mean,observations/goal_z_std,observations/goal_z_min,observations/goal_z_max
4718592,-0.015104207443073392,1.0429017543792725,-16.006409168243408,5.905602216720581,0.0018857561517506838,0.9708751440048218,-10.144187927246094,11.813454627990723,-0.21873534098267555,1.0621904730796814,-3.8348699808120728,3.77067494392395,0.0439177630469203,0.9382633864879608,-3.3347666263580322,4.204559564590454,0.0013847742229700089,0.9595626592636108,-5.710996866226196,6.552091360092163,-0.0025151712470687926,0.9043533504009247,-8.5646390914917,4.646278142929077,-0.005604309029877186,0.867218017578125,-10.18828821182251,9.413185119628906,0.010100628482177854,0.8690250515937805,-11.972610473632812,9.530434608459473,0.0004426817176863551,1.00641667842865,-6.954071760177612,6.719822406768799,-0.02799499500542879,0.20395547151565552,-2.147664487361908,1.0859502255916595,-0.00504824637027923,0.23121298849582672,-2.403012216091156,1.2543592751026154,-0.033520122058689594,0.18087269365787506,-0.5378468036651611,1.9043655395507812,-0.06532579101622105,0.17490919679403305,-0.6355223506689072,1.8822211027145386,-0.13304315693676472,0.9802606105804443,-5.099005699157715,1.9484281539916992,0.011986854486167431,1.2670677304267883,-6.816026926040649,7.634678602218628,-0.05401727370917797,1.0692992806434631,-4.344950914382935,4.36238169670105
8912896,-0.008421035774517804,1.01940256357193,-16.45029067993164,6.056689739227295,-0.007990081678144634,0.8737936913967133,-14.121839046478271,14.321822166442871,-0.13306942768394947,1.0120010077953339,-3.025133967399597,5.186562776565552,0.07159554120153189,1.016503930091858,-3.2247209548950195,4.958140969276428,-0.0028074403817299753,0.9698178470134735,-6.229503154754639,6.5341150760650635,-0.009827104164287448,0.9288771748542786,-7.764281272888184,5.149986267089844,-0.016890266444534063,0.9049117267131805,-8.901755809783936,11.330072402954102,-0.002791915205307305,0.9105223119258881,-11.613398551940918,11.137305736541748,0.006884432630613446,1.01177579164505,-9.633609056472778,7.506048679351807,-0.024684023344889283,0.2781236544251442,-1.9773834943771362,1.620980978012085,-0.032437932677567005,0.2795769274234772,-2.496033549308777,1.3834248483181,-0.05741467513144016,0.3356367349624634,-1.3254377245903015,1.957557201385498,-0.047330282628536224,0.2998000755906105,-1.0182424187660217,2.0284863114356995,-0.06490849424153566,0.9840273559093475,-4.287390947341919,1.8664467334747314,-0.013189696241170168,1.1847742199897766,-7.00693154335022,6.640017747879028,-0.05003976123407483,1.0465978384017944,-3.939585328102112,4.1658467054367065
13107200,-0.003325141267850995,1.0121766328811646,-14.388449668884277,6.233243465423584,-0.009430872742086649,0.8859719634056091,-10.289973735809326,8.228042602539062,-0.11764358170330524,0.9896809458732605,-2.8051425218582153,3.5076085329055786,0.044365270994603634,1.015632450580597,-3.127840995788574,3.8186988830566406,-0.003289017593488097,0.9695985019207001,-6.591390371322632,6.9118332862854,-0.011060146614909172,0.9415741264820099,-7.70384669303894,5.372807264328003,-0.009333959547802806,0.9215365052223206,-10.121905326843262,11.10624885559082,0.0035884148674085736,0.9194281101226807,-11.80967664718628,10.578203678131104,0.0010310402140021324,1.0016284584999084,-8.0354585647583,8.298078536987305,-0.057390945963561535,0.3765973448753357,-2.0611452460289,1.83454430103302,-0.026545501314103603,0.3775060474872589,-2.3159719705581665,1.6438007950782776,-0.03829591767862439,0.6654687821865082,-1.8611689805984497,2.306597113609314,-0.048970554023981094,0.5594440996646881,-1.4703325033187866,1.6683228015899658,-0.043676911387592554,0.9840977489948273,-4.115129709243774,1.8564096689224243,-0.049314930103719234,1.0799884796142578,-8.347444534301758,7.240436553955078,-0.028550090733915567,1.0170883536338806,-3.9821765422821045,4.338891267776489
17301504,0.012111370684579015,1.0087453722953796,-14.96402645111084,5.97205376625061,-0.004061103507410735,0.893485814332962,-10.203400611877441,10.841978073120117,-0.0654852157458663,0.9919359385967255,-2.857735276222229,3.9225233793258667,0.03506132331676781,1.0189273357391357,-3.0457693338394165,3.6530673503875732,-0.0003928295918740332,0.9760548174381256,-6.0441813468933105,6.635402202606201,-0.029492858331650496,0.9406799674034119,-8.059624195098877,5.855172157287598,-0.011256020050495863,0.934076189994812,-13.0711088180542,10.44967269897461,-0.032680653501302004,0.9367452561855316,-10.627838134765625,9.659374237060547,0.0016444087377749383,1.0002882778644562,-6.605498313903809,6.540004253387451,-0.04374588280916214,0.48320725560188293,-2.391236424446106,1.8987058997154236,-0.027640351094305515,0.49817365407943726,-2.05927312374115,1.8588867783546448,-0.040393432369455695,0.7821455299854279,-2.376238226890564,2.8588467836380005,-0.04235502891242504,0.7442968785762787,-2.1728590726852417,2.3825315833091736,-0.02881243685260415,0.9890917539596558,-4.009530544281006,1.8093668222427368,-0.03973736288025975,1.0152826607227325,-9.429816722869873,7.544734716415405,-0.005973693390842527,1.0130712985992432,-3.945302724838257,4.3436150550842285
21495808,0.013408149592578411,1.0068442225456238,-14.693281650543213,6.025905609130859,0.001487694782554172,0.9218656420707703,-9.36277437210083,12.338212013244629,-0.05271714087575674,0.9909620583057404,-3.064621686935425,4.187354803085327,0.035443512722849846,1.016816794872284,-2.57288134098053,3.6203863620758057,-0.0015156529261730611,0.9772127568721771,-6.564738750457764,6.0477964878082275,-0.02895995508879423,0.9483679831027985,-8.619033575057983,5.25711464881897,-0.008569142897613347,0.93954798579216,-9.585979461669922,10.119205951690674,-0.028958461247384548,0.9565739035606384,-10.14898681640625,10.474682331085205,0.004590780474245548,0.9997774660587311,-7.850465297698975,8.395976066589355,-0.05189911648631096,0.614804744720459,-2.0288224816322327,2.5313645601272583,-0.039524019695818424,0.5932856798171997,-2.003674566745758,2.4590651988983154,-0.04139501275494695,0.8670433759689331,-2.5765141248703003,2.794211983680725,-0.019272690173238516,0.8611371517181396,-2.6842141151428223,2.6687434911727905,-0.024302560137584805,0.9918209612369537,-3.833024263381958,1.786808967590332,-0.06501418957486749,1.0307036638259888,-9.811790466308594,8.763099431991577,-0.0006752617191523314,1.0163089036941528,-3.9741640090942383,4.377103090286255
25690112,0.017459645168855786,1.0037315487861633,-15.352296352386475,5.987743139266968,0.01392284082248807,0.9456626772880554,-6.529254674911499,12.10304594039917,-0.03291950258426368,0.9799869060516357,-3.1520880460739136,4.24187707901001,0.053392617497593164,1.0109700560569763,-3.5976974964141846,3.5623419284820557,-0.0004240926828060765,0.9807605743408203,-7.412287950515747,6.767317056655884,-0.023808722384274006,0.9566373825073242,-7.9364564418792725,5.511061906814575,-0.0034242479014210403,0.9451009929180145,-9.139642715454102,9.748403072357178,-0.023739006835967302,0.9785964787006378,-8.779035091400146,10.364785194396973,0.001720686792396009,0.9955044686794281,-7.307706117630005,7.742732524871826,-0.048684596084058285,0.646775871515274,-2.040045201778412,2.570997714996338,-0.034454296343028545,0.641729861497879,-2.3219438791275024,3.1136534214019775,-0.00559239910217002,0.9271489381790161,-2.759481191635132,2.9796050786972046,-0.009950363310053945,0.9146614372730255,-2.898960590362549,3.065703511238098,-0.020012039225548506,0.9998718798160553,-3.6696293354034424,1.7406372427940369,-0.034112093737348914,0.9414607882499695,-8.25591492652893,9.510541439056396,0.0037704360438510776,1.0062891840934753,-4.017253518104553,4.531278848648071
29884416,0.013980542542412877,1.0018672347068787,-14.774033546447754,6.401030778884888,0.008468389511108398,0.9535090029239655,-10.965514659881592,8.367866516113281,-0.03577726986259222,0.97195765376091,-3.2459161281585693,4.658488750457764,0.07020357716828585,1.0016485750675201,-2.6445324420928955,3.9736486673355103,-0.0004463857621885836,0.9828176498413086,-7.8432536125183105,6.116751432418823,-0.014485593885183334,0.9671644866466522,-8.52261734008789,6.127481460571289,-0.006295824656262994,0.9569309949874878,-9.544734477996826,11.698861122131348,-0.016973583726212382,0.9876014292240143,-9.345276355743408,9.88161325454712,0.0010801851167343557,0.995583564043045,-8.715162515640259,10.221114158630371,-0.07070254627615213,0.7013059556484222,-2.1609286069869995,3.0915493965148926,-0.0693720243871212,0.6671030223369598,-2.4653000831604004,3.394142270088196,-0.008823830168694258,0.9003556072711945,-3.138409972190857,3.0786046981811523,0.003557148389518261,0.956267237663269,-3.0594085454940796,3.0480772256851196,-0.023444454884156585,1.0045901536941528,-3.5861469507217407,1.7192195653915405,-0.008053110213950276,0.9787271618843079,-9.320121765136719,7.941461086273193,-0.005575964460149407,1.0042062997817993,-3.980078339576721,4.6305108070373535
34078720,0.016882963245734572,1.0022896528244019,-17.449183464050293,6.3301732540130615,0.006451457506045699,0.9447420537471771,-11.552786350250244,11.219586372375488,-0.02580622909590602,0.9743724465370178,-3.22422194480896,6.287249803543091,0.06871512345969677,0.9967398345470428,-2.9687668085098267,4.258116602897644,-0.003268497996032238,0.9830783009529114,-9.183992624282837,7.7314581871032715,-0.011371134663932025,0.9654259085655212,-7.511566162109375,6.337100505828857,-0.0028928208048455417,0.9542512893676758,-9.636568069458008,10.787206172943115,-0.013966784114018083,0.9855538308620453,-9.10016679763794,11.24416446685791,-0.00031705660512670875,0.9977169930934906,-8.10204029083252,7.324641466140747,-0.0836957897990942,0.7297368943691254,-2.1158663630485535,3.806330680847168,-0.049773287028074265,0.7092629671096802,-2.617519497871399,3.53238844871521,-0.02188228629529476,0.9191866815090179,-3.1449975967407227,2.9393950700759888,0.009337281924672425,0.9525035619735718,-3.248495936393738,2.821113109588623,-0.018591344356536865,1.0053633153438568,-3.534563660621643,1.7193132638931274,-0.014390484895557165,0.9571768045425415,-10.54307746887207,9.892349243164062,0.004381105944048613,1.00547856092453,-3.950833320617676,4.514086484909058
38273024,0.01475075667258352,0.9973912239074707,-17.504741668701172,6.2313714027404785,-0.005268287262879312,0.9474948048591614,-9.411257028579712,8.247083187103271,-0.02179708145558834,0.9672797620296478,-3.1849321126937866,7.263760566711426,0.07020372245460749,0.9937083423137665,-4.690452218055725,5.081938982009888,0.0034243143745698035,0.9883800148963928,-7.0269083976745605,7.08352518081665,-0.003621558178565465,0.9800285398960114,-7.644162893295288,6.997292518615723,-0.008802959229797125,0.9674144089221954,-9.497471809387207,11.166293144226074,-0.018449041061103344,0.9957947134971619,-9.302138328552246,10.96143913269043,-0.003235436393879354,0.9972976446151733,-8.879257202148438,9.273499965667725,-0.07711034640669823,0.7674565315246582,-2.5388166904449463,3.8407750129699707,-0.05310111679136753,0.7703025341033936,-2.4126369953155518,3.7823766469955444,0.008680555474711582,0.9510785639286041,-3.254020571708679,3.152208924293518,0.014914308674633503,0.9763253629207611,-3.264025092124939,2.7798104286193848,-0.015152237843722105,1.0087267756462097,-3.5004042387008667,1.7029169797897339,-0.018990546464920044,0.9567642509937286,-9.69999885559082,6.524433374404907,0.0002879647072404623,0.9992047846317291,-4.0208979845047,4.662779331207275
42467328,0.016113631427288055,0.9988531470298767,-16.379624366760254,6.531018257141113,-0.00855277560185641,0.960647851228714,-12.177232265472412,10.461324214935303,-0.019848969765007496,0.9778798818588257,-3.342548131942749,5.627944469451904,0.06847637426108122,0.9928621649742126,-3.412398099899292,3.82735538482666,-0.00013748352648690343,0.9832998812198639,-7.382767677307129,7.045509338378906,-0.0110953189432621,0.9785102605819702,-7.627095937728882,6.554753303527832,0.0008139097772073001,0.9638814032077789,-11.926331520080566,11.054708003997803,-0.02123772236518562,0.9951393306255341,-9.356204509735107,9.4803786277771,-0.0003140202315989882,0.9960890412330627,-8.70251989364624,9.242309093475342,-0.08547618240118027,0.8028955161571503,-2.3492035269737244,4.232322096824646,-0.08697856217622757,0.7673236727714539,-2.5100555419921875,4.233498454093933,0.015964748163241893,0.9476811587810516,-3.0919939279556274,3.0438897609710693,0.01720337220467627,0.9646251499652863,-3.3151248693466187,3.1438485383987427,-0.011785168200731277,1.0036410093307495,-3.5635643005371094,1.6990639567375183,-0.018265284597873688,0.9728516340255737,-10.100002765655518,11.334787845611572,0.005699314031517133,0.9991166889667511,-4.018517732620239,4.653139591217041
