collected_frames,state/lin_velocity,state/lin_velocity_max,state/lin_velocity_min,state/ang_velocity,state/ang_velocity_max,state/ang_velocity_min,state/heading_err_deg,state/heading_err_deg_max,state/heading_err_deg_min,state/yaw_rate,state/yaw_rate_max,state/yaw_rate_min,state/roll,state/roll_max,state/roll_min,state/pitch,state/pitch_max,state/pitch_min,state/success_lin_velocity,state/lin_vel_mean,state/lin_vel_max,state/lin_vel_min,state/ang_vel_mean,state/ang_vel_max,state/ang_vel_min,state/roll_rate_mean,state/pitch_rate_mean,state/yaw_rate_mean,state/vel_fwd_mean,state/vel_lat_abs_mean,state/v_toward_mean,state/approach_frac,state/heading_err_deg_mean,state/roll_deg_mean,state/roll_deg_max,state/roll_deg_min,state/pitch_deg_mean,state/pitch_deg_max,state/pitch_deg_min,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/clearance_max,state/pct_healthy
524288,0.3282018788449932,1.04191072616959,0.008505260317235752,0.3074191296909703,2.8392238794476725,0.008224744859376187,0.2289906158548547,32.979276117519476,-15.080351295444416,-0.00045209601833562374,0.6010284724179655,-0.49119522600085475,-0.00047387902741746757,0.3548181727701376,-0.37432170637362105,0.0460545860018442,0.3399632560556256,-0.5074003297875151,0.0,0.3285815578128677,1.2809136272990145,0.008505260317235752,0.30799757309432607,3.027037097432185,0.008224744859376187,0.16106286673311843,0.209887068340322,0.03663758446054999,-0.0026005317890849255,0.03599782187666278,-0.002145002065162771,-0.007096614272473545,1.7857636427943362,1.203598574782518,35.6304337822512,5.4207567175404425e-05,3.463707580413029,41.283341887567076,0.00016101291731933365,6.764944897964597,0.026322274342078344,-0.028691107174381614,0.8724823943921365,1.0
1048576,0.3241867198375985,0.9033203858416528,0.007707085344932807,0.3043999493966112,2.301452032988891,0.00787860269099383,0.25741969888622407,30.132325375452638,-24.66836890950799,-0.00043974931234913583,0.585580863931682,-0.4825315582274925,0.00017772269797511342,0.3664780015242286,-0.3635305636562407,0.04817570487557532,0.41762502992060035,-0.32435836931108497,0.0,0.32429300737567246,0.9784525485010818,0.007707085344932807,0.30457717915123794,2.3753602106589824,0.00787860269099383,0.15922211282304488,0.20779091915028403,0.036432481996598653,0.03379593199952069,0.035324333348398795,0.0338545897673157,0.06944018466452917,1.932275522267446,1.1694438791600987,26.400375409051776,5.446015343409105e-05,3.5533095352584496,30.188245430588722,0.00014317680434434293,6.354582483880222,0.026016234115104453,-0.033170279406476766,0.44240372636704706,1.0
1572864,0.31718369282316417,0.8886175666702911,0.007153324343249778,0.3131223830714589,2.1442813461180776,0.007847779876811956,0.34311020461609587,22.377663355320692,-21.524575470015407,-0.00041803876564472375,0.610878069215687,-0.5226282453513704,0.00010638745928304161,0.40721315224072896,-0.39614283660193905,0.04971418665991223,0.5012547580408864,-0.2824592412362108,0.0002014076744671911,0.3171982788480818,0.8987142510013655,0.007153324343249778,0.31314596433367115,2.15571432816796,0.007847779876811956,0.1679501916078152,0.2107224329811288,0.03767406026599929,0.05828364225817495,0.03663200598566618,0.05821266455677687,0.12478977248611045,2.071806315390859,1.3697166700439993,25.5163731276989,5.914599821665867e-05,3.841056234901771,29.56429085507989,0.00015564926454300632,5.826411617919803,0.02880367421403207,-0.05314529192401096,0.25343458048882894,1.0
2097152,0.3073063481715508,0.8945818718057126,0.006559783825011323,0.32238985144067556,2.134707115124911,0.00832770823615192,0.29429271003755275,29.016245616599917,-23.25536275282502,-0.0004632687280547998,0.603673288889695,-0.5237632168864366,8.197084076755345e-05,0.43603173914016224,-0.42021580672007985,0.04967572776513407,0.5026173439691775,-0.287137995386729,0.0,0.3073118317988701,0.8985157498391345,0.006559783825011323,0.32240135717438534,2.140125438105315,0.00832770823615192,0.17606055687065236,0.21498957098810934,0.038895614321518224,0.07201192203137907,0.03757438323373208,0.0719121766214812,0.15919681119521556,1.9516285311547108,1.6131694625946693,27.2951124496758,6.678921991418174e-05,4.195940875099041,29.097647916525602,0.0001860922837502721,5.47918697539717,0.032361009048145206,-0.06428919092286378,0.2383246363606304,1.0
2621440,0.30210634029936045,0.8934286246076226,0.005390482754137338,0.3259891446796246,2.135814449749887,0.007472864841304272,0.3065568536403589,30.00032404065132,-24.909332162700593,-0.00040858698713464037,0.6156639167456888,-0.5320189433987252,0.001488067110301472,0.45245481439633295,-0.43011561429011635,0.04392271356846322,0.5453497223206796,-0.3222912248747889,0.0011400327202863991,0.3021077594021335,0.8934561891946942,0.005390482754137338,0.3259940089774318,2.136878535617143,0.007472864841304272,0.17941354334470816,0.21643958380445838,0.04033847180835437,0.0853889507943677,0.03777933132914768,0.08522046511825465,0.19237868389609503,1.9974105063593015,1.8236945389653556,27.400163684040308,6.563535040055024e-05,4.393254468101077,31.246237814426422,0.00016829517395450244,5.318759020417929,0.034476661689041066,-0.0657430071150884,0.24143855954753235,1.0
3145728,0.2929424217727501,0.9028601951431483,0.004714820183274071,0.33097574982093647,2.171132791088894,0.007069259931547833,0.20171711353759747,43.15222846157849,-35.72509380057454,-0.00029862581101269825,0.6374479754595086,-0.547384331934154,0.000626381695414846,0.4943305423948914,-0.539413302554749,0.0375144048821312,0.5450153491692618,-0.3592727048380766,0.025063632798264734,0.2929440684092697,0.9031034435611218,0.004714820183274071,0.33098324382444844,2.172556218225509,0.007069259931547833,0.18546618321852293,0.21719167681294493,0.04181098433036823,0.0899847713226336,0.03837064178151195,0.08967505640612217,0.21018377831205726,2.166420888272114,2.22471021063393,32.984415512531996,6.575347670186721e-05,4.662736257072538,31.22707962989807,0.00016681909163477476,5.072822470217943,0.03786016615231347,-0.07416067802114412,0.25644621934043244,1.0
3670016,0.2826325026107952,0.9102164506912231,0.0036446920175521313,0.3352058688760735,2.182772119762376,0.006555497252684006,0.4111611544212792,58.0659808460623,-38.9886677544564,-0.00031406253893351277,0.6467533735558391,-0.5500729918130673,0.0006070233646937595,0.5194411011179909,-0.5342671747785062,0.032179451166484796,0.5437970408820547,-0.4093126753286924,0.05897833957351395,0.2826361518818885,0.9115190915763378,0.0036446920175521313,0.3352163727977313,2.1849920926615596,0.006555497252684006,0.1900937622122001,0.21840306627564132,0.04309861344881938,0.09222529712860705,0.03886608183893259,0.09148445036407793,0.22306313557783142,2.4755846329499036,2.534093510126695,33.07611523196101,6.461390555858454e-05,5.100423466647044,31.313904736191034,0.0001359087334761866,4.8160517597571015,0.04106398154181079,-0.07770276867086068,0.2899286813335493,1.0
4194304,0.28898740155273117,0.9233590418007225,0.0036818859119236436,0.3354966327897273,2.1889838327188045,0.0060648547320028,0.4200634144654032,67.32229566760361,-54.670594124123454,-0.0003623608993450489,0.6643399740569293,-0.5775956140714698,0.002070432325751881,0.5571090828161687,-0.5748394506517798,0.030209748238121392,0.5318325280095451,-0.3986775865778327,0.09421125344670145,0.28899698742316104,0.9270038136746734,0.0036818859119236436,0.33551524218637496,2.1934146501589566,0.0060648547320028,0.1902009895129595,0.21845063552609645,0.04356668500622618,0.11358485682285391,0.03891764708168921,0.11245093629258918,0.266086645598989,2.454950419953093,2.49690627574455,35.38917226716876,5.662566573364641e-05,5.049485509283841,30.627359602600336,0.0001291445875975794,4.881240691058338,0.040771950567432214,-0.07827201881445944,0.2797643286467064,1.0
4718592,0.21085642455766598,0.8632206313312054,0.016502501379425973,0.16168876963978013,1.7520575360457102,0.0018221288338039208,0.46160088329420734,94.93159043670943,-102.10773353433859,-0.0019355716883940961,0.5008575700658062,-0.5171352529712021,0.0022053618929127575,0.562824540726045,-0.574827584313607,-0.07943066199665433,0.4246331829746972,-0.4729024932298004,0.18925156831741333,0.2870533283276018,0.9358126280130818,0.003658826244510749,0.3341477412323002,2.2203933137934655,0.006890968384482221,0.1890157928719418,0.21812562545528635,0.04365174919075798,0.12280175214982592,0.038338542202836834,0.12141358507506084,0.28913392577669583,2.6110361221944913,2.7160692926263437,36.88976352289319,6.530144783911673e-05,5.306181227788329,31.54959435760975,0.0001597743526847717,4.771199521608651,0.04195111766603077,-0.0763432786334306,0.29329185374081135,1.0
5242880,0.2818897129036486,0.944727516034618,0.0029385187309003413,0.33232092089019716,2.178732168395072,0.006160901875887248,0.35821233472961467,125.20621868836581,-109.32507113367319,-0.0003775602670259559,0.6194791698819636,-0.5950896093854681,-0.000272888172560215,0.6558630687650293,-0.6968048202688806,0.011874263782260641,0.5943565608467907,-0.4791965299518779,0.18341676933778217,0.2321343764610519,0.8884602205427451,0.012445983204165968,0.21273772862835605,1.8824028901964704,0.0031197058183522054,0.12086906788161321,0.12229240699627689,0.049237918264828796,0.16730180810092488,0.02610245398947508,0.1631577030873083,0.47175057499591155,4.164873594596599,1.8374743182690831,37.44026054791392,3.733644358176876e-05,7.3786876309030935,29.52759842298246,0.004858775097282534,4.4822228541162525,0.03546887272391912,-0.07417461900997942,0.252622406825284,1.0
