collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min
524288,970.344091296196,1000.0,12.504932524636388,970.4170478582382,1000.0,14.059057828970253,970.0363074541092,1000.0,13.701896386686713,970.2118675708771,1000.0,15.3950871755369
1048576,970.2641506195068,1000.0,14.98322889721021,969.9065091609955,1000.0,13.162085662595928,970.2084518671036,1000.0,14.290417537558824,970.0622301101685,1000.0,14.951355311786756
1572864,970.2867609262466,1000.0,14.825294153997675,970.3729585409164,1000.0,14.04108815966174,970.1750494241714,1000.0,14.9051219583489,969.9936326742172,1000.0,15.217800305224955
2097152,970.2977035045624,1000.0,14.059153747744858,969.6477568149567,1000.0,14.499731621239334,970.124277472496,1000.0,14.095126460306346,969.8740742206573,1000.0,14.332244959659874
2621440,970.4063025712967,1000.0,15.018477935809642,970.4276444911957,1000.0,14.227516467683017,970.4274530410767,1000.0,13.558653487358242,970.2935098409653,1000.0,14.304395029321313
3145728,970.244964838028,1000.0,15.518072693608701,970.4382095336914,1000.0,14.806886612437665,969.9994388818741,1000.0,13.142153133172542,970.2362468242645,1000.0,13.52962716948241
3670016,970.4449920654297,1000.0,14.31804361473769,969.955868601799,1000.0,14.712045575957745,970.1610898971558,1000.0,13.609136172570288,970.6079006195068,1000.0,13.651287308195606
4194304,970.0326414108276,1000.0,13.268935363506898,969.8013558387756,1000.0,12.901353918015957,970.0811166763306,1000.0,13.331482571549714,970.1813507080078,1000.0,14.103622827213258
4718592,298.2238191095988,999.4654466756185,3.619045549488316,269.2402641423543,997.4466962178549,3.262619414317111,288.8569759368896,999.6068441263835,2.185928940412899,275.63338350931804,997.6622933959961,1.7469732889408867
5242880,968.9270188808441,1000.0,13.775148005457595,968.7990044355392,1000.0,12.8662120080553,968.9796204566956,1000.0,14.011130269616842,968.8167499303818,1000.0,13.517774631851353
5767168,968.5941436290741,1000.0,12.906410977244377,968.401458978653,1000.0,14.394402163568884,968.8532800674438,1000.0,12.9310189645621,968.1339421272278,1000.0,12.699964913306758
6291456,968.0911930799484,1000.0,12.337275496451184,967.7821671962738,1000.0,14.175987673457712,968.403725028038,1000.0,14.164723390247673,967.9052582979202,1000.0,13.801797050517052
6815744,967.8889169692993,1000.0,12.447093475842848,967.7742328643799,1000.0,13.432168200029992,968.1330063343048,1000.0,12.21499990252778,967.7081038951874,1000.0,13.01600933726877
7340032,967.6073960065842,1000.0,12.853751126676798,967.6201909780502,1000.0,13.049846295267344,968.2972081899643,1000.0,13.375303405802697,967.9855890274048,1000.0,13.11483142306679
7864320,967.5266538858414,1000.0,12.952033360954374,967.762370467186,1000.0,12.828243864467368,968.3659410476685,1000.0,12.722020799759775,967.3317581415176,1000.0,12.324875853373669
8388608,967.4398124217987,1000.0,11.861159561667591,967.418560385704,1000.0,12.931231156457216,967.958906173706,1000.0,13.18418001732789,967.5360660552979,1000.0,13.640493313781917
8912896,341.4332987721761,1000.0,2.3662071580563984,364.6447308603922,1000.0,3.2687041600917777,337.60165868123374,1000.0,2.2680437402892855,325.6510090510051,999.9739456685384,2.1972417641431092
9437184,968.1440006494522,1000.0,13.082029749173671,968.0049860477448,1000.0,12.260784222744405,968.9284564256668,1000.0,12.842246990534477,968.3226174116135,1000.0,12.975251230411232
9961472,968.0234249830246,1000.0,12.261834516189992,967.5531301498413,1000.0,12.76923726964742,968.3346037864685,1000.0,12.440979634877294,967.9978311061859,1000.0,12.906897452892736
10485760,967.6649196147919,1000.0,12.597374324453995,967.3304064273834,1000.0,12.004530730191618,968.0819957256317,1000.0,12.939633044879884,967.644504904747,1000.0,12.314285945147276
11010048,967.5165486335754,1000.0,11.998967292835005,967.9890755414963,1000.0,12.515355996321887,967.8011221885681,1000.0,13.259656286798418,967.6190392971039,1000.0,12.54719336843118
11534336,967.518328666687,1000.0,12.795212767319754,967.329336643219,1000.0,12.829475925769657,967.2841793298721,1000.0,12.962659291923046,967.5025067329407,1000.0,13.12970599415712
12058624,967.6545689105988,1000.0,11.828892238205299,967.5390486717224,1000.0,12.775324851099867,967.8233238458633,1000.0,12.874347825767472,967.7642794847488,1000.0,11.654076108359732
12582912,967.9307472705841,1000.0,12.792225311510265,967.8136085271835,1000.0,12.673794841452036,967.8300005197525,1000.0,12.553585592191666,968.1575099229813,1000.0,12.666903602425009
13107200,389.69490979512534,1000.0,2.479094973473499,481.3168593851725,1000.0,2.7420961400618156,477.48041493733723,1000.0,0.7991163710132241,512.2946428426108,1000.0,1.4517850626384217
13631488,968.1046698093414,1000.0,12.248482311610132,968.1494390964508,1000.0,12.544428503606468,967.8785848617554,1000.0,11.949940270744264,968.691467165947,1000.0,13.782213570084423
14155776,968.2398912906647,1000.0,13.67939429183025,967.8579648733139,1000.0,11.913417692994699,967.7452030181885,1000.0,12.248004575492814,968.2423161268234,1000.0,12.018647875636816
14680064,968.0620853900909,1000.0,13.805702383164316,967.3958516120911,1000.0,12.573991132434458,967.4638208150864,1000.0,12.664770414121449,967.7726943492889,1000.0,12.210598598932847
15204352,968.1185895204544,1000.0,11.962873962591402,967.7586838006973,1000.0,13.398506243247539,967.0160082578659,1000.0,11.239051097072661,968.0284543037415,1000.0,12.600580679019913
15728640,967.8732932806015,1000.0,13.363811186514795,967.6676695346832,1000.0,12.45538157504052,967.5031793117523,1000.0,13.88604823872447,968.0428528785706,1000.0,12.59719021921046
16252928,968.079896569252,1000.0,12.987331884447485,967.9084557294846,1000.0,12.728723841253668,967.4439924955368,1000.0,12.469548174645752,968.0334199666977,1000.0,12.95441479771398
16777216,967.9517179727554,1000.0,12.363446620292962,968.2748732566833,1000.0,12.785800925921649,967.1068505048752,1000.0,11.8716224078089,968.1139496564865,1000.0,13.914468394126743
17301504,447.3485761515299,1000.0,3.7774540639792877,531.4792393493652,1000.0,2.7620012534285587,593.358766784668,1000.0,1.0690615357458593,598.6573482513428,1000.0,1.1055806584656238
17825792,968.6081336736679,1000.0,13.461598758585751,968.3495635986328,1000.0,12.496237180777825,967.4494831562042,1000.0,12.545236759120598,968.4719439744949,1000.0,12.673433443764225
18350080,968.115719795227,1000.0,12.668589597102255,967.7631148099899,1000.0,12.489869183395058,967.1434777975082,1000.0,12.582842713221908,967.7067445516586,1000.0,13.331873972783796
18874368,968.2725102901459,1000.0,12.446338636102155,968.0057815313339,1000.0,13.771586153947283,967.2168046236038,1000.0,12.050111051881686,968.2069586515427,1000.0,12.219350154977292
19398656,968.345752120018,1000.0,13.309997617267072,968.1044648885727,1000.0,12.086761916521937,967.0459998846054,1000.0,11.659533630823717,967.7725667953491,1000.0,13.010881297523156
19922944,968.5608727931976,1000.0,12.94450477056671,967.854859828949,1000.0,12.83385176048614,967.199604511261,1000.0,11.420936552109197,968.3702453374863,1000.0,13.029879744164646
20447232,968.2534177303314,1000.0,12.485700792632997,967.6478178501129,1000.0,12.118436932563782,966.7927143573761,1000.0,12.07528713485226,968.2639206647873,1000.0,12.386819202452898
20971520,968.221352815628,1000.0,13.477703778306022,968.0612992048264,1000.0,13.049940931145102,966.6967536211014,1000.0,13.163830168545246,968.4630182981491,1000.0,13.39082714705728
