collected_frames,grad_contrib/shaping,grad_contrib/joint_ang_from_flat_penalty,grad_contrib/joint_angle_var_penalty,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/clearance,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
131072,-0.05236356662671083,-0.06629757932090186,-0.08119095810637773,-0.09827948570087282,-0.08415869502577873,-0.12820058466384324,-0.05668906488130308,0.303370568531311,-0.01839072184061969,-0.0732220182581618,-0.008059086738001842,-0.02977767030611742
262144,0.22465689935636923,0.0715214164436142,0.08193046100853504,0.19720248227893405,-0.017282506861978818,0.09302614001048044,0.006090667741512684,-0.1248248555824878,0.019294425146192836,0.14425211385063116,0.010300831962181439,-0.009617199757082296
393216,0.4498943795559372,0.043736762904709396,0.039452310353449094,0.09060200013104042,-0.031060425865556157,0.02105268317807569,0.020923862147285657,-0.06395021392263231,0.006573214668290932,0.21404971789804814,0.017715807125461173,0.00098862224951384
524288,0.3527227800504253,0.015320563347853559,0.01114231083299223,0.022739577622648697,-0.01566268654258557,-0.016918828240012156,0.009940355547092161,-0.03926178949277031,0.005853956765546759,0.4866778687691596,0.012349690297611945,-0.01140959249130175
655360,0.27618333821241003,0.06054094097728171,0.06725537195593902,0.09767829101753388,0.03860805693203546,0.06579480151903692,0.03788559965267407,-0.0167328857815777,0.013566017772043151,0.3130832479778355,-0.010025973703751473,0.0026454744978810984
786432,0.29037101093705786,0.038639396197828337,0.02957153443545112,0.03006656081542435,0.03145314315627548,0.08841030332449927,0.019341660244450103,-0.05073253082755759,0.0112836070288236,0.39020207374803256,-0.01983795147662726,-9.022780797250446e-05
917504,-0.2363130019559762,-0.036911612150590564,-0.002325213009555333,-0.028624693310627964,0.007024162502264247,-0.13821734327808732,-0.011135395317646153,0.0396284276952085,-0.0238543201450555,-0.42917645992048653,-0.017294378555532935,0.029494992158968728
1048576,-0.16500784099238955,-0.05648565242025988,0.06701228194949285,-0.028905659916025995,0.04654322096392653,-0.19035872365102988,0.0043020377038483935,0.03326753937365071,-0.025495469921045427,-0.3327481914660405,-0.025716854340181755,-0.02415652730210853
1179648,-0.013024394713889281,-0.055647604640847274,0.05821627482070611,0.09784605645183772,0.023081144412387407,-0.034340760839638405,0.08900329703780356,0.037244005141225195,-0.022944625667471883,-0.49677753442044803,0.023994614546393265,-0.04787968730735188
1310720,-0.27850692671933575,-0.033741826307062184,-0.009246627217891603,-0.036530074345169236,0.00234248841288274,-0.06534549214646306,0.009784283597690931,0.02265591554634743,-0.012357729838622019,-0.51364785385131,0.015058295032538095,0.000782486984686971
1441792,0.14894900256299748,-0.014713416510234148,0.00265159116362752,-0.021604874382795937,-0.028010112419756244,-0.15637407196696324,0.005625978162771568,0.1446716067544142,-0.013559150089537203,-0.2705759023570178,-0.040031733838814594,0.15323255979107012
1572864,-0.1312677224466795,-0.0824599455930208,0.07057099373682878,-0.029009641266117665,0.016515358823879632,0.38689273095260923,0.03321373178507489,-0.009118207283022614,0.06287761390040023,-0.03148347376536543,4.4319179953703435e-05,-0.14654626126704753
1703936,-0.1433071924620495,-0.01656942943426699,-0.0030352526068375624,-0.044775480807846525,-0.04517526056864559,0.14268513600133237,0.03210910046593832,0.09120415299406585,0.03869122006955107,-0.07592377055326095,-0.04778790540444118,-0.3187360986317641
1835008,-0.03184918698616337,-0.03755651376733421,0.03688766170548258,-0.01765856126761001,-0.10036033475776354,-0.08907406990231949,-0.008645131525890023,-0.04585152546248594,0.009664268560297385,-0.5204391488712614,0.00572445358578629,0.09628914360760572
1966080,-0.34537965266708465,-0.03557379686420441,-0.00029382817102684426,-0.01627606495048158,-0.0009956585365000644,-0.018696092426331534,0.007446629449547179,0.017105114972314255,-0.007085035816299505,-0.532671586222314,0.011564853205452167,0.006911686718443812
2097152,-0.252666521641721,-0.059190819472498546,0.004689966511833314,0.011597953278650791,-0.022902887427396806,-0.17486288255580473,-0.029813698142916165,0.015747341673241048,-0.029206596305156023,-0.33197606560055726,-0.01060955866415304,0.05673570872607129
2228224,-0.14840658253161498,-0.025190132103410073,0.020147827884989717,0.07414453577504102,0.009995637176443885,-0.19680500707049825,0.021729848427512747,0.027371672337739187,-0.010167303690832099,-0.09976639921187387,-0.037899717940612705,-0.32837533584943146
2359296,-0.4152720251249609,-0.03241176252931339,0.025771133497707908,-0.016144877809583097,0.0021663108114252697,-0.04932858625797447,-0.02042013713244243,0.005425379415413307,-0.003934483264816541,-0.29173555056359923,0.0051226021151445965,-0.13226715147761883
2490368,-0.31752896430385236,-0.03430197449008518,-0.0006032339023007001,0.0012761958760767575,-0.011481213841419601,-0.03473350721315179,-0.008999227311107449,0.017138611542955907,-0.011935828231076452,-0.5459166682329015,0.008396336824151016,-0.007688238230921257
2621440,-0.28264678891825795,-0.026482273767826393,-0.006412127900083642,-0.012080731898683021,0.010440988286135083,-0.005761284768732217,0.02173405878849994,0.01627493057970323,-0.00994136488482718,-0.60299562380035,0.0008061355731156292,-0.004423690833785751
2752512,-0.17035847466541135,-0.04321372397807638,-0.01380602177629206,-0.00871630218042997,0.1459259490922062,-0.11645936344156835,0.037183819616173126,-0.0021368000444058,0.010004312218041139,-0.22236877516879675,0.008125823888812545,0.22170063392978634
2883584,-0.35236115385262595,0.0034073574433731834,0.009458396874471277,-0.011111925872730395,0.014930717047924128,-0.010779551202616198,0.018736282495860623,0.032712806965177456,-0.0030227736456544868,-0.4849920105257814,0.0216298443915034,0.03685717968228153
3014656,0.1786120738757293,0.007156446670844457,0.03466782863614124,0.03592452568549652,-0.0017205154527015784,0.050988790419212116,-0.012193805595240794,-0.0026825381358149885,0.004231592514056413,0.6168529726023855,-0.01640372756075043,0.03856518285162669
3145728,0.2977081201306336,-0.0037670771503888695,-0.0265756554656537,-0.07693376590392673,0.031826703069777994,-0.017141777413672763,0.023796912013025494,-0.032625002887082755,0.007564241678029901,-0.3909924719574985,-0.025873052316436333,-0.06519522001387339
3276800,-0.030604633409559334,-0.0011500091931371432,0.010020414977624287,-0.10555678800516985,-0.0014020835874792455,0.07420742549296726,0.07105450342906393,0.056970714620290644,-0.0022142382160515433,-0.03983795729082735,0.07218963172798129,-0.5347916000498482
3407872,-0.28459242051847805,-0.025900659439343783,-0.005749039197424401,-0.0119801286376549,-0.005969339586279574,-0.010846866853141743,0.0038875752488531997,0.011200942073884288,-0.00904835216477907,-0.6022281548030624,0.014873260480302544,-0.013723260996796072
3538944,0.266048272248927,0.018056153813249383,0.015561429548453045,0.03052507842808163,-0.02360530027161801,-0.035320407121043895,-0.05899760579009364,-0.021897648483333823,0.00691508631101022,0.44686108837399635,-9.983344098604388e-05,0.07611209616920696
3670016,-0.09141594017672834,-0.01512514115411072,-0.011932692823180427,0.04870345656455608,0.0038902183456576487,-0.018436529440225127,0.060689775473859314,0.04061076643973215,-0.00795492155509878,-0.46581062615353036,-0.026927382889805177,-0.20850254898351586
