collected_frames,grad_contrib/shaping,grad_contrib/joint_ang_from_flat_penalty,grad_contrib/joint_angle_var_penalty,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/clearance,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
131072,-0.1041863194023206,-0.043598065607293915,-0.05005163571714884,-0.05294115022875099,-0.22136031084462623,-0.07447027602221774,-0.12576551362817193,0.215424173490559,-0.009941656830630807,-0.08077896281665282,-0.005644540454584908,-0.015837394957042186
262144,0.21060913118116362,0.030180866868632795,0.04280899697522552,0.13822635149314866,0.003025756332704262,0.08305255410054631,0.011954288948970968,-0.26685104060222076,0.020083542610313983,0.18147758655870652,0.004559485948103642,-0.007170398380262948
393216,0.32001050796341485,0.03651488558442968,0.05132039778567161,0.06539281262188402,-0.018406419152142865,0.037220456620853846,0.01280725757714283,-0.1720596166368201,-0.002021775124372267,0.26866519870378286,-0.009137577310773744,-0.00644309491871134
524288,0.31516549969729324,0.0316147968998163,0.05121481894513262,0.02014431154068301,-0.002971088260115585,0.07671595800252215,0.02923675551432235,-0.06774986348950444,0.014161461833980276,0.3701442459918655,0.00226967331133577,0.018611526513428713
655360,0.2263377988269722,0.03674915858346814,0.051080228240262926,0.07627189340355824,0.03459158985327442,0.11076497396910016,0.03597441416292214,-0.09381395861988245,0.018159933046847914,0.30798435896921555,-0.00489465624774628,0.003377036076749566
786432,0.2172983976799074,0.013202751362030283,0.017333138457881037,0.03355273210761493,0.029057012642061005,0.13740546965188152,0.017313639491714272,-0.14838443947209196,0.022801409548091414,0.33694756259111175,-0.022645919768949415,0.0040575272266649715
917504,-0.2164597376433373,-0.057155075601519514,-0.07017550845176085,-0.04040265525388136,0.014436322058841763,-0.16860837952957922,-0.027703915494345793,-0.0504670406727483,-0.021738281248085394,-0.30375776710772207,-0.024000511709494597,-0.005094805228683804
1048576,0.09814034897573727,0.025139982051460036,0.028485928567457405,-0.1955438916262844,-0.01819515086926597,0.0515722968282967,-0.025443619425246176,-0.20714353884116238,0.042430325941474896,0.13809872617175992,0.1512727885963197,0.018533402105535127
1179648,-0.1811503901007483,-0.03106807327071376,-0.0006335949215156139,-0.018975745047659923,-0.035520492082356525,-0.15543984880702544,0.08191300532097417,0.09753922646110129,-0.02905035275189913,-0.04406240491627517,0.09772638900394094,-0.22692047731578976
1310720,-0.2547773070310332,-0.02952229411225691,-0.03703124812972469,-0.03174887390976929,-0.007014070562858698,-0.09531173440356158,-0.0028210888875675657,0.060203310727646016,-0.015244094366701788,-0.4510183199079875,0.014002291865869649,0.0013053660950230954
1441792,0.16403090616038418,0.00030976575042563546,-0.00012492929794002787,0.048807689515679736,-0.03631983622150081,0.004008269346764166,0.013430758441531975,0.03273274012089788,0.004502177734356305,0.6594806455051103,-0.01089328540018199,0.025358996505226918
1572864,-0.21174737459127244,-0.03408784269913039,-0.026499937297691345,0.020027453521038827,-0.04463789788171518,0.040888219221485674,-0.04952548589639284,-0.05849060540868984,0.004012011722539648,-0.38486307658284136,0.001627329787370486,-0.12359276538983198
1703936,0.0005407897476705113,-0.04333619607640298,-0.026372113112673148,-0.0582078437722542,-0.025487723831557216,0.03542462479022763,-0.02767339738050639,-0.0365071576190168,0.019293135593439148,0.6950932489209528,-0.0001887838560698017,-0.03187498529922938
1835008,-0.06549826796836188,-0.036049721280228736,-0.021664864234480177,-0.2897828676533271,-0.06787040962305377,0.06814874391827962,0.03883770474869789,-0.01769118657778461,-0.0004394527562294926,0.2090942807480112,-0.04273824392225018,-0.14218425656929534
1966080,-0.2703786922145044,-0.026831341857010103,-0.027329663969636583,-0.04363726497172983,0.012700604989486658,-0.05892230460416934,0.006090008415354812,0.029080493043731725,-0.006817111885574743,-0.4977842033504119,0.008582208828715772,0.011846101869674136
2097152,-0.2131112541936935,-0.03761963691847806,-0.04168694931151046,-0.1324517637599252,0.03172656444809872,-0.14162901999295005,0.002859371362223907,0.04288210277121669,-0.008793666133467857,-0.2805371138987907,-0.019368846307326958,-0.04733371090231789
2228224,-0.059395460651333644,-0.04141286256710836,-0.02232896433559658,-0.21446843760209935,-0.033738453737540725,-0.21429604917476242,-0.02713319795855604,0.0819425192534541,-0.015182210255409084,-0.108787278068562,-0.0048078444903012565,0.17650672190527644
2359296,0.13844397919014018,-0.028486280786759337,0.04082483307231219,0.19872494254400863,0.039606716500760995,-0.28497652628323117,-0.0028565142448413695,-0.03240124218084843,-0.014667957431398971,0.13984717982287465,-0.044681067301229886,-0.034482760641594196
2490368,-0.25189348900407116,-0.024762192693347344,-0.02256993055037214,-0.046429548505386685,-0.011565403220117789,-0.11619412407293177,-0.010540844461008985,0.04178542109106808,-0.014423664250894036,-0.4085036216378456,0.030080649941916438,-0.02125111057104001
2621440,-0.24205773127826116,-0.014703233305184055,-0.017408086925224043,-0.08380689205460119,0.004727068291359982,-0.08830290748617427,0.0013204391619754748,0.02099972416882732,-0.005115238145567859,-0.4906887742413192,0.016067812986248257,-0.014802091955257207
2752512,-0.02725337991025754,-0.0069153418515981386,-0.01700812420136853,0.0017046663061125796,0.021938976631919155,-0.015368310422808278,-0.027485709801808075,0.01945920906531356,0.01565041100209432,0.6413578541333398,-0.01185436941591788,0.1940036472574622
2883584,-0.27521786073652127,-0.011752276792060845,-0.012093898404495079,-0.03303096199266946,-0.019127109267616828,-0.05090962745460451,-0.009541129206352042,0.04754164310120324,-0.020165114072337013,-0.48211164455208105,0.03805000419095457,-0.00045873022910413504
3014656,-0.24867022954306758,-0.012798952968430038,-0.02161249103248844,-0.03738152880572671,-0.015300146365346658,-0.06895416881904227,0.017240520372236275,0.03336927498046847,-0.006812826607660634,-0.2640141439776473,0.03906630374852701,0.23477941277935865
3145728,-0.1522437929508738,-0.00021181916020651721,0.007654461022133657,0.09858932409892135,0.017482622895661007,-0.04357869099322035,0.008852613814461098,-0.0003016948625013411,0.014898806535152694,-0.5659090222957646,0.005437927273834383,-0.08483922409726924
3276800,-0.10375800846660607,-0.0032439331118866957,-0.006105631405675571,-0.0015399241987653668,-0.006860187122123763,-0.00726520418737681,0.02011975121962667,0.049565486938352644,-0.026216214483620468,-0.6375624166041768,0.0011075670829353674,-0.13665567517885374
3407872,-0.22129283278693668,-0.014694727809075712,-0.014739606323331508,-0.030671188939450412,-0.007314851804797233,-0.053299831920431494,-0.005769919140635453,0.02375955856347823,-0.010814694820263137,-0.5938054974820506,0.011172552898076627,0.012664737511472955
3538944,-0.2503836034700298,-0.004114287656647417,-0.01591964633957026,0.0024635314861723356,0.045135542976242886,-0.06413257543358156,0.023941582350286466,0.010331275959936728,0.00017767238977784664,-0.4685395734734818,-0.005208716983253112,0.10965199148101978
3670016,-0.14018715385809755,-0.00591409743320655,-0.008797414407369043,0.03140108330340417,-0.026379332040434834,-0.07923706951780048,-0.021943021648105514,0.005351023335363598,-0.042721036452885795,-0.6221321340616369,0.006402182852024159,-0.009534451089671374
3801088,-0.2966206024099405,-0.005201068927589952,-0.003779062510531999,0.0870445933391546,-0.003811200963702464,-0.1037626243146978,0.04342008077155261,-0.039441119989739766,-0.01768017410721393,-0.20801928613792933,0.01772471585450237,0.1734954706734447
3932160,-0.06259411661128143,-0.012473930000916227,-0.03737261496980287,-0.021525891334600013,0.03919924338350782,0.0774843210204521,0.03510756367015064,0.017734324878240997,-0.024655659968526724,-0.4538524456347956,0.027362955923458557,-0.19063693260426706
4063232,-0.21851219269904182,-0.008458584721486036,-0.00669106011120291,-0.006294311597884028,0.016033787611380596,-0.032913169721468516,0.014647155900592821,0.026937144960780115,-0.004047925016848876,-0.6104239427041707,0.003587745763217186,-0.0514529791919264
4194304,-0.14298383223045108,-0.010369057660373012,-0.011014616126486859,-0.08367912935150915,0.015038869379756728,-0.11856893112783053,-0.02641129139364072,0.04110046967166697,-0.020546301972810287,-0.06718595852519373,0.06557293121985887,-0.3975286113404221
4325376,0.052297144302727,-0.006782748556105401,-0.006913989177443576,-0.03461746054882004,-0.041249204637915704,-0.03591463958319575,-0.031108021647076867,0.027257931617466754,-3.404279438932307e-05,0.6337680166748154,0.027233950801092,-0.10282284965895218
4456448,0.018464093028931868,-0.0035300482125259556,-0.00665152286100727,0.013561103008337228,0.026209672692734214,-0.08794643596979276,-0.007898984176382002,0.0057728710933793986,0.003995061595349544,0.43796241488624865,-0.024781923189865804,-0.3632258692854453
4587520,0.08775817552705396,0.002566048443726864,-0.007769011136949759,-0.001993202732428244,-0.029827650872382584,-0.17806413205514762,-0.01683043739875463,0.012788246153275217,-0.0060588386946771105,-0.3946678533929199,-0.021099781033689827,-0.2405766225589943
4718592,-0.06733857897797084,-0.004657648358902058,0.01931681436324585,0.07869059520083392,-0.03398772475490375,0.024497952556644494,0.010049415089185398,0.09165140138088906,-0.0430070033135946,-0.5195519050138201,0.027975838549288933,0.07927512244072102
