collected_frames,rew/shaping,rew/step_penalty,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
131072,1.5255654891952872,-0.05948889055363965,-0.03167659551672841,-0.03674121917674711,-0.03296618860596823,-0.2250669340719469,-0.05250980231858193,-0.1561522222473286,-0.966408257256262,-0.007783980661912437,-0.027679608523612842,0.7049968000501394,-0.005255371681414545,0.6287018508301117
262144,1.6250148313120008,-0.05959512071534246,-0.06017341508413665,-0.07394638558616862,-0.14306585973827168,-0.2579827927984297,-0.16692893800791353,-0.18702769838273525,-0.5107631671708077,-0.0287531149078859,0.6393672830890864,0.7032887730747461,-0.010739237768575549,1.4681566804647446
393216,1.5744241261854768,-0.059701350877045256,-0.08275904698530212,-0.105678899330087,-0.22301942040212452,-0.24431912752334028,-0.1905039621051401,-0.18921904114540666,-0.3347382026258856,-0.034449816099368036,1.0552939651533961,0.7017797194421291,-0.006854832608951256,1.859819675795734
524288,1.4570406824350357,-0.05980758103874816,-0.10674538044258952,-0.14127664337866008,-0.2459137754049152,-0.2455521912779659,-0.2585823977133259,-0.21112695604097098,-0.24843533977400512,-0.04330200774711557,1.3737444439902902,0.7119566672481596,-0.01051074336282909,1.9708164893090725
655360,1.562563668936491,-0.05991381120045137,-0.09572180159739219,-0.12875853783043567,-0.17594573795213364,-0.22208282875362784,-0.253527705965098,-0.20391652442049235,-0.30708935094298795,-0.0400720478137373,1.8315376983955503,0.7105033444240689,-0.009825260072830133,2.6070485450327396
786432,1.6743470001965761,-0.06002004136215428,-0.0623671161592938,-0.07744855579221621,-0.08360858735977672,-0.24168390093836933,-0.26236660475842655,-0.21897061506751925,-0.290400582132861,-0.037839507291209884,2.358731569722295,0.7160633229650557,-0.0005368435959098861,3.413608867675066
917504,1.3575714938342571,-0.060126271523857085,-0.09936431288952008,-0.12730914336862043,-0.1681375593179837,-0.23394202918279916,-0.3764008218422532,-0.21953309152740985,-0.16289310774300247,-0.059989175730152056,2.1571864243596792,0.7198241986334324,-0.006552018356160261,2.7196717727929354
1048576,1.2310178438201547,-0.06023250168555988,-0.12780033430317417,-0.16156124509871006,-0.158165450906381,-0.24154988455120474,-0.4876652511302382,-0.23444273637142032,-0.10926303276210092,-0.07827131525846198,2.210524811409414,0.7220750511623919,-0.0022960140195209533,2.501698423177004
1179648,1.1980390390381217,-0.060338731847262794,-0.1385306747397408,-0.1711153556825593,-0.14461109566036612,-0.2496767946286127,-0.541991809848696,-0.24216393427923322,-0.09549235110171139,-0.08665174944326282,2.2398071456700563,0.7152563873678446,0.0012745070271193981,2.4230281189084053
1310720,1.6840529143810272,-0.06044496200896602,-0.0841600667044986,-0.10002553620142862,-0.08333627924730536,-0.2283742223517038,-0.3611762415384874,-0.22652123210718855,-0.19226382768829353,-0.05731598584679887,3.203588478267193,0.6912381644360721,-0.0007708728808211163,4.183938937261701
1441792,1.45392154622823,-0.060551192170668906,-0.07899858197197318,-0.09015753259882331,-0.1299256679485552,-0.2417934447294101,-0.3616362272296101,-0.21202245657332242,-0.12024727420066483,-0.07736545731313527,3.108901834115386,0.7208556933328509,-0.006026244620443322,3.9035482089966536
1572864,1.2807539831846952,-0.06065742233237171,-0.10073897225083783,-0.1100931484834291,-0.15473554260097444,-0.2386326069245115,-0.3585944229271263,-0.21060901880264282,-0.07720978252473287,-0.08008629881078377,2.885549081489444,0.7047652183100581,0.012214564689202234,3.4903542287647724
1703936,1.237528843805194,-0.060763652494074505,-0.11722073098644614,-0.12231239123502746,-0.1566611248999834,-0.2501140785170719,-0.31437228224240243,-0.217961888294667,-0.07833001654944383,-0.07405708485748619,2.972622686997056,0.7039282727055252,0.013808490708470345,3.5343495067209005
