collected_frames,env/success_rate,env/failure_rate,env/explosion_rate
32768,0.0,1.0,0.0
49152,0.4,0.6,0.0
65536,0.5,0.5,0.0
81920,0.3333333333333333,0.6666666666666666,0.0
98304,0.5,0.5,0.0
114688,0.3333333333333333,0.6666666666666666,0.0
131072,0.009433962264150943,0.02830188679245283,0.0
147456,1.0,0.0,0.0
163840,0.5,0.5,0.0
180224,0.6,0.4,0.0
196608,0.75,0.25,0.0
212992,0.0,0.02197802197802198,0.0
245760,0.2857142857142857,0.42857142857142855,0.0
262144,0.42857142857142855,0.2857142857142857,0.0
278528,0.5,0.5,0.0
294912,0.031578947368421054,0.0,0.0
311296,1.0,0.0,0.0
327680,0.3333333333333333,0.6666666666666666,0.0
344064,0.2727272727272727,0.09090909090909091,0.0
360448,0.5,0.5,0.0
376832,0.00980392156862745,0.029411764705882353,0.0
393216,0.8,0.2,0.0
409600,0.5,0.5,0.0
425984,0.7272727272727273,0.18181818181818182,0.0
442368,0.75,0.25,0.0
458752,0.0,0.049019607843137254,0.0
475136,0.0,1.0,0.0
491520,1.0,0.0,0.0
507904,0.5555555555555556,0.2222222222222222,0.0
524288,0.8,0.2,0.0
540672,0.009523809523809525,0.0,0.0
557056,1.0,0.0,0.0
573440,0.0,0.6,0.0
589824,0.5714285714285714,0.42857142857142855,0.0
606208,1.0,0.0,0.0
622592,0.018691588785046728,0.009345794392523364,0.0
638976,0.5,0.5,0.0
655360,1.0,0.0,0.0
671744,0.4,0.4666666666666667,0.0
688128,0.8,0.2,0.0
704512,0.03409090909090909,0.022727272727272728,0.0
720896,0.8,0.0,0.0
737280,0.7142857142857143,0.14285714285714285,0.0
753664,0.0,0.5,0.0
770048,1.0,0.0,0.0
786432,0.0,0.025,0.0
802816,0.5,0.5,0.0
819200,0.3333333333333333,0.5,0.0
835584,0.3333333333333333,0.4166666666666667,0.0
851968,0.7142857142857143,0.2857142857142857,0.0
868352,0.030927835051546393,0.05154639175257732,0.0
884736,0.5,0.5,0.0
901120,1.0,0.0,0.0
917504,0.5833333333333334,0.16666666666666666,0.0
933888,0.0,1.0,0.0
950272,0.039603960396039604,0.019801980198019802,0.0
966656,0.5,0.5,0.0
983040,0.625,0.125,0.0
999424,0.4,0.0,0.0
1015808,0.6666666666666666,0.3333333333333333,0.0
1032192,0.009523809523809525,0.0,0.0
1048576,0.0,1.0,0.0
1064960,0.75,0.0,0.0
1081344,0.625,0.0,0.0
1097728,0.6,0.4,0.0
1114112,0.019417475728155338,0.019417475728155338,0.0
1130496,0.0,1.0,0.0
1146880,0.5,0.0,0.0
1163264,0.4117647058823529,0.29411764705882354,0.0
1179648,0.0,1.0,0.0
1196032,0.02912621359223301,0.02912621359223301,0.0
1212416,0.5,0.5,0.0
1228800,1.0,0.0,0.0
1245184,0.47368421052631576,0.21052631578947367,0.0
1261568,0.2,0.8,0.0
1277952,0.03409090909090909,0.0,0.0
1294336,0.3333333333333333,0.6666666666666666,0.0
1310720,0.4,0.4,0.0
1327104,0.18181818181818182,0.2727272727272727,0.0
1343488,1.0,0.0,0.0
1359872,0.0449438202247191,0.02247191011235955,0.0
1376256,0.75,0.25,0.0
1392640,0.5,0.25,0.0
1409024,0.7,0.0,0.0
1425408,0.5,0.5,0.0
1441792,0.04040404040404041,0.020202020202020204,0.0
1458176,0.0,1.0,0.0
1474560,0.0,0.5,0.0
1490944,0.5384615384615384,0.23076923076923078,0.0
1507328,0.5,0.5,0.0
1523712,0.0379746835443038,0.0,0.0
1540096,1.0,0.0,0.0
1556480,0.5,0.5,0.0
1572864,0.2857142857142857,0.14285714285714285,0.0
1605632,0.05434782608695652,0.010869565217391304,0.0
1622016,1.0,0.0,0.0
1638400,0.6,0.4,0.0
1654784,0.375,0.125,0.0
1671168,1.0,0.0,0.0
1687552,0.033707865168539325,0.02247191011235955,0.0
1703936,0.0,1.0,0.0
1720320,0.0,0.25,0.0
1736704,0.3157894736842105,0.42105263157894735,0.0
1753088,0.3333333333333333,0.6666666666666666,0.0
1769472,0.02197802197802198,0.0,0.0
1785856,0.75,0.0,0.0
1802240,0.4,0.4,0.0
1818624,0.3,0.3,0.0
1835008,0.4,0.6,0.0
1851392,0.060240963855421686,0.03614457831325301,0.0
1867776,0.5,0.0,0.0
1884160,0.0,0.6666666666666666,0.0
1900544,0.21428571428571427,0.2857142857142857,0.0
1916928,0.5,0.5,0.0
1933312,0.011111111111111112,0.03333333333333333,0.0
1966080,0.8333333333333334,0.16666666666666666,0.0
1982464,0.43478260869565216,0.17391304347826086,0.0
1998848,0.8571428571428571,0.14285714285714285,0.0
2015232,0.02197802197802198,0.0,0.0
2031616,0.3333333333333333,0.6666666666666666,0.0
2048000,0.3333333333333333,0.16666666666666666,0.0
2064384,0.5333333333333333,0.13333333333333333,0.0
2080768,0.42857142857142855,0.5714285714285714,0.0
2097152,0.05434782608695652,0.010869565217391304,0.0
2113536,0.0,1.0,0.0
2129920,0.5,0.0,0.0
2146304,0.6666666666666666,0.3333333333333333,0.0
2162688,0.8,0.2,0.0
2179072,0.03125,0.03125,0.0
2195456,1.0,0.0,0.0
2211840,0.0,0.5,0.0
2228224,0.6,0.06666666666666667,0.0
2244608,0.6666666666666666,0.3333333333333333,0.0
2260992,0.03614457831325301,0.024096385542168676,0.0
2277376,0.3333333333333333,0.6666666666666666,0.0
2293760,0.5,0.3333333333333333,0.0
2310144,0.1875,0.1875,0.0
2326528,1.0,0.0,0.0
2342912,0.0,0.04395604395604396,0.0
2359296,0.2,0.8,0.0
2375680,0.5714285714285714,0.0,0.0
2392064,0.3,0.15,0.0
2408448,0.0,1.0,0.0
2424832,0.024096385542168676,0.012048192771084338,0.0
2441216,0.3333333333333333,0.6666666666666666,0.0
2457600,0.5,0.25,0.0
2473984,0.4375,0.375,0.0
2490368,0.75,0.25,0.0
2506752,0.0547945205479452,0.0410958904109589,0.0
2523136,0.3333333333333333,0.6666666666666666,0.0
2539520,0.5,0.0,0.0
2555904,0.43478260869565216,0.08695652173913043,0.0
2572288,0.625,0.375,0.0
2588672,0.08955223880597014,0.04477611940298507,0.0
2605056,1.0,0.0,0.0
2621440,0.4444444444444444,0.2222222222222222,0.0
2637824,0.4666666666666667,0.26666666666666666,0.0
2654208,0.8333333333333334,0.16666666666666666,0.0
2670592,0.04878048780487805,0.0,0.0
2686976,1.0,0.0,0.0
2703360,0.2,0.2,0.0
2719744,0.5,0.125,0.0
2736128,0.5,0.5,0.0
2752512,0.04819277108433735,0.0,0.0
2768896,0.3333333333333333,0.6666666666666666,0.0
2785280,0.75,0.25,0.0
2801664,0.3,0.15,0.0
2818048,0.42857142857142855,0.5714285714285714,0.0
2834432,0.024691358024691357,0.04938271604938271,0.0
2850816,1.0,0.0,0.0
2867200,0.6666666666666666,0.0,0.0
2883584,0.3181818181818182,0.13636363636363635,0.0
2899968,1.0,0.0,0.0
2916352,0.02631578947368421,0.013157894736842105,0.0
2932736,1.0,0.0,0.0
2949120,0.125,0.5,0.0
2965504,0.3333333333333333,0.2777777777777778,0.0
2981888,0.6666666666666666,0.3333333333333333,0.0
2998272,0.01282051282051282,0.02564102564102564,0.0
3014656,0.4,0.6,0.0
3031040,0.5714285714285714,0.2857142857142857,0.0
3047424,0.25,0.375,0.0
3063808,0.42857142857142855,0.5714285714285714,0.0
3080192,0.041666666666666664,0.0,0.0
3096576,0.6,0.4,0.0
3112960,0.5555555555555556,0.1111111111111111,0.0
3129344,0.36,0.04,0.0
3145728,0.6666666666666666,0.3333333333333333,0.0
3162112,0.011494252873563218,0.011494252873563218,0.0
3178496,0.6666666666666666,0.3333333333333333,0.0
3194880,0.8,0.0,0.0
3211264,0.45454545454545453,0.09090909090909091,0.0
3227648,0.7272727272727273,0.2727272727272727,0.0
3244032,0.02702702702702703,0.013513513513513514,0.0
3260416,1.0,0.0,0.0
3276800,0.3333333333333333,0.2222222222222222,0.0
3293184,0.35,0.15,0.0
3309568,0.75,0.25,0.0
3325952,0.05747126436781609,0.022988505747126436,0.0
3342336,1.0,0.0,0.0
3358720,0.6666666666666666,0.3333333333333333,0.0
3375104,0.35,0.05,0.0
3391488,0.5,0.5,0.0
3407872,0.010416666666666666,0.020833333333333332,0.0
3424256,1.0,0.0,0.0
3440640,0.6666666666666666,0.0,0.0
3457024,0.21428571428571427,0.21428571428571427,0.0
3473408,0.7272727272727273,0.2727272727272727,0.0
3489792,0.043478260869565216,0.010869565217391304,0.0
3506176,0.5,0.5,0.0
3522560,0.5,0.5,0.0
3538944,0.5,0.14285714285714285,0.0
3555328,1.0,0.0,0.0
3571712,0.0,0.021505376344086023,0.0
3588096,0.5,0.5,0.0
3604480,0.375,0.0,0.0
3620864,0.26666666666666666,0.13333333333333333,0.0
3637248,1.0,0.0,0.0
3653632,0.042105263157894736,0.031578947368421054,0.0
3670016,0.0,1.0,0.0
3686400,0.375,0.25,0.0
3702784,0.29411764705882354,0.17647058823529413,0.0
3719168,0.6,0.4,0.0
3735552,0.012345679012345678,0.012345679012345678,0.0
3751936,0.5,0.5,0.0
3768320,0.6363636363636364,0.2727272727272727,0.0
3784704,0.2,0.1,0.0
3801088,0.8,0.2,0.0
3817472,0.03614457831325301,0.024096385542168676,0.0
3833856,0.3333333333333333,0.6666666666666666,0.0
3850240,0.5555555555555556,0.4444444444444444,0.0
3866624,0.4444444444444444,0.16666666666666666,0.0
3883008,0.8,0.2,0.0
3899392,0.011235955056179775,0.0449438202247191,0.0
3915776,1.0,0.0,0.0
3932160,0.6666666666666666,0.16666666666666666,0.0
3948544,0.5,0.2,0.0
3964928,0.7142857142857143,0.2857142857142857,0.0
3981312,0.025,0.0375,0.0
3997696,0.25,0.75,0.0
4014080,0.375,0.125,0.0
4030464,0.4090909090909091,0.045454545454545456,0.0
4046848,0.8571428571428571,0.14285714285714285,0.0
4063232,0.022988505747126436,0.022988505747126436,0.0
4079616,0.42857142857142855,0.5714285714285714,0.0
4096000,0.8,0.1,0.0
4112384,0.34782608695652173,0.17391304347826086,0.0
4128768,0.8333333333333334,0.16666666666666666,0.0
4145152,0.06756756756756757,0.02702702702702703,0.0
4161536,1.0,0.0,0.0
4177920,0.4166666666666667,0.08333333333333333,0.0
4194304,0.47058823529411764,0.058823529411764705,0.0
4210688,1.0,0.0,0.0
4227072,0.021505376344086023,0.043010752688172046,0.0
4243456,0.5555555555555556,0.4444444444444444,0.0
4259840,0.5,0.0,0.0
4276224,0.3333333333333333,0.08333333333333333,0.0
4292608,0.8333333333333334,0.16666666666666666,0.0
4308992,0.044444444444444446,0.011111111111111112,0.0
4325376,0.5,0.5,0.0
4341760,0.2857142857142857,0.14285714285714285,0.0
4358144,0.36363636363636365,0.09090909090909091,0.0
4374528,0.7777777777777778,0.2222222222222222,0.0
4390912,0.07317073170731707,0.012195121951219513,0.0
4407296,0.6,0.4,0.0
4423680,0.5384615384615384,0.3076923076923077,0.0
4440064,0.44,0.12,0.0
4456448,0.6,0.4,0.0
4472832,0.045454545454545456,0.011363636363636364,0.0
4489216,0.6666666666666666,0.3333333333333333,0.0
4505600,0.14285714285714285,0.2857142857142857,0.0
4521984,0.5625,0.0,0.0
4554752,0.041666666666666664,0.03125,0.0
4571136,1.0,0.0,0.0
4587520,0.125,0.25,0.0
4603904,0.29411764705882354,0.23529411764705882,0.0
4620288,0.5,0.5,0.0
4636672,0.07142857142857142,0.023809523809523808,0.0
4653056,0.6666666666666666,0.3333333333333333,0.0
4669440,0.23076923076923078,0.0,0.0
4685824,0.25925925925925924,0.25925925925925924,0.0
4702208,0.5,0.5,0.0
4718592,0.022727272727272728,0.022727272727272728,0.0
4734976,0.42857142857142855,0.5714285714285714,0.0
