collected_frames,rew/shaping,rew/step_penalty,rew/joint_vel_variance,rew/joint_angle_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
16384,1.9663179395720363,-0.08797996434914519,-0.12783483031671494,0.06341358238044492,-0.015235335504399927,-0.018386168649158208,-0.0010379775937003899,-0.10658385546412319,0.0,1.6726734032854438
32768,1.5654784077778459,-0.08797996434914519,-0.12790336122270674,0.16222893341910094,-0.034621344195329584,-0.01821911365550477,-0.0020810779933526646,-0.1071227720240131,-0.003552623209543526,1.3462271224707365
49152,1.4340603007003665,-0.08797996434914519,-0.12771958322264254,0.1820467901416123,-0.04574980234610848,-0.017015296027238946,-0.0021486057758011157,-0.09392756276065484,3.763509448617697e-05,1.2416039584204555
65536,1.3798052379861474,-0.08797996434914519,-0.1272870298125781,0.1962793436832726,-0.05672085078549571,-0.0158113574507297,-0.0021487341273314087,-0.088854621630162,0.0012218428310006857,1.1985039114952087
81920,1.3524525975808501,-0.08797996434914519,-0.12657304859021679,0.1925863870419562,-0.06151623334153555,-0.015996516958693974,-0.0021089289748488227,-0.08915386075386778,-0.0005732863210141659,1.1611371766775846
98304,1.3009771229699254,-0.08797996434914519,-0.12794257735367864,0.2146471388405189,-0.06038166693178937,-0.01699581980938092,-0.0019519075885909842,-0.09040343324886635,0.0012218428310006857,1.1311907703056931
114688,1.322807615622878,-0.08797996434914519,-0.12724021851317957,0.16646207636222243,-0.039190480805700645,-0.013629743989440612,-0.0018709617561398773,-0.08280676594586112,-0.0011465726420283318,1.1354050282388926
131072,1.658336783759296,-0.08797996434914519,-0.12761735229287297,0.1185192669800017,-0.02660933001243393,-0.014024581811099779,-0.0013739122225615574,-0.08687256686971523,-0.0017574940575286746,1.4306208584457636
147456,1.6687544146552682,-0.08797996434914519,-0.1265285155386664,0.13798712869174778,-0.03232621544157155,-0.022892557113664225,-0.001721615606584237,-0.11950143886497244,0.0017951291520148516,1.4175864169374108
163840,1.4656746061518788,-0.08797996434914519,-0.12813511962303892,0.17119081760756671,-0.03998275496996939,-0.01859752596647013,-0.0020611036707123276,-0.09808278718264773,0.0024436856620013714,1.2644698983058333
180224,1.3806194392964244,-0.08797996434914519,-0.12705011531943455,0.18108985107392073,-0.044380513340001926,-0.016004268705728464,-0.0020337501055109897,-0.09185575816081837,0.0030169719830155373,1.1954219304025173
196608,1.306053675711155,-0.08797996434914519,-0.12694381189066917,0.16124084452167153,-0.05121417666669004,-0.014115665275312494,-0.00195764703767054,-0.08319492998998612,0.004201179719530046,1.1060895379632711
