collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/shock_p90_normalised,shock/accel_p95,shock/shock_p95_normalised,shock/accel_p99,shock/shock_p99_normalised
131072,,,,,,,3.4043261051177978,0.40158793613635946,3.5380032539367674,0.4155080625237333,5.437873430252079,0.5913465566076204
262144,2.96007527038455,20.868184253573418,0.06366169135799282,0.009982792387745576,0.9988265037536621,0.0,,,,,,
262144,,,,,,,3.1162250518798826,0.3709533627362205,3.137207102775574,0.37321300740874475,3.196072268486023,0.37952879398179173
393216,2.894965650513768,20.705924697220325,0.04560443831724115,0.008810633184111794,1.0,0.0,,,,,,
393216,,,,,,,3.039654088020325,0.3626699163718168,3.0518803715705873,0.3639964509618361,3.088415460586548,0.36795165239548755
524288,2.9005192425101995,20.47243372350931,0.04141968174735666,0.008629266663774615,1.0,0.0,,,,,,
524288,,,,,,,2.9934811115264894,0.35764697447445726,3.026183080673218,0.36120662752304655,3.0461589384078978,0.36337586689844614
655360,2.89014321193099,20.74951159954071,0.04018347646888287,0.009001282000099309,0.9988137371838093,0.0,,,,,,
655360,,,,,,,2.9928476810455322,0.3575779215781927,3.012515366077423,0.3597201510569188,3.0452989435195925,0.36328255832573464
786432,2.8910769019275904,20.968221560120583,0.025870727953588357,0.008706765411261586,0.997648686170578,0.0,,,,,,
786432,,,,,,,2.969556379318237,0.35503612885843405,3.0034095525741575,0.35872880382205397,3.0468983602523805,0.36345608759017867
917504,2.8695691600441933,20.938473090529442,0.030474792822133168,0.008629901600215817,0.999627472832799,0.0,,,,,,
917504,,,,,,,2.956077456474304,0.3535627619245292,2.9731775522232056,0.3554316554800103,3.0375672292709353,0.36244334802645906
1048576,2.8766115196049213,21.28264457732439,0.044155180075904354,0.00866563490308181,0.9999837558716536,0.0,,,,,,
1048576,,,,,,,2.9740791082382203,0.35553010915420113,3.0021864652633665,0.3585955849338456,3.050296564102173,0.3638246931610094
1179648,2.8398771937936544,20.509800501167774,0.03325828488323168,0.00819353859515104,0.9985762760043144,0.0,,,,,,
1179648,,,,,,,2.9192609548568726,0.34952945336102914,2.9503893136978148,0.3529404696871683,2.9754855632781982,0.3556836841522564
1310720,2.836570369079709,20.949066139757633,0.03468716884890455,0.008481767512421357,0.9994835238903761,0.0,,,,,,
1310720,,,,,,,2.9158241510391236,0.3491522809221834,2.9429548263549803,0.3521266535288672,2.986912436485291,0.3569307059354241
