collected_frames,var_decomp/shaping,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
131072,2.264097213745117,0.032286930829286575,0.39027732610702515,0.5579442381858826,0.5848860740661621,-0.608090341091156,7.425262451171875,-0.2097826451063156,0.16023877263069153
262144,0.3019562363624573,0.02573114074766636,-0.011444780975580215,0.020194880664348602,-0.5372249484062195,-0.34779369831085205,5.8147664070129395,-0.1252262443304062,5.046517372131348
393216,0.6938045620918274,-0.02037983201444149,-0.042072705924510956,0.10836082696914673,-0.2899092435836792,-0.09812556207180023,4.704408168792725,-0.09704449772834778,6.141455173492432
524288,0.37561070919036865,0.021145783364772797,0.11533483117818832,0.18234971165657043,-0.1177467629313469,0.06491219997406006,4.0180158615112305,-0.06644482165575027,5.613636016845703
655360,0.35346317291259766,0.024732427671551704,0.034306496381759644,0.07113495469093323,0.16932503879070282,0.26892226934432983,2.54634165763855,-0.05153445899486542,8.022592544555664
786432,0.19735613465309143,0.03522278368473053,0.07341409474611282,0.02733464539051056,0.29225194454193115,1.0017303228378296,1.73893141746521,-0.024510033428668976,7.788722038269043
917504,0.0997098758816719,0.04442204535007477,0.060428518801927567,0.012626778334379196,0.20629741251468658,1.0859965085983276,1.473710298538208,0.0016261488199234009,8.133072853088379
1048576,0.185990110039711,-0.019579624757170677,-0.01699347048997879,0.10495256632566452,0.03835820034146309,0.6586363315582275,2.2447338104248047,0.05788283050060272,7.844964027404785
1179648,0.15195877850055695,0.03285158425569534,0.07495158165693283,0.0782056376338005,0.16597230732440948,0.693225085735321,1.5752049684524536,-0.04225834831595421,8.510011672973633
1310720,0.3274010717868805,0.022310519590973854,0.044354818761348724,0.036860980093479156,-0.016239970922470093,0.3292279839515686,2.705854654312134,-0.003859134390950203,7.685629844665527
1441792,0.2713249623775482,0.013886396773159504,-0.029457425698637962,0.005148191004991531,0.014634338207542896,0.36975371837615967,1.8368338346481323,-0.03569081425666809,8.627413749694824
1572864,0.27468395233154297,0.023487810045480728,0.08008289337158203,0.07214634865522385,0.2422686219215393,0.5807810425758362,1.4933583736419678,-0.00367184286005795,8.49360466003418
1703936,0.048015475273132324,0.02906855382025242,-0.006461357232183218,-0.028787972405552864,0.13563194870948792,0.49650153517723083,1.8760350942611694,-0.0038236426189541817,8.6387939453125
1835008,0.08111271262168884,-0.010318035259842873,0.03324802219867706,0.005757195875048637,0.01767583005130291,0.6747402548789978,1.0558987855911255,0.042448848485946655,9.361135482788086
1966080,0.21966156363487244,-0.0030136210843920708,0.014581351540982723,-0.008395143784582615,0.31253913044929504,0.7683560252189636,1.5901319980621338,-0.0477876290678978,8.400510787963867
2097152,0.19005639851093292,0.015053989365696907,0.033413536846637726,0.01718553900718689,0.19421344995498657,0.38684919476509094,2.0058016777038574,0.01219454500824213,8.107515335083008
2228224,0.1472039818763733,0.012377182953059673,0.02728789672255516,0.057197947055101395,0.08537280559539795,0.6356959342956543,1.4346736669540405,0.016000308096408844,8.764556884765625
2359296,0.146940678358078,0.034099627286195755,0.025535229593515396,0.06851360201835632,0.12876278162002563,0.5107847452163696,1.846652865409851,0.0187006127089262,8.509699821472168
2490368,0.3458535075187683,0.027454497292637825,0.029739538207650185,0.036952078342437744,0.11199162155389786,0.7122748494148254,2.1716957092285156,0.10593780875205994,7.709369659423828
2621440,0.14321984350681305,0.017637895420193672,0.09702135622501373,0.06744153052568436,0.3490253984928131,0.49670568108558655,1.6345819234848022,-0.002651549642905593,8.41007137298584
2752512,0.299321711063385,-0.004125814884901047,0.1106889620423317,0.04259667918086052,0.058448463678359985,0.4659503400325775,2.1717185974121094,-0.044512055814266205,8.181737899780273
