attempt,collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/shock_p90_normalised,shock/accel_p95,shock/shock_p95_normalised,shock/accel_p99,shock/shock_p99_normalised
0,131072,3.706187181174755,11.02127392962575,0.11760339737520553,9.096180076006988e-05,0.07074098289012909,0.0,3.8934942960739134,0.451582823447614,3.9361923217773436,0.4558214102374478,4.049912567138672,0.4670096908735961
0,262144,3.405421292409301,10.589980326592922,0.10095501947671437,1.6265040301277622e-05,0.014529194682836533,0.0,3.539343762397766,0.4156466870913038,3.557990539073944,0.41757298227880213,3.6092029762268067,0.42284415333568015
0,393216,3.3928567059338093,10.810730807483196,0.08959650454244183,6.406351349141914e-05,0.049516137689352036,0.0,3.6726349353790284,0.42933357305785513,3.714682900905609,0.4336110533191979,3.7399716806411742,0.43617428391396573
0,524288,2.958590507507324,10.414144538342953,0.07811280860914849,2.2854950657347217e-05,0.021792786195874214,0.0,3.2118969678878786,0.3812206811535228,3.2344847917556763,0.3836312242809874,3.312690179347992,0.39193677088629797
0,655360,2.675882589071989,10.085996478796005,0.04855468020741682,2.9724831620114855e-05,0.026569025591015816,0.0,3.1632844686508177,0.3760152263238521,3.206498372554779,0.3806437801104443,3.294954202175141,0.39005870768312545
0,786432,2.523283686488867,10.131049893796444,0.05515514921717113,1.612535197637044e-05,0.015405802056193352,0.0,2.768988823890686,0.33293328464927185,2.801448369026184,0.33653609558628084,2.9468691468238832,0.35255520108756366
0,917504,2.220811838284135,9.667315177619457,0.03127707919156819,4.319753657000547e-06,0.0044221170246601105,0.0,2.2900643587112426,0.278687093547223,2.3063292264938355,0.28056123313694536,2.3482195997238158,0.28537823607179735
0,1048576,2.289261870086193,10.013683065772057,0.0424367425678156,2.1311378077371046e-05,0.021798843517899513,0.0,2.479900598526001,0.3004257934487724,2.5095755100250243,0.3037965944632921,2.5624870586395265,0.3097879956604632
0,1179648,2.048817303031683,9.516853999346495,0.005392495811520348,9.241273082771784e-06,0.009463053196668625,0.0,2.1223455905914306,0.2592397390424286,2.1398565053939818,0.2612803390554588,2.1572144269943236,0.2633008081039083
0,1310720,2.2495653592050076,10.406102679669857,0.03925646488983148,3.1617737732858586e-05,0.030161920934915543,0.0,2.524978852272034,0.3055432870116681,2.545004498958588,0.307811062593635,2.6321839427948,0.31764261948614214
0,1441792,1.9425303302705288,9.821089375764132,0.011332783917168854,9.904364674184762e-06,0.010141875594854355,0.0,2.0545639038085937,0.2513192312033299,2.0798994064331056,0.2542837715186128,2.1128630924224856,0.2581337466382565
0,1572864,1.9306688392534852,9.879972599446774,0.020924269228316916,1.1105312779591259e-05,0.011371089145541191,0.0,2.0702282190322876,0.25315269360550263,2.1129894137382506,0.25814848459613304,2.1861085867881775,0.26665897560247576
0,1703936,1.8644815413281322,9.919667698442936,0.02009038399808105,1.9259768805568456e-05,0.019691012799739838,0.0,1.9392266750335694,0.2377645107732016,1.9541713893413544,0.23952620877343356,1.9684455049037934,0.2412073846813787
0,1835008,1.8964893063530326,10.097480155527592,0.025762461402791814,1.814146423839702e-05,0.01783171109855175,0.0,2.060590624809265,0.2520248556160529,2.07316974401474,0.2534967882573125,2.112563407421112,0.25809878179000023
0,1966080,1.8648642525076866,9.906363252550364,0.029887467962907976,7.893290899119165e-06,0.008080720901489258,0.0,1.9408698320388793,0.23795828457179713,1.9576352477073669,0.2399343073108473,2.0056390702724456,0.24558114914650608
0,2097152,1.8819371489807963,10.070559486746788,0.01499286971352376,1.3593380202792105e-05,0.012551466003060341,0.0,1.9333200812339784,0.237067803287192,1.9737765192985535,0.24183489005558267,1.9987130391597747,0.24476743615923047
0,2228224,1.9390684673562646,10.267925314605236,0.026025234399185138,2.102992107211321e-05,0.02092713862657547,0.0,2.0519993782043455,0.251018888680518,2.077844190597534,0.25404346518893806,2.132492530345917,0.2604224760371636
0,2359296,2.096588130109012,10.448925219476223,0.06674724857293768,2.2066677047405392e-05,0.019328057765960693,0.0,2.441486287117004,0.2960511159334931,2.509886074066162,0.30383183171638906,2.590803852081299,0.3129843861826973
0,2490368,1.9865050548687577,10.287281036376953,0.050789649593298236,1.4664034608813381e-05,0.012892073020339012,0.0,2.1043238162994387,0.2571371876465469,2.1478807091712953,0.26221464540311246,2.221200077533722,0.2707287191659262
0,2621440,1.9497799631208181,10.214040778577328,0.0525500246167212,1.5652581460301462e-05,0.015102855861186981,0.0,2.156425452232361,0.263209021063292,2.1946053862571717,0.26764527307773633,2.2465333223342894,0.27366075433793147
0,2752512,1.8908547507598996,10.221786558628082,0.029366738618364252,1.588085781634163e-05,0.015879252925515175,0.0,1.9925222635269164,0.2440398135500761,2.008623147010803,0.2459316303709036,2.039474403858185,0.24955134192406536
0,2883584,1.9013610947877169,10.277794480323792,0.03756105887259764,1.0584924893919379e-05,0.009796611964702606,0.0,2.063296389579773,0.25234156660592144,2.0818186044692992,0.254508145606573,2.11898912191391,0.258848334445434
0,3014656,1.922308218665421,10.263825193047523,0.05725420736371234,1.925316166140334e-05,0.01935441792011261,0.0,2.0141634941101074,0.24658217619124412,2.0254305243492126,0.24790446156165946,2.059385998249054,0.25188383615753485
0,3145728,1.8493356052786112,10.197049096226692,0.046952519531259895,1.3231332218310854e-05,0.013248074799776077,0.0,1.9121405005455017,0.23456758192338034,1.9358457803726195,0.2373657499723103,1.9531275641918182,0.23940321268350506
0,3276800,1.8688667034730315,10.102818951010704,0.04356364025716175,1.1932071316778092e-05,0.010974612087011337,0.0,1.9474996328353882,0.23873992950010892,1.9712750256061553,0.2415404682951794,2.0022482907772066,0.24518282255371115
0,3407872,1.9471841920167208,10.378102384507656,0.036725429996295134,1.562953536193845e-05,0.015122106298804283,0.0,2.166800355911255,0.2644156261224313,2.221543622016907,0.27076851429328497,2.3847445011138917,0.2895665357337103
0,3538944,1.759450281970203,10.059020981192589,0.020825942446663248,5.589557986240834e-06,0.005429698154330254,0.0,1.8498265027999878,0.22719358798492473,1.8712087869644165,0.22972686819113108,1.907170388698578,0.2339804156072518
