attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std
0,131072,0.006528743542730808,0.6281784772872925,-0.009151214733719826,0.6182342171669006,0.03941734880208969,0.6392309665679932,-0.0114379171282053,0.617617666721344,0.020908840000629425,0.629070520401001,-0.0056437659077346325,0.6203234791755676
0,262144,0.10483906418085098,0.6253359913825989,0.007847234606742859,0.6141520738601685,0.03671065345406532,0.6413435339927673,-0.002149376319721341,0.6224043369293213,0.031060852110385895,0.6364322900772095,0.0007732476224191487,0.6228438019752502
0,393216,0.1833592653274536,0.6109170913696289,0.00043239619117230177,0.613236129283905,0.04267990589141846,0.6432007551193237,-0.013482214882969856,0.6188067197799683,0.029925649985671043,0.6366004943847656,0.01173240877687931,0.6233347654342651
0,524288,0.2692064642906189,0.5914573669433594,0.006273332517594099,0.6099429130554199,0.04363713413476944,0.6446560621261597,-0.008973147720098495,0.6204443573951721,0.036750663071870804,0.6350210309028625,0.012367751449346542,0.6213847398757935
0,655360,0.3291738033294678,0.5632728338241577,0.006289420183748007,0.6089621186256409,0.055751316249370575,0.6440522074699402,0.0022517398465424776,0.6190078258514404,0.035340115427970886,0.6330362558364868,0.030975420027971268,0.6204739212989807
0,786432,0.3949241638183594,0.5517569780349731,0.0023527529556304216,0.6095770001411438,0.06326844543218613,0.6442562341690063,-0.0018954500555992126,0.6196606755256653,0.03931326046586037,0.6366299390792847,0.029235661029815674,0.6264271140098572
0,917504,0.42177700996398926,0.5422011613845825,-0.0015903533203527331,0.6098992824554443,0.0623108334839344,0.6424883008003235,-0.015170345082879066,0.6245250105857849,0.03904242441058159,0.6397367715835571,0.025976862758398056,0.6254844069480896
0,1048576,0.4540250301361084,0.5111671686172485,-0.024677403271198273,0.6061356663703918,0.05413131043314934,0.640213668346405,-0.004322717431932688,0.6209985017776489,0.04819907248020172,0.6282728314399719,0.043812498450279236,0.622133731842041
0,1179648,0.4651903212070465,0.5187358260154724,-0.006320755463093519,0.601498007774353,0.060356806963682175,0.6397867202758789,-0.004560872446745634,0.6273106932640076,0.02941833809018135,0.6329114437103271,0.020975342020392418,0.623978853225708
0,1310720,0.4526507258415222,0.5149378776550293,-0.008810636587440968,0.6095138192176819,0.059535279870033264,0.6364697813987732,-0.027979392558336258,0.627686619758606,0.033269867300987244,0.6294790506362915,0.03327861428260803,0.6177641153335571
0,1441792,0.5128873586654663,0.49066442251205444,0.0008181821904145181,0.6026915311813354,0.04975414648652077,0.6380967497825623,-0.020573701709508896,0.6268306374549866,0.03119242936372757,0.6316763758659363,0.0136757493019104,0.6163621544837952
0,1572864,0.5403972268104553,0.47444039583206177,-0.005071145482361317,0.5971580147743225,0.06065262109041214,0.6329668760299683,-0.0254152100533247,0.6250014901161194,0.04116515815258026,0.6301009654998779,0.01785472221672535,0.6106258034706116
0,1703936,0.5483658313751221,0.474525511264801,-0.008596396073698997,0.6025215983390808,0.04927718639373779,0.635324239730835,-0.020070107653737068,0.6232467889785767,0.034607306122779846,0.6341606378555298,0.009392092004418373,0.6130735874176025
