attempt,collected_frames,state/lin_velocity,state/lin_velocity_max,state/lin_velocity_min,state/ang_velocity,state/ang_velocity_max,state/ang_velocity_min,state/roll,state/roll_max,state/roll_min,state/pitch,state/pitch_max,state/pitch_min,state/success_lin_velocity,state/lin_vel_mean,state/lin_vel_max,state/lin_vel_min,state/ang_vel_mean,state/ang_vel_max,state/ang_vel_min,state/roll_deg_mean,state/roll_deg_max,state/roll_deg_min,state/pitch_deg_mean,state/pitch_deg_max,state/pitch_deg_min,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/clearance_max,state/pct_healthy
0,131072,0.3255847720429301,0.9839336345903575,0.007321851627239084,0.2078654472134076,2.6219294348265976,0.006831923983554589,-0.008885409736205219,0.34070711417734856,-0.360554030118692,3.693549541594621e-05,0.2538640292486889,-0.500511670718879,0.0,0.3260444584302604,1.2483894964680076,0.007321851627239084,0.20863288879627362,2.786518984241411,0.006831923983554589,1.2990224374516401,37.40497032995336,5.390471657762408e-05,2.380314012101735,37.70503112958977,0.00010395949500430213,6.7714595049619675,0.020266273628294584,-0.027962088119238615,0.7915815776214004,1.0
0,262144,0.3078532887157053,0.8281246419064701,0.006073193853126213,0.21054387197364122,1.907916670665145,0.006806370932281425,-0.02440717790159397,0.47354275337420404,-0.49196141539141536,0.0029902284973104543,0.4412434948608279,-0.3595257210545242,0.0,0.30791544914245605,0.8610807117074728,0.006073193853126213,0.21065675152931362,1.9251021053642035,0.006806370932281425,2.365308854728937,29.671504005789757,5.8764817787437806e-05,4.053165163844824,28.558647364377975,9.899626936515915e-05,6.242224335670471,0.03140699939103797,-0.0636503123678267,0.3039298824733123,1.0
0,393216,0.3171885620104149,0.817155456636101,0.005532568643275226,0.19818378903437406,1.7070589931681752,0.0070383044903792324,-0.013823963550294138,0.36882250689086504,-0.4108311802847311,-0.00046697249399585417,0.45879800466354936,-0.3472815731074661,0.0,0.3171885620104149,0.817155456636101,0.005532568643275226,0.19818378903437406,1.7070589931681752,0.0070383044903792324,1.4592404681898188,23.860766272991896,5.0939691638163254e-05,2.785158153390512,27.39352947473526,9.14848781823352e-05,5.999131254851818,0.0210364733611641,-0.052567508770152926,0.20635953429155052,1.0
0,524288,0.26929495320655406,0.9268181114457548,0.0046058095199441595,0.23783159372396767,1.9354181829839945,0.008145294207679399,-0.01363776335347211,0.4834281778894365,-0.49407880287617445,-0.021239094696284155,0.529355786042288,-0.442793624708429,0.004778867121785879,0.26929495320655406,0.9268181114457548,0.0046058095199441595,0.23783159372396767,1.9354181829839945,0.008145294207679399,2.087969466112554,29.06349165737629,6.502558429577476e-05,4.934772411361337,30.340655013918877,0.00017977353954146125,4.973700061440468,0.033786526502808556,-0.07086812471970916,0.2975288594607264,1.0
0,655360,0.2583762517897412,0.8201491166837513,0.0033345586462019128,0.21086881874362007,1.7413800824433565,0.006735058776484948,-0.014838663107866523,0.49672346469014883,-0.7187696357723325,-0.040755682893177436,0.5351301275659353,-0.48053870163857937,0.13764358032494783,0.2584257605485618,0.8528697760775685,0.0033345586462019128,0.21094741724664345,1.798584391362965,0.006735058776484948,2.1537478886311874,43.33045521378517,6.442340756263043e-05,5.0550958551466465,31.05289490520954,0.00013283724531065744,4.941139314323664,0.02923727932284237,-0.0712832435965538,0.33290740731172264,1.0
0,786432,0.25763538968749344,0.9246153770945966,0.003751760962586559,0.23060399712994695,1.880485993809998,0.007288039528248191,-0.003093641836585448,0.4376896908506751,-0.4469423838891089,-0.0454157843523717,0.5355740422382951,-0.5214124305639416,0.017109098727814853,0.25763538968749344,0.9246153770945966,0.003751760962586559,0.23060399712994695,1.880485993809998,0.007288039528248191,1.4730405239388347,27.502110943198204,6.725805790130934e-05,5.572429595515132,31.847312599420547,0.0001676739507571745,4.760633938014507,0.02869760999601567,-0.07161644077859819,0.23970438493415713,1.0
0,917504,0.20824885938782245,0.8135972153395414,0.0021259028446820594,0.21696502272970974,1.7459606928750873,0.006825529491834459,-0.006654827982856659,0.6176952589303255,-0.5482127626892179,-0.09712807985488325,0.5186978355050087,-0.6474630916491151,0.310197737213457,0.2082857321947813,0.8135972153395414,0.0021259028446820594,0.21695338154677302,1.7459606928750873,0.006825529491834459,1.7599261896684766,36.45782984793186,5.800641476108592e-05,8.016535434871912,37.09690284729004,0.00016107568435863584,4.423735525459051,0.033092107565607876,-0.07234133267775178,0.24392482684925199,1.0
0,1048576,0.2745691646123305,0.9306200016289949,0.0025052158797791435,0.20954822364728898,1.7875208165496588,0.005501293539623475,-2.026791457865329e-05,0.4353856567759067,-0.4361291181994602,-0.05798468463763129,0.4887540100608021,-0.5455858774948865,0.08834129682509229,0.2745691646123305,0.9306200016289949,0.0025052158797791435,0.20954822364728898,1.7875208165496588,0.005501293539623475,1.115301638841629,27.242450907826424,5.026741728375583e-05,5.2407471165061,31.473905637860298,0.000111988138063783,4.967806946486235,0.023970279205968836,-0.07226152205839753,0.23265405744314194,1.0
0,1179648,0.1749575357325375,0.889321919704477,0.009167740520028929,0.1483732304070145,1.5049845434973639,0.005713411219549016,-0.0383177242209166,0.3785389749119834,-0.6727512329663539,-0.21385990428545104,0.30703503408527466,-0.9512016109375205,0.2102789621800184,0.20860595209524035,0.8673381912522018,0.0008776868824043049,0.21119928278494626,1.81569485925138,0.0046921610949084425,1.5792422192171216,36.61903835833073,4.465204313985893e-05,8.108596041798592,38.476599246263504,9.926615739930256e-05,4.454231686890125,0.030448006800725125,-0.07366853812709451,0.27916916203685105,1.0
0,1310720,0.24832512810826302,0.9017058871686459,0.0024651831015489734,0.2126203466905281,1.763377046212554,0.00627760062161542,-0.007185575494986551,0.43743994692340493,-0.4588023922406137,-0.1067252816283144,0.3945408931467682,-0.7310988297685981,0.12429479137063026,0.1820900955473084,0.8948039536600012,0.008521710889332065,0.15457660324748113,1.5350268920995744,0.005767790920953007,3.0456419341569116,38.796603451488565,7.391112538465527e-05,13.045816503695903,53.37998805055395,0.001188955899027118,4.546228536640305,0.04154744347287777,-0.07322971843721637,0.2541524879746588,1.0
