collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/step_penalty,train/action_bonus_coef
131072,-0.0016052891733124852,2.1415328979492188,2.1431381871225312,-2.4812796115875244,-1.6636557579040527,3.7689011096954346,-0.056960031390190125,-0.020383387804031372,1.6898643970489502,0.059608615934848785,0.477294921875,-2.4812796115875244,14.229020118713379,6.001568794250488,0.0005027635788094066,0.001698572532095114,-0.05959512071534246,16.29043388277351
262144,0.021428044885396957,-1.0849363803863525,-1.1063644252717495,-1.315708875656128,-1.6746180057525635,3.5313544273376465,-0.05842379480600357,-0.019576091319322586,1.6229362487792969,0.05855114385485649,0.486328125,-1.315708875656128,10.822731018066406,6.415185451507568,0.0005025839562374847,0.0016979656823158731,-0.05970135087704539,16.29043388277351
393216,-0.009868098422884941,-2.600670337677002,-2.590802239254117,-0.7617901563644409,-1.651606798171997,3.401289939880371,-0.06593132019042969,-0.020098824054002762,1.6662728786468506,0.03825695440173149,0.412841796875,-0.7617901563644409,9.598397254943848,11.22025203704834,0.0005024043336655628,0.0016973588325366322,-0.059807581038748316,16.29043388277351
524288,-0.01835048943758011,-4.165990829467773,-4.147640340030193,-0.43025141954421997,-1.6799514293670654,2.586233377456665,-0.05412665754556656,-0.019511859863996506,1.6176111698150635,0.08406288921833038,0.500732421875,-0.43025141954421997,9.37132453918457,5.6021623611450195,0.0005022247110936409,0.0016967519827573916,-0.05991381120045124,16.29043388277351
655360,0.0002591349184513092,-3.7649707794189453,-3.7652299143373966,-0.01908981055021286,-1.6774888038635254,2.726703405380249,-0.06307229399681091,-0.019947567954659462,1.6537331342697144,0.06584317237138748,0.488525390625,-0.01908981055021286,9.75705337524414,4.184893608093262,0.000502045088521719,0.0016961451329781507,-0.06002004136215417,16.29043388277351
786432,-0.004990229848772287,-2.6596226692199707,-2.6546324393711984,-0.3804973363876343,-1.6674494743347168,2.700906276702881,-0.060683660209178925,-0.020465858280658722,1.6967015266418457,0.04413003474473953,0.4658203125,-0.3804973363876343,9.6699800491333,12.701087951660156,0.0005018654659497971,0.0016955382831989098,-0.0601262715238571,16.29043388277351
917504,0.00040478073060512543,-1.7785731554031372,-1.7789779361337423,-0.6977883577346802,-1.6854313611984253,2.6383872032165527,-0.05894628167152405,-0.019800186157226562,1.641514539718628,0.049125999212265015,0.477783203125,-0.6977883577346802,9.815240859985352,4.282071113586426,0.0005016858433778752,0.001694931433419669,-0.060232501685560026,16.29043388277351
1048576,-0.001732547301799059,-1.9083980321884155,-1.9066654848866165,-0.762560248374939,-1.6614491939544678,2.788038969039917,-0.05148893594741821,-0.02071540057659149,1.7173893451690674,0.07123206555843353,0.531005859375,-0.762560248374939,9.782371520996094,13.083855628967285,0.0005015062208059533,0.0016943245836404282,-0.060338731847262954,16.29043388277351
1179648,-0.01242661289870739,-3.440046787261963,-3.4276201743632555,-0.6890491247177124,-1.6661829948425293,2.9790873527526855,-0.06807518005371094,-0.020367823541164398,1.688573956489563,0.05063290894031525,0.446533203125,-0.6890491247177124,10.099690437316895,18.367067337036133,0.0005013265982340313,0.0016937177338611873,-0.06044496200896588,16.29043388277351
1310720,-0.007903525605797768,-4.962963104248047,-4.955059578642249,-0.34849250316619873,-1.6917688846588135,2.9995813369750977,-0.059224341064691544,-0.020404638722538948,1.6916260719299316,0.042948879301548004,0.443603515625,-0.34849250316619873,9.922134399414062,11.95638656616211,0.0005011469756621094,0.0016931108840819464,-0.06055119217066881,16.29043388277351
1441792,0.002648908644914627,-4.557299613952637,-4.559948522597551,0.09217502176761627,-1.6676958799362183,2.757014513015747,-0.062314607203006744,-0.019783219322562218,1.6401079893112183,0.05088759958744049,0.4619140625,0.09217502176761627,10.047224044799805,6.750578880310059,0.0005009673530901876,0.0016925040343027057,-0.06065742233237174,16.29043388277351
1572864,-0.006623466499149799,-5.113593101501465,-5.106969635002315,-0.09169326722621918,-1.6930533647537231,2.9387879371643066,-0.06893676519393921,-0.01995338872075081,1.6542155742645264,0.0620119646191597,0.474365234375,-0.09169326722621918,10.47805118560791,7.271779537200928,0.0005007877305182657,0.0016918971845234648,-0.06076365249407466,16.29043388277351
1703936,0.0007151778554543853,-4.156520843505859,-4.157236021361314,-0.5098408460617065,-1.6778576374053955,2.7094740867614746,-0.060604386031627655,-0.020147357136011124,1.6702964305877686,0.06344832479953766,0.475830078125,-0.5098408460617065,10.384317398071289,5.406716346740723,0.0005006081079463439,0.001691290334744224,-0.060869882655777585,16.29043388277351
1835008,-0.0011426785495132208,-3.4791393280029297,-3.4779966494534165,-0.348919153213501,-1.6656792163848877,3.18422269821167,-0.058556921780109406,-0.020683519542217255,1.7147464752197266,0.05234726518392563,0.472412109375,-0.348919153213501,10.494367599487305,29.518205642700195,0.0005004284853744219,0.001690683484964983,-0.06097611281748051,16.29043388277351
1966080,0.010488682426512241,-5.892071723937988,-5.9025604063645005,-0.16734451055526733,-1.6823866367340088,3.8174500465393066,-0.05936788022518158,-0.019901804625988007,1.6499390602111816,0.02333979308605194,0.314208984375,-0.16734451055526733,10.592286109924316,35.25071334838867,0.0005002488628025,0.0016900766351857423,-0.06108234297918344,16.29043388277351
2097152,-0.004353735595941544,-2.7134437561035156,-2.709090020507574,-0.6713184118270874,-1.6594579219818115,2.778542995452881,-0.06128042936325073,-0.019764818251132965,1.6385825872421265,0.057506218552589417,0.497314453125,-0.6713184118270874,9.967352867126465,6.623302459716797,0.0005000692402305782,0.0016894697854065016,-0.06118857314088637,16.29043388277351
2228224,0.0005422094836831093,-2.4098105430603027,-2.410352752543986,-0.4837627112865448,-1.675044298171997,3.165173292160034,-0.0652766078710556,-0.020215189084410667,1.6759198904037476,0.06054944545030594,0.48046875,-0.4837627112865448,10.438370704650879,20.62643051147461,0.0004998896176586562,0.0016888629356272607,-0.061294803302589296,16.29043388277351
2359296,0.00696632731705904,-3.2022836208343506,-3.2092499481514096,-0.48693493008613586,-1.6656115055084229,2.951828718185425,-0.055422618985176086,-0.020239099860191345,1.677902340888977,0.06194651126861572,0.472412109375,-0.48693493008613586,10.179200172424316,6.437500953674316,0.0004997099950867343,0.0016882560858480198,-0.06140103346429222,16.29043388277351
2490368,0.003470831550657749,-3.0435733795166016,-3.0470442110672593,-0.6559561491012573,-1.674804449081421,4.45933723449707,-0.06123046576976776,-0.020777473226189613,1.722535490989685,0.049186378717422485,0.43017578125,-0.6559561491012573,10.191814422607422,33.529727935791016,0.0004995303725148125,0.0016876492360687792,-0.061507263625995165,16.29043388277351
2621440,0.004214505665004253,0.7448486685752869,0.7406341629102826,-1.0485748052597046,-1.6966822147369385,2.7820425033569336,-0.049398891627788544,-0.020044196397066116,1.6617438793182373,0.07038944214582443,0.512939453125,-1.0485748052597046,9.782127380371094,8.373833656311035,0.0004993507499428906,0.0016870423862895383,-0.06161349378769809,16.29043388277351
2752512,0.002279273234307766,0.6575210094451904,0.6552417362108827,-1.3342914581298828,-1.6815388202667236,2.722696304321289,-0.05528831481933594,-0.020535320043563843,1.7024602890014648,0.0558801144361496,0.497802734375,-1.3342914581298828,9.83077335357666,4.144772052764893,0.0004991711273709688,0.0016864355365102974,-0.06171972394940102,16.29043388277351
2883584,-0.05915570631623268,0.4601276218891144,0.5192833282053471,-3.3479528427124023,-1.7145649194717407,3.502394914627075,-0.060840170830488205,-0.020285949110984802,1.6817861795425415,0.052815042436122894,0.4541015625,-3.3479528427124023,11.195600509643555,18.854976654052734,0.0004989915047990469,0.0016858286867310567,-0.06182595411110395,16.29043388277351
