collected_frames,var_decomp/shaping,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
131072,2.285956382751465,0.03833918645977974,0.3944557011127472,0.5374559164047241,0.5415400266647339,-0.59199059009552,7.521973133087158,-0.27403566241264343,0.1520090252161026
262144,0.18443742394447327,0.042908988893032074,-0.058884620666503906,0.033125873655080795,-0.5910516977310181,-0.37878820300102234,5.174098491668701,-0.06918804347515106,5.371798515319824
393216,0.4718018174171448,0.005136806983500719,0.008548480458557606,0.20799453556537628,-0.35144951939582825,-0.19913338124752045,3.005282402038574,-0.04689263179898262,7.381586074829102
524288,0.23848572373390198,-0.009855708107352257,0.05782528221607208,0.12942269444465637,0.16609230637550354,0.6411910653114319,1.638654112815857,0.015905341133475304,7.751846790313721
655360,0.5822884440422058,0.005684530362486839,0.050161492079496384,0.0004709355707745999,0.17171870172023773,0.502766489982605,2.670128345489502,-0.04473533481359482,7.194766044616699
786432,0.2571907937526703,0.020211074501276016,0.00760843837633729,0.05973418802022934,0.18439917266368866,0.7715691924095154,1.5690739154815674,0.10619466751813889,8.162542343139648
917504,0.25946709513664246,0.005916744936257601,-0.05356631055474281,0.09199436008930206,0.09159304201602936,0.7332246899604797,1.7028907537460327,-0.06117501109838486,8.283304214477539
1048576,-0.0005562424776144326,0.005335022695362568,0.057410918176174164,-0.010756289586424828,0.006011784076690674,0.7099246382713318,0.9675806164741516,0.022880690172314644,9.21215534210205
1179648,0.15599185228347778,-0.00987916998565197,0.019103730097413063,0.001568791689351201,0.27005109190940857,0.3674499988555908,2.4164276123046875,0.02032049000263214,7.395594596862793
1310720,0.49674326181411743,0.09442811459302902,0.11892970651388168,0.06780342757701874,0.38721132278442383,-0.02335858903825283,2.9093592166900635,0.012765194289386272,7.240727424621582
1441792,0.3827698528766632,0.06154647842049599,0.10380925238132477,0.03857511654496193,0.06713828444480896,0.327848881483078,2.4170150756835938,0.006671595387160778,7.523131370544434
1572864,0.2974192202091217,0.04784516245126724,0.11934097111225128,0.09397929906845093,0.1615067422389984,0.6293193697929382,2.1174113750457764,-0.09169653803110123,7.228184223175049
1703936,0.20656031370162964,-0.02345866709947586,-0.053202442824840546,0.03458991274237633,0.004497813992202282,0.7112209796905518,1.9453293085098267,0.0329366959631443,7.957282066345215
1835008,0.21496741473674774,0.020402099937200546,0.10110048949718475,-0.008729606866836548,0.14123177528381348,0.5635291337966919,1.8542180061340332,0.06953798234462738,7.956951141357422
1966080,0.2248363494873047,-0.017448559403419495,-0.01735103875398636,0.05651972070336342,0.09366273880004883,0.458916038274765,2.162402868270874,-0.10181781649589539,7.751722812652588
2097152,0.31500768661499023,0.003273456357419491,0.048001646995544434,0.08423856645822525,0.3029019236564636,0.6570749878883362,1.6118391752243042,0.02497963048517704,7.663161277770996
2228224,0.04219619929790497,-0.0036953710950911045,0.18150703608989716,0.030607296153903008,0.25045129656791687,0.6669055819511414,1.642379641532898,0.12451954931020737,7.871190071105957
2359296,0.22663865983486176,-0.026092860847711563,0.04110288992524147,0.09279004484415054,0.2372407168149948,0.48544543981552124,2.411349058151245,0.0384100079536438,7.356877326965332
2490368,0.312234491109848,0.019404491409659386,-0.008290703408420086,0.040780093520879745,0.24611422419548035,0.5274633765220642,1.8779488801956177,-0.08674097061157227,8.001935005187988
2621440,0.021177874878048897,0.022291801869869232,0.0334041491150856,-0.02316492609679699,-0.015099700540304184,0.49144935607910156,1.9520833492279053,-0.0543416365981102,8.644721984863281
2752512,0.07572276145219803,0.01789841800928116,0.001491710776463151,-0.024522390216588974,0.18340834975242615,0.7189284563064575,1.8117467164993286,-0.03339081257581711,8.261785507202148
2883584,0.9544343948364258,0.024099864065647125,0.07662184536457062,0.11966295540332794,0.04286343231797218,0.32152214646339417,5.301632881164551,-0.01423535868525505,7.2961530685424805
3014656,0.015164139680564404,-0.025937696918845177,-0.05239589139819145,0.08450442552566528,0.21134203672409058,0.385639488697052,2.3351874351501465,-0.06652233749628067,6.331932067871094
3145728,0.11904016137123108,0.015361142344772816,0.001447632908821106,-0.004419069271534681,0.13667868077754974,0.6176812648773193,1.4622267484664917,0.025322580710053444,8.051761627197266
3276800,0.2502961754798889,0.006082493811845779,0.09658724814653397,-0.06638119369745255,0.20748023688793182,0.28978389501571655,2.7746667861938477,0.08476627618074417,6.879443645477295
3407872,0.5004243850708008,0.007493604440242052,0.05252900719642639,-0.00465425243601203,0.05915551632642746,0.5740291476249695,2.326941728591919,-0.08838018774986267,7.020185470581055
3538944,0.18558475375175476,0.05962853878736496,0.01318059116601944,-0.0562233068048954,0.12390729039907455,0.05656932294368744,2.057968854904175,0.15517650544643402,8.19182300567627
3670016,0.22520752251148224,-0.001794312265701592,0.10090269148349762,0.09697993844747543,0.19713246822357178,0.14024871587753296,2.294811248779297,-0.06527771055698395,7.469281196594238
3801088,0.09374874085187912,0.019448673352599144,-0.008076922968029976,0.06446020305156708,0.09336912631988525,0.6263424158096313,1.5924334526062012,-0.016853610053658485,8.257843971252441
3932160,0.30268558859825134,-0.01515272632241249,0.03197988495230675,0.06359486281871796,0.13578584790229797,0.5527902841567993,1.5681387186050415,0.02283393405377865,8.30233383178711
4063232,0.18430063128471375,0.01327633298933506,0.005646361969411373,-0.037449274212121964,0.15245522558689117,0.45915892720222473,1.4040589332580566,0.06849125027656555,8.69357681274414
4194304,0.2920374870300293,-0.007577989716082811,-0.02316426672041416,0.044897209852933884,0.1336926817893982,0.45496615767478943,2.0507261753082275,0.009407061152160168,8.091888427734375
4325376,0.2121194452047348,0.0061895353719592094,0.0967167317867279,0.07120933383703232,0.12898708879947662,0.6596196889877319,1.9257718324661255,-0.028219124302268028,8.068215370178223
4456448,0.28721368312835693,0.04780952259898186,0.1383924037218094,0.0211818665266037,-0.05115830525755882,0.4675344228744507,2.394763708114624,-0.11238005757331848,7.867580413818359
4587520,0.08943358808755875,0.0173146054148674,0.14708921313285828,0.016887690871953964,0.18391121923923492,0.3853013813495636,1.9432718753814697,0.09092068672180176,8.334135055541992
