collected_frames,grad_contrib/shaping,grad_contrib/roll_penalty,grad_contrib/roll_rate_penalty,grad_contrib/pitch_penalty,grad_contrib/pitch_rate_penalty,grad_contrib/shock_penalty,grad_contrib/action_bonus,grad_contrib/flipper_action_bonus,grad_contrib/terminal_bonus
131072,-0.2900460349385241,-0.0066350170727222,-0.0014752290445723118,-0.0341354165081222,0.0567917964461222,0.07700229884740259,-0.46990584236681654,0.03823931004970069,0.02576905472601721
262144,-0.07754761391109248,-0.004250900500166919,0.004341113173818394,-0.017520107865190745,0.05532137701030088,0.061330837124706675,-0.40537532633815526,0.012228766557625701,-0.3620839575189429
393216,0.23653384008958367,0.0013853638854818438,-0.0043131680384069565,0.0473676852513199,-0.12663788081464952,-0.11729373155919756,0.09018268129291197,-0.02825719425685661,0.34802845481159195
524288,-0.3057580685824603,-0.00901433957253056,0.04236754776880504,-0.011325896885511885,-0.1560569088977278,-0.105541196906638,-0.04759657968912633,0.004545836653973637,0.3177936250432264
655360,-0.2305591015111834,0.003168590889110043,-0.007726552872239302,-0.06517554413016176,0.017976021108348467,0.116348211806489,-0.2606055477884603,0.02605799102994785,0.2723824388640599
786432,-0.3476898643637652,-0.010668389550044729,-0.0057092999549691,-0.1424744582829958,0.03536188305247789,0.26460012735452043,-0.03311178285967577,-0.016456767457565497,0.14392742712398557
917504,0.002135155339652198,0.005151321223263136,0.009054837499991432,-0.00879491525355589,0.029668926453645633,0.05493155362044129,0.1437160738351906,-0.03792094295445665,0.7086262738198031
1048576,0.0009584724502285897,-0.015258425356429087,0.04232028295798627,0.0043440097478196615,0.04323002863114718,0.05207378775443251,-0.2743025229594341,-0.008876778388593989,0.5586356917539287
1179648,-0.22935479846256676,-0.008931763059037796,-0.11149863898636396,-0.15667806384411778,-0.10451221597415972,0.19849896133173753,0.039448152180953294,-0.0002179379856547498,-0.15085946817540843
1310720,-0.04939808741824949,0.04387729266286174,0.062131378482561624,0.014231141919942325,0.05733654148814894,-0.11221237395622129,0.4076709364617846,-0.01107428892391681,0.24206795868631317
1441792,0.2020347600551649,0.0275131866205347,0.048355095843302345,0.01065848741623124,-0.022285680982665267,-0.05171076271331692,0.07535955386943985,0.01901547409165748,-0.5430669984076872
1572864,-0.3824145720436385,0.001036677234776176,0.03361377696288799,-0.028741490210298502,-0.04162096271478846,0.03409597242251987,-0.3307861407957687,0.09110374677509737,0.05658666084022445
1703936,-0.02086890723562038,-0.0006305728432980363,-0.04273782797813179,-0.08837982335728424,-0.1555712601263542,0.19253438050393018,-0.19680578050253472,0.008111639494799937,-0.2943598079580465
1835008,-0.0023568372227952754,0.03747782459984097,-0.030159534264940967,-0.08394250497252582,0.025397407945240386,0.1982049707160537,0.4394691737091624,-0.08226315070785499,0.10072859586158554
1966080,-0.010468296130794901,0.0015669655474038675,0.007490121426339294,-0.06871139959103027,0.07199026042340123,0.0812718079987251,-0.3399424525484662,-0.0027992019807837228,-0.41575949435305537
2097152,-0.06007487988098284,0.03315854464102705,0.028539967720858293,0.08698029356263093,0.02229969026390102,-0.02132840438090469,-0.003881079787469689,0.04087878533931865,0.7028583544229068
2228224,-0.13330272230361367,-0.0009415563934147769,-0.12522330604616969,-0.12173613472553411,-0.14415793426027765,-0.06909379368337057,-0.021712823679976748,0.018688322827086812,-0.365143406080556
2359296,0.0860064567910262,0.07469710224776918,0.13016454849815431,0.0008218885338171996,5.176218327669634e-05,0.28963356326249895,0.2959557183556636,-0.053973825914616635,-0.06869513421317723
2490368,-0.4536761034775815,0.0032153048546832365,0.03770365381094718,-0.005331857777223817,0.04469362738586103,-0.03190836914852258,0.12420899919805303,0.031441918722306755,-0.26782016562482086
2621440,-0.12182228940614558,0.015421498522460294,-0.006987912739264345,-0.014372954240854082,-0.04430519474545953,0.006002954170118003,0.5094256061512189,-0.016319929389569013,0.26534166063491027
2752512,-0.08344475833693006,0.011189144297799963,0.001961419212133723,0.009548023202479168,-0.025674288492580005,0.08504655734312672,-0.30127904772053815,0.03994309881966746,0.44191366257474474
2883584,-0.13484619791672148,-0.006813815319912739,-0.005986894327792714,-0.012884722146700599,0.020383276977176644,0.05326433373430812,-0.6111563836358982,0.00919029624763771,-0.14547407969385184
3014656,-0.20172941813120446,-0.02270050796217011,-0.025430600318606982,0.010622028081736278,-0.024446253662139237,-0.04473776268161571,0.4858382413038907,0.002662216425044204,0.18183297143359234
3145728,0.14257440544792618,0.04513426139731423,0.0020163791826478834,-0.04219820862899544,-0.09442359777146914,0.12145810404942131,-0.0013699076461578905,0.04137096596417874,-0.5094541699118892
3276800,-0.2633878502837173,0.061638103000856814,0.012761471468916007,-0.04105918431175947,0.031408479940030556,-0.06072499016500441,-0.4148962458740746,0.04691246829609173,0.06721120665954915
3407872,0.17280356773712946,0.0031704632171064436,0.019513451343096965,-0.018350852759639505,-0.034950265293083954,0.036095084896798336,0.4728537260349292,-0.04104964573660121,-0.2012129429816149
3538944,0.11457464454138083,0.019389803571619176,-0.006688203868255357,-0.03390027589997498,0.055913572889670415,0.033141796995928736,0.677525777355047,-0.00866104400728576,0.05020488087083775
3670016,-0.05704641561052408,-0.017897164038934047,-0.0014895252654046865,-0.00300196239144106,-0.014317661522190273,0.07689853476001753,-0.549484945134733,0.032234226470630824,0.24762956480612447
3801088,-0.0506141195593348,-0.010388800167240461,-0.004310307245845261,-0.017986408081045357,0.08905988389847874,0.06301244834318517,-0.16565965748295947,-0.008458489745874048,0.5905098854760367
3932160,-0.043503475909304,0.010137707629676347,-0.020936943928377034,-0.09582504006615507,-0.13349835643876337,0.046710759031449896,0.42022876531183817,0.011701192888571693,0.21745775879586443
4063232,0.21740569856635508,0.008466891322967587,0.038120963915998285,-0.09998168881972105,0.03676322199166672,-0.043186207349627075,0.48040565495455173,0.03583207029973257,0.03983760277937991
4194304,0.1591735617590831,0.0042654108424863306,0.08805044527555494,-0.08268701604264429,-0.03142142528243801,0.10359782746298123,-0.11138898283959044,-0.00426524940503359,0.4151500810901881
4325376,-0.01240995447541306,-0.019576480221797324,-0.046909078415394836,-0.06742116152496014,0.009088683680720772,-0.023058032118009896,-0.29178822979824803,0.04508906992694747,0.4846593098385085
4456448,-0.11877472921296814,-0.024528670592811292,-0.006004314102167526,0.022117481080769996,0.07466116289148042,0.0003620274244719985,-0.5664788667338956,-0.0012036633537401823,0.18586908460769486
