attempt,collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/flipper_delta_front
0,131072,-0.051792836506137974,0.0356343864586961,-0.13528199223219417
0,262144,-0.10438283975236118,0.1333619897486642,-0.24082069715950638
0,393216,-0.07212902955507161,0.07211507018837437,-0.1606545207905583
0,524288,-0.04716256627580151,0.06921779474942014,-0.09245878993533552
0,655360,-0.05431869659514632,0.07562108818092383,-0.09634847301640548
0,786432,-0.04203411360504106,0.06938268279191107,-0.06782992453372572
0,917504,-0.041014906943019014,0.08007224695757031,-0.07169780932599679
0,1048576,-0.04710338452423457,0.07467531660222448,-0.049061519785027485
0,1179648,-0.1635534854334158,-0.24959218983926498,-1.2272708781793091
0,1310720,-0.16283386130817235,-0.2489553923951462,-1.2309947679750621
0,1441792,-0.09219793035299517,-0.13282076129689813,-0.7401456446386874
0,1572864,-0.04149371977473493,0.0009688290429039625,-0.20004978295764886
0,1703936,-0.012390184907417279,0.05200312347733416,0.11386702372692525
0,1835008,-0.03845533583807992,0.03731320275255712,-0.07642449468221457
0,1966080,-0.03851326435687952,0.0310964334057644,-0.17776924767531455
0,2097152,-0.01740651993532083,0.0385238632443361,-0.07360645354128792
0,2228224,-0.10226826533607285,0.19293493828658637,0.4907119636796415
0,2359296,-0.09340047839214094,0.18472063256194815,0.5113819013349712
0,2490368,-0.1516899501439184,0.22307249868754297,0.3022729188669473
0,2621440,-0.11123737401794642,0.1753859679447487,0.16630939999595284
0,2752512,-0.062462658213917166,0.11533488903660327,0.06977418089445564
0,2883584,-0.062301285594003275,0.1121296890778467,0.07493118449201575
0,3014656,-0.05271465115947649,0.11914097669068724,0.15369778027525172
0,3145728,-0.07536857281229459,0.14942192361922935,0.13363246514927596
0,3276800,0.10774496691767127,0.005063903665577527,0.9532644620289406
0,3407872,0.11340697819832712,-0.0008829247362882597,0.9549909993074834
0,3538944,0.028040075559601974,0.06475328910164535,0.6791580507997423
0,3670016,-0.06252281641354784,0.13960563577711582,0.3055968605913222
0,3801088,-0.05402328018681146,0.13479196012485772,0.17049018875695765
0,3932160,-0.054025698569603264,0.11767887376481667,0.13117016811156645
0,4063232,-0.056451456825016066,0.11508482648059726,0.09151833783835173
0,4194304,-0.050584720927872695,0.1220819226000458,0.24913007562281564
0,4325376,-0.04462674588081427,0.173893017967542,0.8702795617065082
0,4456448,-0.027351315319720015,0.16501999250613153,0.8924884884618223
0,4587520,-0.08659737196285278,0.2076477202353999,0.6566950185224414
0,4718592,-0.09537958636065014,0.18815393862314522,0.42858917103148997
0,4849664,-0.08578245434910059,0.17287941626273096,0.3284409132320434
0,4980736,-0.08571724375360645,0.16760638251435012,0.334839868824929
0,5111808,-0.08124497372773476,0.17711065709590912,0.3163815438747406
0,5242880,-0.10814270406262949,0.20595027063973248,0.3095126661937684
0,5373952,-0.053005777078603086,0.18531676219950896,0.6413266025017947
0,5505024,-0.04573623496617074,0.18008834531065077,0.6532500644680113
0,5636096,-0.13286954702925868,0.2127530762227252,0.47206710441969335
0,5767168,-0.1812534590717405,0.23866727959830314,0.1372609711252153
0,5898240,-0.19743513595312834,0.2313108464004472,-0.18980851538299248
0,6029312,-0.1841549232485704,0.21886402752716094,-0.12691833318876888
0,6160384,-0.12411548220552504,0.19774174923077226,0.20565607683965936
0,6291456,-0.15734112623613328,0.23445967212319374,0.22867078706622124
0,6422528,-0.21777547555218918,0.2976514530228451,-0.35554830604077625
0,6553600,-0.18987004860537127,0.2744666630169377,-0.30352023619343527
0,6684672,-0.22854100563563406,0.29383433086331934,-0.186434424307663
0,6815744,-0.23275429452769458,0.27491035719867796,-0.13521867615054362
0,6946816,-0.19660802360158414,0.26166130090132356,0.10458112348533177
0,7077888,-0.17217117227846757,0.25536696275230497,0.27057663816958666
0,7208960,-0.2161094619659707,0.27195095329079777,-0.06270804863743251
0,7340032,-0.23395271541085094,0.24603480636142194,-0.43450911599211395
0,7471104,0.05567461606328531,0.2228001104517413,1.2825247339314472
0,7602176,0.052978796884417534,0.21737124864012003,1.2700944640673697
0,7733248,0.003195806975782034,0.2336654196260497,0.9486186653375626
0,7864320,-0.09098886221181601,0.24227640114258975,0.5399586402345449
0,7995392,-0.1958969656843692,0.27272972953505814,0.18763204553397372
0,8126464,-0.21925653144717216,0.26726135914213955,0.01644723670779058
0,8257536,-0.19918154855258763,0.2583972559077665,-0.06338636385044083
0,8388608,-0.3252270012162626,0.3360525465104729,-0.5913551976555027
0,8519680,-0.26992039250597977,0.34291781837382584,-0.2828881961293519
0,8650752,-0.2778217097511515,0.3481206891592592,-0.29521068901522085
0,8781824,-0.2550514241447672,0.33697018260136247,-0.062397786357905716
0,8912896,-0.24705625278875232,0.31599883409217,0.050046990433202154
0,9043968,-0.3086297935806215,0.3313570483587682,-0.44469764397945255
0,9175040,-0.2675881803734228,0.28297319496050477,-0.44231400382705033
0,9306112,-0.22300022060517222,0.2709115034667775,-0.2287277397699654
0,9437184,-0.2588644450297579,0.30533863278105855,-0.3338549704058096
0,9568256,-0.1599951191236808,0.2971220047923271,0.4115629895411742
0,9699328,-0.15421733033144847,0.2968876702943817,0.417972945204383
0,9830400,-0.2559374765260145,0.3385230533313006,-0.05486167852541257
0,9961472,-0.2569227807689458,0.31888935493770987,-0.2878344695782289
0,10092544,-0.20134906517341733,0.2820636051474139,0.04705304575327318
0,10223616,-0.10702674777712673,0.21731121465563774,0.3922536578029394
0,10354688,-0.1750394051487092,0.2351471809670329,-0.10001486477995059
0,10485760,-0.2730571562424302,0.295032563386485,-0.5681542521342635
1,10616832,-0.47519596350185267,0.4397232352554177,-1.176741842944951
1,10747904,-0.4876760155893862,0.44373872480355203,-1.2053831396624446
1,10878976,-0.32791796000674367,0.37106231483630836,-0.26387788465717676
1,11010048,-0.24013176013249904,0.3346799951978028,0.08700523964944296
