attempt,collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
0,131072,4.57763671875e-05,0.0,0.0
0,262144,0.000152587890625,0.0,0.0
0,393216,0.00012969970703125,1.52587890625e-05,0.0
0,524288,8.392333984375e-05,0.0,0.0
0,655360,0.00012969970703125,0.0,0.0
0,786432,0.0001068115234375,0.0,0.0
0,917504,6.866455078125e-05,0.0,0.0
0,1048576,5.340576171875e-05,0.0,0.0
0,1179648,9.918212890625e-05,0.0,0.0
0,1310720,0.0007669839514307229,7.35363328313253e-06,0.0
0,1441792,9.918212890625e-05,7.62939453125e-06,0.0
0,1572864,6.866455078125e-05,0.0,0.0
0,1703936,0.0001220703125,0.0,0.0
0,1835008,6.103515625e-05,0.0,0.0
0,1966080,8.392333984375e-05,0.0,0.0
0,2097152,6.866455078125e-05,0.0,0.0
0,2228224,8.392333984375e-05,0.0,0.0
0,2359296,2.647307981927711e-05,0.0,0.0
0,2490368,0.0002593994140625,0.0,0.0
0,2621440,0.000274658203125,0.0,0.0
0,2752512,0.00016021728515625,0.0,0.0
0,2883584,0.000213623046875,0.0,0.0
0,3014656,0.00020599365234375,0.0,0.0
0,3145728,0.00026702880859375,0.0,0.0
0,3276800,0.00030517578125,0.0,0.0
0,3407872,8.088996611445784e-06,0.0,0.0
0,3538944,6.866455078125e-05,0.0,0.0
0,3670016,0.00037384033203125,0.0,0.0
0,3801088,0.0002288818359375,0.0,0.0
0,3932160,5.340576171875e-05,0.0,0.0
0,4063232,0.00012969970703125,0.0,0.0
0,4194304,0.00025177001953125,7.62939453125e-06,0.0
0,4325376,0.0002593994140625,0.0,0.0
0,4456448,8.162532944277108e-05,0.0,0.0
0,4587520,0.0001678466796875,0.0,0.0
0,4718592,0.0001220703125,0.0,0.0
0,4849664,6.866455078125e-05,0.0,0.0
0,4980736,0.00011444091796875,0.0,0.0
0,5111808,0.00025177001953125,0.0,0.0
0,5242880,0.00016021728515625,0.0,0.0
0,5373952,7.62939453125e-05,0.0,0.0
0,5505024,6.985951618975904e-05,0.0,0.0
0,5636096,0.0001373291015625,0.0,0.0
0,5767168,0.00016021728515625,7.62939453125e-06,0.0
0,5898240,0.0001068115234375,0.0,0.0
0,6029312,0.00019073486328125,0.0,0.0
0,6160384,0.00017547607421875,0.0,0.0
0,6291456,0.000213623046875,0.0,0.0
