attempt,collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
0,131072,-0.0004583798932955574,-5.887407374647463e-05,-0.0034242505780639476,0.0035400390625,-0.0004012588172841447
0,262144,-0.0005305904355736857,-0.00017334370835442314,-0.004065523933604709,0.002960205078125,-0.001808525046271825
0,393216,-0.0004940557992085814,-0.00011725733466505517,-0.003760503380362934,-0.008148193359375,-0.012519324113782204
0,524288,-0.0005078089177459333,-0.00011487310428037745,-0.003941637576645007,0.000946044921875,-0.0036178919813210086
0,655360,-0.0005077978635199543,-0.00013330839306036069,-0.003835266512396629,-0.00494384765625,-0.009419633028301178
0,786432,-0.0005242823274329567,-0.00012805732995957442,-0.003873736264722538,-0.0005340576171875,-0.00505965796946839
0,917504,-0.0005369108280319779,-0.00012332273860238274,-0.003932080369850155,0.0002288818359375,-0.00436311486419072
0,1048576,-0.0005198527342145098,-0.0001256933730360288,-0.0037192603540461278,-0.0037994384765625,-0.008164012319866742
0,1179648,-0.0005208541238062026,-0.00011845826765011225,-0.0038285458304017084,-0.0008697509765625,-0.0053371618187156855
0,1310720,-0.0007335371892622788,-4.607543192491903e-05,-0.004415705685460125,-0.00250244140625,-0.007693165583987138
0,1441792,-0.0006126668563410931,-3.322592091592469e-05,-0.004109168567083543,-0.000701904296875,-0.005456458732169267
0,1572864,-0.0005167457213701709,-8.887587686956522e-05,-0.0038204119009606075,-0.003021240234375,-0.007446973595506279
0,1703936,-0.0005079874115381244,-0.0001290453458864249,-0.0037895303139521275,-0.0024871826171875,-0.006913199732935027
0,1835008,-0.0005255712890175346,-0.00013146299113486748,-0.0040318058236152865,-0.0010528564453125,-0.0057414130683355324
0,1966080,-0.0005170361750970187,-0.00010307256474106907,-0.00397513757343404,-0.0023193359375,-0.006914192023941723
0,2097152,-0.0005133775412105024,-8.35706050850149e-05,-0.0039118995246099075,-0.001556396484375,-0.006064932160825265
0,2228224,-0.0005090951260626753,-8.180647498079452e-05,-0.0038812071088614175,-0.0022430419921875,-0.006714775962791464
0,2359296,-0.0003423823412731508,-0.00010820131649325049,-0.002858224033843726,0.0006256103515625,-0.0026831247960217297
0,2490368,-0.0003536108085882006,-0.0001855455415693541,-0.0035074699171673274,-0.0003204345703125,-0.004365949951534276
0,2621440,-0.00042084663914465636,-0.00019259579755726008,-0.0035898933911084896,-0.00341796875,-0.007620150451657537
0,2752512,-0.00045660391469937167,-0.0001322134706356337,-0.003664534760901006,-0.0016021728515625,-0.005854834997535363
0,2883584,-0.0004600037341333518,-0.0001579490996732602,-0.0036825334809691412,-0.00274658203125,-0.007046157557397237
0,3014656,-0.00047314983817159373,-0.0001214137994338671,-0.0035077274642389966,-0.002349853515625,-0.006451298138472339
0,3145728,-0.00047923383908710093,-0.00017331981081269987,-0.0035220183581259334,-0.001678466796875,-0.0058519267345218395
0,3276800,-0.0004790742782461166,-0.0001597473801666638,-0.0036001888875034638,-0.0023193359375,-0.006557052880452829
0,3407872,-0.0004778802731379983,-4.2953410954282845e-05,-0.0029843765260011423,0.0018768310546875,-0.0016283506788568047
0,3538944,-0.00046602135353168705,-8.06420296584065e-05,-0.003402922324312385,0.0005950927734375,-0.0033542019377819088
0,3670016,-0.000444389894937558,-0.00017682294048881886,-0.00360646057924896,-0.00201416015625,-0.006240259851892915
0,3801088,-0.00047938391503521416,-0.000133362391125047,-0.003594379628339084,-0.0027923583984375,-0.006998522615958791
0,3932160,-0.0004916170084925398,-0.00010792406999371451,-0.0037203308602329344,-0.0019073486328125,-0.00622698840470548
0,4063232,-0.00047622954093640146,-0.0001421915966943743,-0.0036428205130505376,-0.0022430419921875,-0.006503732721739652
0,4194304,-0.00048660736842975894,-0.00014049591902676184,-0.003496428133075824,-0.001495361328125,-0.005617823220745777
0,4325376,-0.0004709753231963987,-0.00016108624652133585,-0.003356927107233787,-0.001922607421875,-0.005910562553708587
0,4456448,-0.0004803504662049818,-2.8114129442258218e-05,-0.0025756894392543472,-7.62939453125e-05,-0.003160075169944321
0,4587520,-0.0004547347409697977,-0.00013009622844606383,-0.0030029198424017522,-0.0005645751953125,-0.004151698173245677
0,4718592,-0.0004321870210333145,-0.0001657978563684992,-0.0033147323483717628,-0.003387451171875,-0.007299685433281411
0,4849664,-0.0004292652117783291,-0.00017291312383349577,-0.0033966485661949264,-0.00225830078125,-0.006256853252580186
0,4980736,-0.0004333585866334033,-0.00015971793749258723,-0.0034706705064309062,-0.002471923828125,-0.00653519971683636
0,5111808,-0.0004207282952393143,-0.0001857399468008225,-0.0033394100428267848,-0.0024566650390625,-0.006401568135970592
0,5242880,-0.0004283493178718345,-0.00014740880760655273,-0.003351216324517736,-0.0014190673828125,-0.005345409813799051
0,5373952,-0.00039997655358092743,-0.00012628291949567938,-0.0034377617994323373,-0.0024566650390625,-0.0064203840888694685
0,5505024,-0.0003506675110429569,-1.4769327613350924e-05,-0.002750111715613457,-0.0004730224609375,-0.0035882883898921136
0,5636096,-0.0003635107746049471,-8.540760194364339e-05,-0.003295637949122465,-0.0008392333984375,-0.004583262973483215
0,5767168,-0.00036113772648604936,-0.00018054492807095812,-0.0034624560157681117,-0.0031280517578125,-0.0071315153631985595
0,5898240,-0.00040957167129818117,-0.00017648013903226456,-0.003699317667269497,-0.0021820068359375,-0.006466918243859254
0,6029312,-0.00045302716921469255,-0.0002480750357563011,-0.0034635203155630734,-0.0032501220703125,-0.007413957820972428
0,6160384,-0.00042532343195489375,-0.0001699381801358868,-0.0032937766081886366,-0.002471923828125,-0.006360268512253242
0,6291456,-0.0004049276499245025,-0.0002470614609819677,-0.003426792036407278,-0.0010833740234375,-0.0051612787110570935
0,6422528,-0.0004031056207622896,-0.00020860318068116612,-0.003445097978328704,-0.003326416015625,-0.0073824519045047055
0,6553600,-0.0005190857896195666,-0.00011915926711481006,-0.003003501830789901,-0.0015716552734375,-0.005213402147091983
0,6684672,-0.0005412650493781257,-0.0002004284110057597,-0.003421550047278288,6.103515625e-05,-0.0041016602344825515
0,6815744,-0.0004165393241919446,-0.00024607805607956834,-0.00347245424745779,-0.0055694580078125,-0.009703699906367547
0,6946816,-0.00039159646667030756,-0.00024924384217683837,-0.003380424725037301,-0.0017852783203125,-0.005805370669804688
0,7077888,-0.0004034582482290716,-0.00018261559478105482,-0.003362094357726164,-0.00372314453125,-0.007670492482247937
0,7208960,-0.0004242033060108952,-0.00025513394200515904,-0.0037421332872327184,-0.0027618408203125,-0.007181967739597894
0,7340032,-0.00046054912832005357,-0.00017183282022870117,-0.0039006134447845398,-0.0005035400390625,-0.00503625803412433
0,7471104,-0.0005055785902641219,-0.00015726916745961717,-0.00360882739914814,-0.004486083984375,-0.008756978862038522
0,7602176,-0.0005959038301170949,-4.478252922979209e-05,-0.0021815871787111973,-0.000701904296875,-0.0035241779173702525
0,7733248,-0.0004915906376936618,-6.0704905962438716e-05,-0.002682861981156748,-0.00048828125,-0.0037228628821139864
0,7864320,-0.00040367363135374035,-8.188462049929512e-05,-0.0030150730544846738,-0.0037384033203125,-0.0072386690840176016
0,7995392,-0.0003984757652233384,-0.00010753531955742801,-0.0034151914769608993,-0.001953125,-0.005874143777873542
0,8126464,-0.0004050520892633358,-9.16803981283465e-05,-0.0035458188540360425,-0.0040435791015625,-0.00808571725474394
0,8257536,-0.00042951341652042174,-0.00013000235929894188,-0.0034755066135403467,-0.0026397705078125,-0.0066745128283400845
0,8388608,-0.0005180276857572608,-0.0002882802401700246,-0.0038991651326796273,-0.0024566650390625,-0.0071602373768655525
0,8519680,-0.0005802887649224431,-0.00021539012811899738,-0.003929142876586411,-0.00384521484375,-0.008569248941057594
0,8650752,-0.0002836404414665594,-0.00031338493647581345,-0.0032874102598725585,-0.001434326171875,-0.005317569785347587
0,8781824,-0.0003741462558082276,-0.00020411495620464848,-0.0034102088884537807,-0.0011138916015625,-0.005100862076687918
0,8912896,-0.00043521006932678574,-0.00023844792281124683,-0.003460379246462253,-0.003082275390625,-0.0072148612994169525
0,9043968,-0.0004802031073722901,-0.0002708055390030495,-0.0038108013177406974,-0.003143310546875,-0.007704349942287081
0,9175040,-0.0004580979664297047,-0.0001712239505877733,-0.0037126598526810994,-0.0034942626953125,-0.007835604563751986
0,9306112,-0.00043348559256628505,-0.0002528431275550247,-0.003438011519392603,-0.0036163330078125,-0.007739553775081731
0,9437184,-0.00038945074334151286,-0.00023903169085315312,-0.0036967700707464246,-0.00140380859375,-0.00572818527552954
0,9568256,-0.0003842131566216267,-0.00019338919855727,-0.0035078445871477015,-0.0040130615234375,-0.008097263203126204
0,9699328,-0.0004443330456069816,-0.00023307925823701225,-0.002819592627020029,-0.000579833984375,-0.004076651180639601
0,9830400,-0.0004411566394537658,-0.0003096762210361703,-0.0035835808630508836,-0.0009918212890625,-0.005324925929016899
0,9961472,-0.0004154183313858084,-0.00024017990563152125,-0.0035763339747063583,-0.0033721923828125,-0.007603288556765619
0,10092544,-0.0004060263684095844,-0.00013972425216479678,-0.003337451524203061,-0.003448486328125,-0.007331274614898575
0,10223616,-0.00044236845405976055,-9.264381506568498e-05,-0.003231271570257377,-0.0033111572265625,-0.007077358913647913
0,10354688,-0.0004632721222606051,-0.0002111037399572524,-0.003619841920226463,-0.002655029296875,-0.006948067410576186
0,10485760,-0.00045598628821608145,-0.0002533833234110716,-0.0036926930861227447,-0.0030364990234375,-0.007434523774008994
1,10616832,-0.00035427414464095364,-4.958161801071198e-05,-0.002358506560199203,0.0035552978515625,0.000793016273178182
1,10747904,-0.0006441881146201922,-0.0005921320091601956,-0.0030214829967007972,-0.0042724609375,-0.008526293744125724
1,10878976,-0.000577490108071288,-0.0004170208634377559,-0.0026964222925016657,-0.0022125244140625,-0.005900228698010324
