collected_frames,env/success_rate,env/failure_rate
131072,0.9957264957264957,0.004273504273504274
262144,0.905982905982906,0.09401709401709402
393216,0.14442916093535077,0.012379642365887207
524288,0.5362035225048923,0.021526418786692758
655360,0.2964071856287425,0.008982035928143712
786432,0.4394213381555154,0.0216998191681736
917504,0.5148063781321185,0.025056947608200455
1048576,0.2948328267477204,0.013677811550151976
1179648,0.4256120527306968,0.013182674199623353
1310720,0.3784530386740331,0.04143646408839779
1441792,0.47282608695652173,0.005434782608695652
1572864,0.24,0.015
1703936,0.41360294117647056,0.03125
1835008,0.3030821917808219,0.018835616438356163
1966080,0.3624161073825503,0.028523489932885907
2097152,0.46502057613168724,0.03292181069958848
2228224,0.30844155844155846,0.032467532467532464
2359296,0.38028169014084506,0.14084507042253522
2490368,0.32079646017699115,0.13053097345132744
2621440,0.27929373996789725,0.019261637239165328
2752512,0.4395796847635727,0.008756567425569177
2883584,0.3469721767594108,0.011456628477905073
3014656,0.4239864864864865,0.008445945945945946
3145728,0.4918032786885246,0.00819672131147541
3276800,0.38803418803418804,0.003418803418803419
3407872,0.31137724550898205,0.19161676646706588
3538944,0.4697986577181208,0.06711409395973154
3670016,0.3276157804459691,0.005145797598627788
3801088,0.40106951871657753,0.0017825311942959
3932160,0.40747330960854095,0.008896797153024912
4063232,0.4058721934369603,0.0069084628670120895
4194304,0.45454545454545453,0.0
4325376,0.3554817275747508,0.006644518272425249
4456448,0.34226190476190477,0.05952380952380952
4587520,0.41944444444444445,0.08611111111111111
4718592,0.21518987341772153,0.01740506329113924
4849664,0.4652014652014652,0.018315018315018316
4980736,0.37697160883280756,0.0031545741324921135
5111808,0.4809917355371901,0.001652892561983471
5242880,0.5612648221343873,0.0
5373952,0.4107424960505529,0.001579778830963665
5505024,0.5031847133757962,0.0
5636096,0.5529157667386609,0.0
5767168,0.3602251407129456,0.001876172607879925
5898240,0.41088180112570355,0.0
6029312,0.3705501618122977,0.0
6160384,0.4093457943925234,0.007476635514018692
6291456,0.38113207547169814,0.005660377358490566
6422528,0.3500837520938023,0.0016750418760469012
6553600,0.5452322738386308,0.004889975550122249
6684672,0.4969450101832994,0.002036659877800407
6815744,0.32677165354330706,0.003937007874015748
6946816,0.2967032967032967,0.007326007326007326
7077888,0.33049403747870526,0.0017035775127768314
7208960,0.34724857685009486,0.007590132827324478
7340032,0.317907444668008,0.006036217303822937
7471104,0.32167832167832167,0.0034965034965034965
7602176,0.42290748898678415,0.09251101321585903
