collected_frames,clearance/height,clearance/height_max,clearance/height_min
131072,0.07385530455690059,0.31223600590601563,-0.05285590887069702
262144,0.08840895409230143,0.32524531800299883,-0.06976472586393356
393216,0.0789651159720961,0.3193149820435792,-0.0695716340560466
524288,0.08641856076428667,0.3355125996749848,-0.06942307017743587
655360,0.08489647589158267,0.3476788499392569,-0.06980083603411913
786432,0.08427164942258969,0.3293499161954969,-0.06956654763780534
917504,0.08720267814351246,0.33517311443574727,-0.06998723791912198
1048576,0.08188315521692857,0.33995218900963664,-0.06960228434763849
1179648,0.16725587827779237,0.3695428549001614,-0.039794060587883
1310720,0.17345812544226646,0.37114410544745624,-0.04499623435549438
1441792,0.12379786203382537,0.35250254860147834,-0.06506751058623195
1572864,0.095450769062154,0.3480681541841477,-0.0695954926777631
1703936,0.08053130697226152,0.331648179795593,-0.0697090735193342
1835008,0.08481020666658878,0.32948720548301935,-0.06966461869888008
1966080,0.08195361657999456,0.3179047715384513,-0.06954949139617383
2097152,0.08389669226016849,0.35303076705895364,-0.06963738449849188
2228224,0.1865693884929836,0.5490946984787781,-0.06381096728146077
2359296,0.18615099438466132,0.6141990511678159,-0.0691548134200275
2490368,0.14483965002000332,0.5550639051944017,-0.0689850621856749
2621440,0.11073454667348415,0.3679084393661469,-0.06929508922621608
2752512,0.09785140672465786,0.3412373398896307,-0.06935301003977656
2883584,0.09353724401444197,0.34016012866050005,-0.06944396742619574
3014656,0.09615434554871172,0.33364821365103126,-0.06937854737043381
3145728,0.10345601756125689,0.3393486295826733,-0.06950716697610915
3276800,0.22973922370954825,0.36961126305162906,-0.010802357519666354
3407872,0.228529516258277,0.38693395629525185,-0.02798722591251135
3538944,0.17244181234855205,0.36760228709317744,-0.059228305937722325
3670016,0.13034326245542616,0.3429558863863349,-0.06928354199044406
3801088,0.1120301621267572,0.35574524011462927,-0.06938786618411541
3932160,0.11466071277391165,0.3329597278498113,-0.0694953880738467
4063232,0.12017282500164583,0.3601813483983278,-0.06929152715019882
4194304,0.13156245899153873,0.3538005752488971,-0.06937991338782012
4325376,0.20658143237914678,0.4203473516056935,-0.02597622722387314
4456448,0.20789682870963588,0.4032775927335024,-0.03779000951908529
4587520,0.17072538647335023,0.4165458078496158,-0.061935737961903214
4718592,0.12693319469690323,0.3745292308740318,-0.0670756718609482
4849664,0.10728799767093733,0.36383309680968523,-0.06959793297573924
4980736,0.09747418848564848,0.33889759983867407,-0.06941658607684076
5111808,0.09624352247919887,0.34603236406110227,-0.06940022623166442
5242880,0.10630116349784657,0.3423053505830467,-0.06930256565101445
5373952,0.11516019332858074,0.3178104796260595,-0.04742601099113623
5505024,0.11385504994541407,0.306625701719895,-0.05493215215392411
5636096,0.11048388748895377,0.341365450527519,-0.06746537098661065
5767168,0.13260488997912034,0.35252213035710156,-0.06880821054801345
5898240,0.14209758501965553,0.3508169907145202,-0.06861541466787457
6029312,0.1483676463831216,0.34997413656674325,-0.06629536324180663
6160384,0.1596293399343267,0.3835959332063794,-0.0689366115257144
6291456,0.1622403000947088,0.3657533135265112,-0.06910359766334295
6422528,0.14069173193294165,0.3467495389282703,-0.03827450657884279
6553600,0.141035268898122,0.3533811429515481,-0.044321618508547544
6684672,0.16214755701366812,0.3704389133490622,-0.060698127606883645
6815744,0.18083900399506092,0.3789138635620475,-0.06165651488117874
6946816,0.1797865655971691,0.3753550131805241,-0.0652168036904186
7077888,0.1789049425860867,0.36682681110687554,-0.06532210158184171
7208960,0.19863717816770077,0.377993693575263,-0.0536367183085531
7340032,0.1968431097920984,0.38759079203009605,-0.0688726487569511
7471104,0.2390290527888525,0.47956794704000155,0.008945171833038331
7602176,0.2387518331524916,0.4782583899796009,-0.005832835799083114
7733248,0.2151682444382459,0.5269492836669087,-0.04259351221844554
7864320,0.2058432224439457,0.40958333015441895,-0.05435244576074183
7995392,0.20297624496743083,0.36737937037833035,-0.046872543869540095
8126464,0.19958703347947448,0.379098430974409,-0.049052480375394225
8257536,0.20622057002037764,0.41107265232130885,-0.05618609068915248
8388608,0.19998231204226613,0.3839483964256942,-0.06365615990944207
8519680,0.24299515981700098,0.38534805382291476,0.023831180930137634
8650752,0.24283436709083617,0.3971104354131967,0.009110263548791409
8781824,0.21744814328849316,0.3813483521807939,-0.025316503131762147
8912896,0.19279563974123448,0.40513316402211785,-0.03670507553033531
9043968,0.20537121582310647,0.4116953881457448,-0.05349049181677401
9175040,0.20824291731696576,0.379862311296165,-0.03623606916517019
9306112,0.21903868438676,0.39720212295651436,-0.033634084509685636
9437184,0.2217705356888473,0.4036346583161503,-0.04095974704250693
9568256,0.24520893354856527,0.4916316215445598,0.01966307168205579
9699328,0.24483630660688505,0.4271350926719606,0.003186974208801985
9830400,0.23409687040839344,0.6285791057161987,-0.018892337568104267
9961472,0.2198279646690935,0.4484676760621369,-0.06532969372346997
10092544,0.21888011239934713,0.4065925679169595,-0.0340404121670872
10223616,0.22248273075092584,0.4410012448206544,-0.040577712235972285
10354688,0.2234956594184041,0.3888625695835799,-0.04030646593309939
10485760,0.2307399184210226,0.37947902479209006,-0.05629032338038087
10616832,0.24691023166240483,0.4366194522629182,0.019702552954355877
10747904,0.2457623730879277,0.44261688576079905,0.0017104807775467634
10878976,0.22972296609077603,0.39086309587582946,-0.016694212099537253
11010048,0.22439648036379367,0.4151275677140802,-0.04835050110705197
11141120,0.2217410571174696,0.39992099441587925,-0.023434345377609134
11272192,0.22009557532146573,0.4344970004167408,-0.03133163554593921
11403264,0.21709144162014127,0.42294147214852273,-0.025665239430963993
11534336,0.22629193495959044,0.3992989326361567,-0.021051695104688406
11665408,0.23795751043025426,0.4364093805104494,0.01983480677008629
11796480,0.23840760893654078,0.4293629371095449,0.004551917314529419
11927552,0.22592233342584223,0.41118967696093023,-0.009610317880287766
12058624,0.2282704976387322,0.4418464412447065,-0.02840478136204183
12189696,0.23293122940231115,0.42481023189611733,-0.005866882624104619
12320768,0.22275417833589017,0.41012705489993095,-0.02036694111302495
12451840,0.2305319702718407,0.4440667156595737,-0.010824246797710657
12582912,0.23297906899824739,0.4412336975801736,-0.02596872765570879
12713984,0.24167037837238847,0.4341120378921429,0.025299340784549713
12845056,0.24129849195014685,0.40849526529200375,0.005205545574426651
12976128,0.2296931076562032,0.41658900678157806,-0.003933983156457543
13107200,0.22704468329902738,0.48032318451441824,-0.023900369415059686
13238272,0.22805244603659958,0.44343174435198307,-0.029041556641459465
13369344,0.230044967494905,0.49980812054127455,-0.032591187162324786
13500416,0.23468857782427222,0.43785226880572736,-0.008406247710809112
13631488,0.23928049963433295,0.4302838183939457,-0.015712852822616696
13762560,0.24527101973682874,0.4891035752991835,0.021443888917565344
13893632,0.24473455513361841,0.5201914007775486,0.006202343152835965
14024704,0.23731131898239255,0.5079250042326748,-0.005367813399061561
14155776,0.23395487724337727,0.40457183634862304,-0.004339630017057061
14286848,0.23698361159767956,0.410628869663924,-0.002337411977350712
14417920,0.23729792097583413,0.4063170147128403,-0.0009956085123121738
14548992,0.23001295060385019,0.48086143913678825,-0.0060838095378130674
14680064,0.234182873275131,0.4090400571003556,-0.01922372612170875
14811136,0.24554640482536344,0.5199781843771537,0.019428101728359858
14942208,0.2446489103604108,0.5236799709964544,0.0012552610132843256
15073280,0.24055107438471168,0.47238791384734213,-0.002431110478937626
15204352,0.22868489392567426,0.46224858332425356,-0.007919071707874537
15335424,0.23558710690122098,0.472917377948761,-0.015738929621875286
15466496,0.2331226454116404,0.4383695079013705,-0.018062106799334288
15597568,0.23422062443569303,0.49283286835998297,-0.005563361803069711
15728640,0.23869561299216002,0.4259660404641181,-0.009169957600533962
15859712,0.24603418559454437,0.5159875224282344,0.016030874649683634
15990784,0.24577930942177773,0.5199380263220519,0.0036314092576503754
16121856,0.23689896916039288,0.5556154926307499,-0.0015196078456938267
16252928,0.23280180909205228,0.4845738981384784,-0.0018375739455223083
16384000,0.23576305131427944,0.45951945846900344,-0.0018260807264596224
16515072,0.23995085421483964,0.4191562307532877,-0.004156442359089851
16646144,0.23991231701802462,0.42730981507338583,-0.003990479512140155
16777216,0.23986868711654097,0.4501473468262702,-0.0007467318791896105
16908288,0.23691898469580336,0.46325897494951884,0.015515384326378504
17039360,0.2367794099263847,0.46640977915376425,0.00017037871293723583
17170432,0.2338398357387632,0.4506440730765462,-0.0011307920794934034
17301504,0.24000148859340698,0.4040311404969543,-0.0018988619558513165
17432576,0.23624704661779106,0.47667345497757196,-0.0011911233887076378
17563648,0.23636195180006325,0.4344744293484837,-0.0009827648755162954
17694720,0.23336212348658592,0.49682282051071525,-0.007576423464342952
17825792,0.23400896112434566,0.43494303501211107,-0.0012111852411180735
17956864,0.241598708068074,0.5179697259018818,0.015770941227674484
18087936,0.24120688799303025,0.5229501002468169,0.0007123376708477736
18219008,0.2308781952597201,0.4883862715214491,-0.0036875694058835506
18350080,0.23931712785270065,0.44290614360943437,-0.0005954231601208448
18481152,0.24017368373461068,0.43459177180193365,-0.007140130503103137
18612224,0.2405982428463176,0.4529470282141119,-0.005545181687921286
18743296,0.24261753575410694,0.45740635856054723,-0.001168680377304554
18874368,0.2408135646255687,0.4268170658033341,-0.000643228180706501
19005440,0.24394376138268853,0.4900298274556796,0.016068045248587928
19136512,0.24370466591790318,0.4945713756605983,0.0030349900480359793
19267584,0.23893335787579417,0.5707832409534603,-0.0013641687110066414
19398656,0.24243849620688707,0.5526621709577739,-0.0012691575102508068
19529728,0.24137802980840206,0.4430652568116784,-0.00025852303951978683
19660800,0.2393364632735029,0.46357726654969156,-0.0014090994372963905
19791872,0.24308923818171024,0.4360433570109308,-0.00405720341950655
19922944,0.24326953245326877,0.4501900637988001,-0.009643834084272385
20054016,0.24341034577977552,0.4710620936006308,0.012849657361706098
20185088,0.24263956502545625,0.47280213655903935,0.002653386676684022
20316160,0.24402061896398664,0.5199265375267714,-0.0023291073739528656
20447232,0.24416293727699667,0.4435816884506494,-0.0008588021155446768
20578304,0.24275638919789344,0.4955534031614661,-0.0011657904833555222
20709376,0.2409879642073065,0.4517240668646991,-0.0007167437579482794
20840448,0.24165059707593173,0.43779942370019853,-0.0003879801370203495
20971520,0.2431561411358416,0.4321379668544978,-0.0012551886029541492
21102592,0.23716051657834517,0.41063179972271124,0.016654765357573827
21233664,0.2366766375489533,0.4517412551213056,0.0002811590675264597
21364736,0.23796595283783972,0.5282352601643652,-0.009296170435845852
21495808,0.2424072721041739,0.49756756238639355,-0.000866838963702321
21626880,0.24172730359714478,0.500832706457004,-0.0016936608590185642
21757952,0.23930472077336162,0.5208226195536554,-0.0007731430232524872
21889024,0.24035506881773472,0.48861306090839207,-0.0019048620015382767
22020096,0.24191189545672387,0.46342436224222183,-0.0019733642693609
22151168,0.2466669276436005,0.4921212095270554,0.01459825893243154
22282240,0.24678537319414318,0.4373910145368427,0.001695987768471241
22413312,0.24394557252526283,0.5869182436726987,-0.0005206391215324402
22544384,0.23888792179059237,0.4465958378277719,-0.00034633418545126915
22675456,0.2417316356441006,0.4741195123642683,-0.0014990095514804125
22806528,0.24109914351720363,0.43828088184818625,-0.00030414643697440624
22937600,0.24219874781556427,0.43423979729413986,-0.0003255170304328203
23068672,0.24172113777603954,0.4747715466655791,-0.0003036076668649912
23199744,0.23873811573396475,0.4300829561799765,0.01836812858780225
23330816,0.23819272825494409,0.43442672258242965,0.0009101135656237602
23461888,0.23840734281111509,0.41783801815472543,-0.0002657633740454912
23592960,0.2415785879129544,0.4772026145365089,-0.0008911278564482927
23724032,0.2429588589584455,0.49682565149851143,-0.0002416407223790884
23855104,0.24040694814175367,0.4268534902948886,-0.0002485483419150114
23986176,0.24259009829256684,0.44207426346838474,-0.00028337701223790646
24117248,0.24505990301258862,0.44661749503575265,-0.00029936712235212326
24248320,0.2483823012670473,0.4595087567716837,0.014298974523941676
24379392,0.24884865176863968,0.5272370893508196,0.00020140898413956165
24510464,0.24529774871189147,0.5027633642312139,-0.009211498778313398
24641536,0.24311102833598852,0.4516830709762871,-0.0012212996371090412
24772608,0.2415038823382929,0.44038473977707326,-0.0002146677579730749
24903680,0.23900995787698776,0.45829139347188175,-0.00027729826979339123
25034752,0.24183900526259094,0.4291556291282177,-0.0002996949478983879
25165824,0.24202525394503027,0.47292990470305085,-0.0005875104106962681
25296896,0.24491035614419768,0.43138589076697825,0.018590314835309985
25427968,0.24378776375669986,0.4747208599001169,0.002753450535237789
25559040,0.24050407123286277,0.41839432111009955,-0.000264760572463274
25690112,0.24314085370860994,0.44507026113569736,-4.6518631279468536e-05
25821184,0.24551419878844172,0.47411786299198866,-0.0017163692973554134
25952256,0.24234652891755104,0.4126692982390523,0.00031943153589963913
26083328,0.2433190877782181,0.47431080881506205,-0.00032242969609797
26214400,0.24382306903135031,0.4466339945793152,-0.00015813950449228287
26345472,0.24990957034756622,0.45382099084556105,0.02256678529083729
26476544,0.25032734603155404,0.46585503150708973,0.006134656956419349
26607616,0.24830073583871126,0.4822724615223706,-0.0003120012115687132
26738688,0.24597162066493183,0.48641818296164274,-0.0002443436533212662
26869760,0.24760196602437645,0.49949626298621297,-0.0005064280703663826
27000832,0.24321375763975084,0.4304937585256994,0.0001312815584242344
27131904,0.24444085161667317,0.42654142109677196,-0.001102388370782137
27262976,0.24087880016304553,0.4333678036928177,0.0011647390201687813
27394048,0.24462914978081243,0.49073803089559076,0.01860675670206547
27525120,0.2448604446835816,0.49721490428783,0.00428129150532186
27656192,0.24275716475676745,0.4738133763894439,0.002415090799331665
27787264,0.24432161205913872,0.5100975441746414,0.0016377277206629515
27918336,0.2411008655326441,0.42274274164810777,0.001068904297426343
28049408,0.23941538610961288,0.44714044593274593,0.0006556243170052767
28180480,0.24532599584199488,0.5039352988824248,-0.0010850217659026384
