collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
3670016,-0.06604447960853577,0.8891666666666667,2000000,0.0009766666666666656,,,,
3670016,,,,,0.07608553022146225,0.020198512822389603,-0.06426826864480972,-0.0709056407213211
3801088,-0.02873525582253933,0.8852083333333334,2000000,0.0009758333333333324,,,,
3801088,,,,,0.07628393918275833,0.006750006228685379,-0.06805665045976639,-0.0899866372346878
3932160,-0.006051758304238319,0.88125,2000000,0.000974999999999999,,,,
3932160,,,,,0.04911459609866142,0.013896722346544266,-0.05332423374056816,-0.07521511614322662
4063232,0.006121761165559292,0.8772916666666667,2000000,0.0009741666666666656,,,,
4063232,,,,,0.08655066043138504,0.01829083263874054,-0.05377458781003952,-0.061717089265584946
4194304,0.0039700353518128395,0.8733333333333333,2000000,0.0009733333333333323,,,,
4194304,,,,,0.09599839895963669,0.03594565764069557,-0.03607698157429695,-0.03375507891178131
4325376,-0.02124965563416481,0.869375,2000000,0.0009724999999999991,,,,
4325376,,,,,0.0721941590309143,0.0058485232293605804,-0.05070740357041359,-0.07041279971599579
4456448,0.03521828353404999,0.8654166666666667,2000000,0.0009716666666666657,,,,
4456448,,,,,0.08671034127473831,0.013613893650472164,-0.03345317393541336,-0.05883052945137024
4587520,-0.03411547839641571,0.8614583333333333,2000000,0.0009708333333333324,,,,
4587520,,,,,0.07801312208175659,0.009803605265915394,-0.020847391337156296,-0.028179384768009186
4718592,-0.06317585706710815,0.8575,2000000,0.0009699999999999992,,,,
4718592,,,,,0.05683683231472969,0.01973636820912361,0.0033336940687149763,-0.004606429487466812
4849664,-0.013480974361300468,0.8535416666666666,2000000,0.0009691666666666658,,,,
4849664,,,,,0.07470491528511047,0.010716832242906094,-0.011543801054358482,-0.018069595098495483
4980736,-0.0016115927137434483,0.8495833333333334,2000000,0.0009683333333333324,,,,
4980736,,,,,0.0861588791012764,0.018530139699578285,-0.0027851678896695375,-0.010928790085017681
5111808,0.010284293442964554,0.8456250000000001,2000000,0.0009674999999999991,,,,
5111808,,,,,0.06578747928142548,0.009240856394171715,-0.01109314151108265,-0.015194850042462349
5242880,0.015369142405688763,0.8416666666666667,2000000,0.0009666666666666658,,,,
5242880,,,,,0.08674994111061096,0.012139596976339817,-0.0035233364906162024,-0.011474113911390305
5373952,0.002068881643936038,0.8377083333333334,2000000,0.0009658333333333325,,,,
5373952,,,,,0.08892573416233063,0.01416824385523796,-0.01610063575208187,-0.036495793610811234
5505024,0.024509113281965256,0.83375,2000000,0.0009649999999999993,,,,
5505024,,,,,0.07879549264907837,0.013676873408257961,-0.025710981339216232,-0.030786635354161263
