collected_frames,action/v_mean,action/w_mean,action/front_mean,action/rear_mean
131072,0.6000000238418579,0.0,-0.00034332275390625,0.0024871826171875
262144,0.6000000238418579,0.0,-0.00240325927734375,0.00421905517578125
393216,0.6000000238418579,0.0,0.00115203857421875,-0.0009613037109375
524288,0.6000000238418579,0.0,-0.0010833740234375,-0.0010223388671875
655360,0.6000000238418579,0.0,-0.00293731689453125,-0.00626373291015625
786432,0.6000000238418579,0.0,-0.00366973876953125,-0.00122833251953125
917504,0.6000000238418579,0.0,0.0081024169921875,-0.00487518310546875
1048576,0.6000000238418579,0.0,0.00795745849609375,-0.00202178955078125
1179648,0.6000000238418579,0.0,0.00528717041015625,-0.00107574462890625
1310720,0.6000000238418579,0.0,0.1228179931640625,-0.5774383544921875
1441792,0.6000000238418579,0.0,0.0084991455078125,-0.02085113525390625
1572864,0.6000000238418579,0.0,0.009796142578125,-0.0081329345703125
1703936,0.6000000238418579,0.0,0.006805419921875,0.02155303955078125
1835008,0.6000000238418579,0.0,-0.02130126953125,-0.01773834228515625
1966080,0.6000000238418579,0.0,0.0235595703125,0.0210418701171875
2097152,0.6000000238418579,0.0,-0.0043792724609375,-0.01917266845703125
2228224,0.6000000238418579,0.0,-0.03305816650390625,-0.0234527587890625
2359296,0.6000000238418579,0.0,-0.3282470703125,-0.46401214599609375
2490368,0.6000000238418579,0.0,-0.0197296142578125,-0.00807952880859375
2621440,0.6000000238418579,0.0,-0.0186309814453125,-0.01190185546875
2752512,0.6000000238418579,0.0,-0.01862335205078125,-0.002716064453125
2883584,0.6000000238418579,0.0,-0.0296783447265625,-0.008331298828125
3014656,0.6000000238418579,0.0,-0.01242828369140625,-0.02646636962890625
3145728,0.6000000238418579,0.0,-0.018768310546875,-0.02124786376953125
3276800,0.6000000238418579,0.0,-0.0314178466796875,-0.02130889892578125
3407872,0.6000000238418579,0.0,-0.7010421752929688,-0.069732666015625
3538944,0.6000000238418579,0.0,-0.0178070068359375,0.00946044921875
3670016,0.6000000238418579,0.0,-0.0158538818359375,-0.02233123779296875
3801088,0.6000000238418579,0.0,-0.0142822265625,-0.04596710205078125
3932160,0.6000000238418579,0.0,-0.009185791015625,-0.05049896240234375
4063232,0.6000000238418579,0.0,-0.0420989990234375,-0.0738372802734375
4194304,0.6000000238418579,0.0,-0.05483245849609375,-0.0289764404296875
4325376,0.6000000238418579,0.0,0.02642059326171875,0.0047454833984375
4456448,0.6000000238418579,0.0,-0.3112640380859375,-0.8534393310546875
4587520,0.6000000238418579,0.0,-0.04913330078125,0.0358123779296875
4718592,0.6000000238418579,0.0,-0.01126861572265625,-0.0270233154296875
4849664,0.6000000238418579,0.0,0.02335357666015625,-0.0858917236328125
4980736,0.6000000238418579,0.0,0.02251434326171875,-0.09040069580078125
5111808,0.6000000238418579,0.0,-0.012847900390625,-0.07757568359375
5242880,0.6000000238418579,0.0,-0.0042877197265625,-0.09520721435546875
5373952,0.6000000238418579,0.0,-0.006072998046875,-0.0975341796875
5505024,0.6000000238418579,0.0,-0.0034027099609375,-0.42179107666015625
5636096,0.6000000238418579,0.0,-0.0175933837890625,-0.05216217041015625
5767168,0.6000000238418579,0.0,-0.03423309326171875,-0.08425140380859375
5898240,0.6000000238418579,0.0,-0.03104400634765625,-0.059783935546875
6029312,0.6000000238418579,0.0,-0.04571533203125,-0.09075164794921875
6160384,0.6000000238418579,0.0,-0.04656982421875,-0.0903167724609375
6291456,0.6000000238418579,0.0,-0.01342010498046875,-0.07404327392578125
6422528,0.6000000238418579,0.0,-0.02204132080078125,-0.08226776123046875
6553600,0.6000000238418579,0.0,0.19266510009765625,-0.1605072021484375
6684672,0.6000000238418579,0.0,-0.1457672119140625,-0.0993804931640625
6815744,0.6000000238418579,0.0,-0.1279296875,-0.089263916015625
6946816,0.6000000238418579,0.0,-0.04943084716796875,-0.12032318115234375
7077888,0.6000000238418579,0.0,-0.1556243896484375,-0.09423065185546875
7208960,0.6000000238418579,0.0,-0.15502166748046875,-0.1124420166015625
7340032,0.6000000238418579,0.0,-0.07621002197265625,-0.10512542724609375
7471104,0.6000000238418579,0.0,-0.1626434326171875,-0.10459136962890625
7602176,0.6000000238418579,0.0,-0.37298583984375,-0.035400390625
7733248,0.6000000238418579,0.0,-0.10276031494140625,-0.0500946044921875
7864320,0.6000000238418579,0.0,-0.11014556884765625,-0.12551116943359375
7995392,0.6000000238418579,0.0,-0.05487060546875,-0.099334716796875
8126464,0.6000000238418579,0.0,-0.096282958984375,-0.102691650390625
8257536,0.6000000238418579,0.0,-0.12482452392578125,-0.09613037109375
8388608,0.6000000238418579,0.0,-0.08307647705078125,-0.1322784423828125
8519680,0.6000000238418579,0.0,-0.172698974609375,-0.167816162109375
8650752,0.6000000238418579,0.0,-0.10022735595703125,-0.1815338134765625
8781824,0.6000000238418579,0.0,-0.0522613525390625,-0.0804901123046875
8912896,0.6000000238418579,0.0,-0.01703643798828125,-0.1710662841796875
9043968,0.6000000238418579,0.0,-0.23545074462890625,-0.108123779296875
9175040,0.6000000238418579,0.0,-0.08205413818359375,-0.1223602294921875
9306112,0.6000000238418579,0.0,-0.2473907470703125,-0.0936279296875
9437184,0.6000000238418579,0.0,-0.11156463623046875,-0.08666229248046875
9568256,0.6000000238418579,0.0,-0.2006378173828125,-0.1050567626953125
9699328,0.6000000238418579,0.0,-0.7396240234375,-0.09168243408203125
9830400,0.6000000238418579,0.0,-0.219818115234375,-0.0811920166015625
9961472,0.6000000238418579,0.0,-0.1175994873046875,-0.1090240478515625
10092544,0.6000000238418579,0.0,-0.1255950927734375,-0.06462860107421875
10223616,0.6000000238418579,0.0,-0.180694580078125,-0.11446380615234375
10354688,0.6000000238418579,0.0,-0.1701507568359375,-0.1098785400390625
10485760,0.6000000238418579,0.0,-0.20574951171875,-0.10143280029296875
10616832,0.6000000238418579,0.0,-0.28061676025390625,-0.12744903564453125
10747904,0.6000000238418579,0.0,-0.6731033325195312,-0.26812744140625
10878976,0.6000000238418579,0.0,-0.11040496826171875,-0.03771209716796875
11010048,0.6000000238418579,0.0,-0.1315155029296875,-0.1062469482421875
11141120,0.6000000238418579,0.0,-0.14072418212890625,-0.1568145751953125
11272192,0.6000000238418579,0.0,-0.1702728271484375,-0.12726593017578125
11403264,0.6000000238418579,0.0,-0.14842987060546875,-0.1317138671875
11534336,0.6000000238418579,0.0,-0.28778839111328125,-0.11334991455078125
11665408,0.6000000238418579,0.0,-0.25406646728515625,-0.0977325439453125
11796480,0.6000000238418579,0.0,-0.517425537109375,-0.1453399658203125
11927552,0.6000000238418579,0.0,-0.307891845703125,-0.028472900390625
12058624,0.6000000238418579,0.0,-0.26287841796875,-0.10793304443359375
12189696,0.6000000238418579,0.0,-0.206939697265625,-0.14019775390625
12320768,0.6000000238418579,0.0,-0.15447998046875,-0.0181121826171875
12451840,0.6000000238418579,0.0,-0.198974609375,-0.19483184814453125
12582912,0.6000000238418579,0.0,-0.17461395263671875,-0.09363555908203125
12713984,0.6000000238418579,0.0,-0.2709503173828125,-0.07448577880859375
12845056,0.6000000238418579,0.0,-0.32525634765625,-0.20069122314453125
12976128,0.6000000238418579,0.0,-0.23296356201171875,-0.038177490234375
13107200,0.6000000238418579,0.0,-0.14124298095703125,-0.114593505859375
13238272,0.6000000238418579,0.0,-0.1378326416015625,-0.12764739990234375
13369344,0.6000000238418579,0.0,-0.2067413330078125,-0.0444793701171875
13500416,0.6000000238418579,0.0,-0.3643035888671875,-0.05503082275390625
13631488,0.6000000238418579,0.0,-0.318511962890625,-0.06032562255859375
13762560,0.6000000238418579,0.0,-0.33844757080078125,-0.059326171875
13893632,0.6000000238418579,0.0,-0.5530624389648438,-0.14815521240234375
14024704,0.6000000238418579,0.0,-0.389862060546875,-0.02108001708984375
14155776,0.6000000238418579,0.0,-0.36507415771484375,-0.07411956787109375
14286848,0.6000000238418579,0.0,-0.34525299072265625,-0.0707855224609375
14417920,0.6000000238418579,0.0,-0.21668243408203125,-0.15111541748046875
14548992,0.6000000238418579,0.0,-0.28429412841796875,-0.070220947265625
14680064,0.6000000238418579,0.0,-0.30615997314453125,-0.063690185546875
14811136,0.6000000238418579,0.0,-0.363006591796875,-0.0393218994140625
14942208,0.6000000238418579,0.0,-0.7351455688476562,-0.11051177978515625
15073280,0.6000000238418579,0.0,-0.258819580078125,-0.07769775390625
15204352,0.6000000238418579,0.0,-0.10941314697265625,-0.09072113037109375
15335424,0.6000000238418579,0.0,-0.32257080078125,-0.0609588623046875
15466496,0.6000000238418579,0.0,-0.2978363037109375,-0.0428619384765625
15597568,0.6000000238418579,0.0,-0.217193603515625,-0.05828857421875
15728640,0.6000000238418579,0.0,-0.272918701171875,-0.084075927734375
15859712,0.6000000238418579,0.0,-0.35590362548828125,-0.053466796875
15990784,0.6000000238418579,0.0,-0.523651123046875,-0.08307647705078125
16121856,0.6000000238418579,0.0,-0.20027923583984375,-0.05826568603515625
16252928,0.6000000238418579,0.0,-0.412872314453125,-0.01563262939453125
16384000,0.6000000238418579,0.0,-0.41817474365234375,-0.04329681396484375
16515072,0.6000000238418579,0.0,-0.4055023193359375,-0.091644287109375
16646144,0.6000000238418579,0.0,-0.40360260009765625,-0.05747222900390625
16777216,0.6000000238418579,0.0,-0.2686004638671875,-0.07708740234375
16908288,0.6000000238418579,0.0,-0.40923309326171875,-0.05754852294921875
17039360,0.6000000238418579,0.0,-0.8141326904296875,-0.09633636474609375
17170432,0.6000000238418579,0.0,-0.393585205078125,-0.06328582763671875
17301504,0.6000000238418579,0.0,-0.2252655029296875,-0.129608154296875
17432576,0.6000000238418579,0.0,-0.40682220458984375,-0.0526580810546875
17563648,0.6000000238418579,0.0,-0.368804931640625,-0.1367340087890625
17694720,0.6000000238418579,0.0,-0.20679473876953125,-0.04393768310546875
17825792,0.6000000238418579,0.0,-0.3385162353515625,-0.02032470703125
17956864,0.6000000238418579,0.0,-0.3685760498046875,-0.09531402587890625
18087936,0.6000000238418579,0.0,-0.5125198364257812,-0.14519500732421875
18219008,0.6000000238418579,0.0,-0.31273651123046875,-0.06414794921875
18350080,0.6000000238418579,0.0,-0.415374755859375,-0.09244537353515625
18481152,0.6000000238418579,0.0,-0.39910888671875,-0.1065521240234375
18612224,0.6000000238418579,0.0,-0.48076629638671875,-0.0657958984375
18743296,0.6000000238418579,0.0,-0.3583984375,-0.1446533203125
18874368,0.6000000238418579,0.0,-0.4741058349609375,-0.048553466796875
19005440,0.6000000238418579,0.0,-0.35436248779296875,-0.19153594970703125
19136512,0.6000000238418579,0.0,-0.7037582397460938,-0.1526641845703125
19267584,0.6000000238418579,0.0,-0.479583740234375,-0.0644989013671875
19398656,0.6000000238418579,0.0,-0.45067596435546875,-0.206939697265625
19529728,0.6000000238418579,0.0,-0.46379852294921875,-0.1360321044921875
19660800,0.6000000238418579,0.0,-0.5206298828125,-0.13669586181640625
19791872,0.6000000238418579,0.0,-0.29169464111328125,-0.2191925048828125
19922944,0.6000000238418579,0.0,-0.45293426513671875,-0.14470672607421875
20054016,0.6000000238418579,0.0,-0.2426605224609375,-0.16204071044921875
20185088,0.6000000238418579,0.0,-0.6059341430664062,-0.13321685791015625
20316160,0.6000000238418579,0.0,-0.40270233154296875,-0.1423492431640625
20447232,0.6000000238418579,0.0,-0.3876495361328125,-0.18442535400390625
20578304,0.6000000238418579,0.0,-0.3682403564453125,-0.1617279052734375
20709376,0.6000000238418579,0.0,-0.391204833984375,-0.0976104736328125
20840448,0.6000000238418579,0.0,-0.47222137451171875,-0.20192718505859375
20971520,0.6000000238418579,0.0,-0.44281768798828125,-0.1640777587890625
21102592,0.6000000238418579,0.0,-0.40149688720703125,-0.15248870849609375
21233664,0.6000000238418579,0.0,-0.6469802856445312,-0.32874298095703125
21364736,0.6000000238418579,0.0,-0.5681686401367188,-0.02402496337890625
21495808,0.6000000238418579,0.0,-0.36237335205078125,-0.2748870849609375
