collected_frames,rew/pitch_penalty,rew/pan_geom_reward,rew/terminal_bonus,rew/total_reward
131072,-0.003132475750196484,0.06473777297651395,0.0035400390625,0.06514493940630928
262144,-0.0035033946805924643,0.052539064665324986,0.002899169921875,0.05192669486859813
393216,-0.003693893502713763,0.059078237216454,-0.0078887939453125,0.04749205271946266
524288,-0.003979137962232926,0.05694360949564725,0.0005645751953125,0.05352472283993848
655360,-0.003443023515501409,0.057310705742565915,-0.004150390625,0.04971485317219049
786432,-0.003927078329070355,0.057998259930172935,-0.0010223388671875,0.05304370608064346
917504,-0.003680914673168445,0.05625407173647545,0.0001983642578125,0.052767072775168344
1048576,-0.0037209123129287036,0.05687148621655069,-0.0041351318359375,0.04901188882649876
1179648,-0.003652613724625553,0.05701806870638393,-0.0012054443359375,0.05215716964448802
1310720,-0.002555275464146689,0.0870109832030721,-0.0013427734375,0.08310319203155814
1441792,-0.0028859923040727153,0.07577142189256847,-0.00030517578125,0.07257912956993096
1572864,-0.0030349908956850413,0.06585508602438495,-0.0047607421875,0.0580547159188427
1703936,-0.0037939336798444856,0.0566137173154857,-0.001434326171875,0.051378651296545286
1835008,-0.0035671331897901837,0.056261859252117574,-0.003509521484375,0.04918094366439618
1966080,-0.003783830661632237,0.056558640993898734,-0.00250244140625,0.05026538748643361
2097152,-0.003683548260596581,0.05640829444746487,-0.000518798828125,0.052199507859768346
2228224,-0.003924263037333731,0.06018866618978791,-0.0036163330078125,0.052639472552982625
2359296,-0.004540098661891534,0.08553127176128328,-0.00103759765625,0.07992842263774946
2490368,-0.0036971645895391703,0.07507816847646609,-0.002471923828125,0.0688756913295947
2621440,-0.0035362211183382897,0.06692851980915293,-0.0041961669921875,0.059190199128352106
2752512,-0.0037587872466247063,0.06034015986369923,-0.0010528564453125,0.055526365380501375
2883584,-0.003660565987956943,0.05890591535717249,-0.0028533935546875,0.05238893724163063
3014656,-0.0038086333697719965,0.060098307993030176,-0.001373291015625,0.054914228996494785
3145728,-0.0037149859654164175,0.060891239991178736,-0.0001220703125,0.05705243977718055
3276800,-0.0037884798093728023,0.061786609614500776,-0.00201416015625,0.05598306664614938
3407872,-0.004177951783276512,0.09520863904617727,-0.0028839111328125,0.08808237475750502
3538944,-0.003818421542746364,0.08154220238793641,-0.0004119873046875,0.07729234205908142
3670016,-0.003288243624410825,0.0693851885444019,-0.0030670166015625,0.06302843475714326
3801088,-0.0037341298502724385,0.06459062860812992,-0.001708984375,0.05914704251699732
3932160,-0.0036441191950871143,0.06507522103493102,-0.0015869140625,0.0598418386944104
4063232,-0.003766835676287883,0.0670637121074833,-0.0016632080078125,0.06163171508524101
4194304,-0.003720165999766323,0.06679197784978896,-0.0007171630859375,0.062354649271583185
4325376,-0.0035200496949983062,0.06348840545979328,-0.002655029296875,0.05731148607446812
4456448,-0.0043096855260955635,0.09117934032110497,-0.001617431640625,0.08523885392060038
4587520,-0.0037269845306582283,0.07841998740332201,-0.000885009765625,0.07378926579258405
4718592,-0.003429811278692796,0.06705117956153117,-0.0054931640625,0.05812249882728793
4849664,-0.004047122469273745,0.06349234152003191,-0.0005950927734375,0.058845572188147344
4980736,-0.0036434173853194807,0.06569645635318011,-0.00238037109375,0.059671728376997635
5111808,-0.003974946570451721,0.0666099758236669,-0.0003662109375,0.06226833319669822
5242880,-0.0039016738774080295,0.06779741897480562,0.0009307861328125,0.06482653113198467
5373952,-0.004107958402528311,0.07006411883048713,-0.0017242431640625,0.06423141303821467
5505024,-0.003791318506046082,0.08208557410398498,4.57763671875e-05,0.07834003193420358
5636096,-0.0036907930807501543,0.07644583215005696,0.0007476806640625,0.07350271969335154
